node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,status,notes
HomeShipInsideStage::stage_change::HomeBackDoor::raw,,HomeShipInsideStage,HomeShipInsideStage,subarea,stage_change,StageData,HomeBackDoor,raw,obj508,Stage Change HomeBackDoor,0.000,1500.000,-900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=PlayerStartObjNoLink.
HomeShipInsideStage::stage_change::HomeEntrance::raw,,HomeShipInsideStage,HomeShipInsideStage,subarea,stage_change,StageData,HomeEntrance,raw,obj471,Stage Change HomeEntrance,0.000,-100.000,-40.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=ChangeStageArea. Target=CurrentWorldHome.
HomeShipInsideStage::start,,HomeShipInsideStage,HomeShipInsideStage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
MoonWorldKoopa1Stage::stage_change::aaa::raw,,MoonWorldKoopa1Stage,MoonWorldKoopa1Stage,subarea,stage_change,StageData,aaa,raw,obj131,Stage Change aaa,0.000,-300.000,7600.000,0,needs_name,Raw UnitConfigName=MissRestartArea. Target=MoonWorldWeddingRoomStage.
MoonWorldKoopa1Stage::stage_change::kkk::raw,,MoonWorldKoopa1Stage,MoonWorldKoopa1Stage,subarea,stage_change,StageData,kkk,raw,obj132,Stage Change kkk,0.000,-300.000,7450.000,1;2,needs_name,Raw UnitConfigName=MissRestartArea. Target=MoonWorldWeddingRoomStage.
MoonWorldKoopa1Stage::start,,MoonWorldKoopa1Stage,MoonWorldKoopa1Stage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
MoonWorldKoopa2Stage::stage_change::ppp::raw,,MoonWorldKoopa2Stage,MoonWorldKoopa2Stage,subarea,stage_change,StageData,ppp,raw,obj131,Stage Change ppp,0.000,-300.000,7600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=MissRestartArea. Target=MoonWorldWeddingRoomStage.
MoonWorldKoopa2Stage::start,,MoonWorldKoopa2Stage,MoonWorldKoopa2Stage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
MoonWorldWeddingRoom2Stage::stage_change::kkk::raw,,MoonWorldWeddingRoom2Stage,MoonWorldWeddingRoom2Stage,subarea,stage_change,StageData,kkk,raw,obj443,Stage Change kkk,1000.000,0.000,1950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=MissRestartArea. Target=MoonWorldWeddingRoomStage.
MoonWorldWeddingRoom2Stage::start,,MoonWorldWeddingRoom2Stage,MoonWorldWeddingRoom2Stage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1a::raw,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,stage_change,StageData,SeaWorldEX1a,raw,obj34,Stage Change SeaWorldEX1a,-19940.380,1600.000,1256.676,0;1;2;3,needs_name,Raw UnitConfigName=ChangeStageArea. Target=WaterValleyExStage.
SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1b::raw,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,stage_change,StageData,SeaWorldEX1b,raw,obj36,Stage Change SeaWorldEX1b,-20400.000,1650.000,797.057,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=WaterValleyExStage.
SeaWorldWallCaveWestZone::start,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,custom_place,embedded_zone,,,,SeaWorldWallCaveWestZone,-20400.000,450.000,-900.000,,seed,Embedded map landmark from SeaWorldWallCaveWestZone.
SnowWorldRace000Stage::stage_change::SnowManRaceStart::raw,,SnowWorldRace000Stage,SnowWorldRace000Stage,subarea,stage_change,StageData,SnowManRaceStart,raw,obj52,Stage Change SnowManRaceStart,4400.000,0.000,4500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=YukimaruRacePlayer.
SnowWorldRace000Stage::start,,SnowWorldRace000Stage,SnowWorldRace000Stage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SnowWorldRace001Stage::stage_change::Gotai::raw,,SnowWorldRace001Stage,SnowWorldRace001Stage,subarea,stage_change,StageData,Gotai,raw,obj52,Stage Change Gotai,4400.000,0.000,4500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=YukimaruRacePlayer.
SnowWorldRace001Stage::start,,SnowWorldRace001Stage,SnowWorldRace001Stage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SnowWorldRaceTutorialStage::stage_change::Gotai::raw,,SnowWorldRaceTutorialStage,SnowWorldRaceTutorialStage,subarea,stage_change,StageData,Gotai,raw,obj145,Stage Change Gotai,4400.000,0.000,4600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=YukimaruRacePlayer.
SnowWorldRaceTutorialStage::stage_change::SnowManRaceStart::raw,,SnowWorldRaceTutorialStage,SnowWorldRaceTutorialStage,subarea,stage_change,StageData,SnowManRaceStart,raw,obj141,Stage Change SnowManRaceStart,3950.000,3900.000,550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=YukimaruRaceTutorialObj. Target=SnowWorldRace000Stage.
SnowWorldRaceTutorialStage::start,,SnowWorldRaceTutorialStage,SnowWorldRaceTutorialStage,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
SnowWorldTownZone::stage_change::SnowUGExit::raw,Snow Kingdom,SnowWorldTownStage,Shiveria Town,subarea,stage_change,StageData,SnowUGExit,raw,obj665,Stage Change SnowUGExit,-950.000,-3400.000,-1950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=SnowWorldHomeStage.
SnowWorldTownZone::start,Snow Kingdom,SnowWorldTownStage,Shiveria Town,subarea,custom_place,embedded_zone,,,,SnowWorldTownZone,-900.000,-2400.000,8800.000,,seed,Embedded map landmark from SnowWorldTownZone.
Special1WorldTowerRoomZone::stage_change::GK_Respawn::raw,,Special1WorldTowerRoomZone,Special1WorldTowerRoomZone,subarea,stage_change,StageData,GK_Respawn,raw,obj4,Stage Change GK_Respawn,300.000,0.000,4000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=MissRestartArea. Target=Special1WorldHomeStage.
Special1WorldTowerRoomZone::start,,Special1WorldTowerRoomZone,Special1WorldTowerRoomZone,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
JizoSwitchExStage::stage_change::jizo01::raw,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_change,StageData,jizo01,raw,obj189,Stage Change jizo01,1300.000,1100.000,5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=SkyWorldHomeStage.
JizoSwitchExStage::stage_change::jizo02::raw,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_change,StageData,jizo02,raw,obj217,Stage Change jizo02,1900.000,2900.000,-3200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=SkyWorldHomeStage.
JizoSwitchExStage::start,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
JizoSwitchExStage::entrance::jizo01::sub_near,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,substage_entrance,EntranceDB,jizo01,sub_near,obj189,Substage near side: jizo01,1300.000,1100.000,5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.
JizoSwitchExStage::entrance::jizo02::sub_far,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,substage_entrance,EntranceDB,jizo02,sub_far,obj217,Substage far side: jizo02,1900.000,2900.000,-3200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.
KaronWingTowerStage::stage_change::Patakaron02::raw,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,stage_change,StageData,Patakaron02,raw,obj744,Stage Change Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=SkyWorldHomeStage.
KaronWingTowerStage::start,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,stage_start,generated,,,,Default start,,,,,seed,Rename or split if this stage has multiple meaningful starts.
KaronWingTowerStage::entrance::Patakaron02::sub_far,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,substage_entrance,EntranceDB,Patakaron02,sub_far,obj744,Substage far side: Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.
KaronWingTowerStage::entrance::Patakaron02::sub_near,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,substage_entrance,EntranceDB,Patakaron02,sub_near,obj744,Substage near side: Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,generated,Connected from SkyWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.
SkyWorldCastleZone::checkpoint::obj1392,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1392,Checkpoint obj1392,13324.336,28900.000,-45649.820,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::checkpoint::obj1888,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1888,Checkpoint obj1888,6111.844,28400.000,-38437.329,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::checkpoint::obj1890,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1890,Checkpoint obj1890,20289.340,32750.000,-54665.435,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::checkpoint::obj1891,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1891,Checkpoint obj1891,26646.149,42514.999,-58999.918,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::checkpoint::obj2134,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2134,Checkpoint obj2134,24638.048,38650.000,-55973.583,0;1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::checkpoint::obj6423,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj6423,Checkpoint obj6423,48007.934,54004.000,-80262.708,1;2;3,needs_name,Raw UnitConfigName=CheckpointFlag.
SkyWorldCastleZone::stage_change::Patakaron02::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Patakaron02,raw,obj9903768,Stage Change Patakaron02,6118.915,32609.675,-61877.926,0;1;2;4;5;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=KaronWingTowerStage.
SkyWorldCastleZone::stage_change::SkyStart1::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,SkyStart1,raw,obj6753,Stage Change SkyStart1,29729.218,42800.000,-62054.703,5,needs_name,Raw UnitConfigName=PlayerStartObjNoLink.
SkyWorldCastleZone::stage_change::jizo01::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,jizo01,raw,obj6474,Stage Change jizo01,47088.695,54000.000,-81323.368,1;2;3;4;5,needs_name,Raw UnitConfigName=DokanStageChange. Target=JizoSwitchExStage.
SkyWorldCastleZone::stage_change::jizo02::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,jizo02,raw,obj6475,Stage Change jizo02,47831.157,54000.000,-81500.145,1;2;3;4;5,needs_name,Raw UnitConfigName=DokanStageChange. Target=JizoSwitchExStage.
SkyWorldCastleZone::stage_change::shop_dress::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,shop_dress,raw,obj9906155,Stage Change shop_dress,25999.229,40400.000,-53233.543,0;6;7;8;9;10;11;12;13;14,needs_name,Raw UnitConfigName=DokanStageChange. Target=SkyWorldTreasureStage.
