moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,status,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes
CapWorldHomeStage:926:227,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,"Good Evening, Captain Toad!",CapWorldHomeStage:926:227,926,227,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,6293.250,7550.000,-5303.300,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,4,-1,14,false,false,2;3;4,キノピオ隊長,こんばんは！ キノピオ隊長,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2268:228,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,The Forgotten Treasure,CapWorldHomeStage:2268:228,2268,228,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-2688.590,190.000,8912.440,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,12,-1,12,false,false,3;4,ここ掘れポイント,忘れていた宝物,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2207:229,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Peach in the Cap Kingdom,CapWorldHomeStage:2207:229,2207,229,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-7495.330,-150.000,6293.250,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,11,-1,12,false,false,3;4,世界旅行ピーチ,帽子の国で ピーチ姫,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:882:230,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Shopping in Bonneton,CapWorldHomeStage:882:230,882,230,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-5091.170,-450.000,10960.200,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,2,-1,62,false,false,2;3;4;5;6,ショップ店員,カブロンで お買い物,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:820:231,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Hidden in a Sunken Hat,CapWorldHomeStage:820:231,820,231,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,4000.000,-1450.000,5950.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,20,-1,8,false,true,4,帽子のワールドホーム帽子ひっかけポイント001,雲に沈んだ船の上,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2196:232,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Caught Hopping Near the Ship!,CapWorldHomeStage:2196:232,2196,232,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,-2200.000,81.100,24450.000,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,17,-1,8,false,true,4,ウサギ,広場で つかまえたピョン！,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
CapWorldHomeStage:2249:233,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,Next to Glasses Bridge,CapWorldHomeStage:2249:233,2249,233,ShineFlag_Extra,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,ShineAddByRock,H,-1,,3,-1,None,,-1237.437,-1450.000,15591.704,CapWorldHomeStageMap.szs;ShineInfo.szs,CapWorldHomeStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,18,-1,8,false,true,4,シャイン【月の石追加版】,メガネ橋の たもとにて,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
PushBlockExStage:193:234,Cap Kingdom,PushBlockExStage,Push Block Peril,subarea,Push-Block Peril,PushBlockExStage:193:234,193,234,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,900.000,6650.000,7500.000,PushBlockExStageMap.szs;ShineInfo.szs,PushBlockExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,7,-1,14,false,false,2;3;4,シャイン,でっぱり壁を越えて,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
PushBlockExStage:463:235,Cap Kingdom,PushBlockExStage,Push Block Peril,subarea,Hidden Among the Push-Blocks,PushBlockExStage:463:235,463,235,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,100.000,3650.000,-400.000,PushBlockExStageMap.szs;ShineInfo.szs,PushBlockExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,10,-1,14,false,false,2;3;4,シャイン,でっぱり壁の かくし穴,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
PoisonWaveExStage:5:236,Cap Kingdom,PoisonWaveExStage,Poison Tides,subarea,Skimming the Poison Tide,PoisonWaveExStage:5:236,5,236,ShineFlag_None,,,,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,todo,,true,,,,,,,,,7723.090,700.000,-6733.140,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,6,-1,14,false,false,2;3;4,シャインチップ全取得監視者,毒の波を とんで,ShineInfo ProgressBitFlag is authoritative moon scenario availability. StageMap indices are zero-based placement evidence; ShinePosList keys are positional only. Use requirement_expr for local ability/capture needs.
