stage,point_type,identifier,target_stage,obj_id,unit_config_name,x,y,z,scenario_indices,source_archive,source_file
BossRaidWorldHomeStage,stage_change,BossRaidWorldMoonEx02_Enter,BullRunExStage,obj375,DokanStageChange,13500.000,-31688.432,49300.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,BossRaidWorldHomeStageMap.szs,BossRaidWorldHomeStageMap.byml
BossRaidWorldHomeStage,stage_change,BossRaidWorldMoonEx02_Exit,BullRunExStage,obj376,DokanStageChange,14200.000,-31671.615,49200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,BossRaidWorldHomeStageMap.szs,BossRaidWorldHomeStageMap.byml
BossRaidWorldHomeStage,stage_change,BossRaidWorldEx01_Eixt,DotTowerExStage,obj9900377,DokanStageChange,-2560.000,0.000,1020.000,0;4;5;6;7;8;9;10;11;12;13;14,BossRaidWorldHomeStageMap.szs,BossRaidWorldHomeStageMap.byml
BossRaidWorldHomeStage,stage_change,BossRaidWorldEx01_Eixt,DotTowerExStage,obj377,BazookaElectric,-2850.000,0.000,1100.000,1;2;3,BossRaidWorldHomeStageMap.szs,BossRaidWorldHomeStageMap.byml
BossRaidWorldHomeStage,stage_change,MoonRock,,obj395,PlayerStartObjNoLink,20150.000,-32768.344,45350.000,3,BossRaidWorldHomeStageMap.szs,BossRaidWorldHomeStageMap.byml
CapAppearLavaLiftExStage,stage_change,LavaLiftEx,LavaWorldHomeStage,obj649,DokanStageChange,-400.000,0.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapAppearLavaLiftExStageMap.szs,CapAppearLavaLiftExStageMap.byml
CapAppearLavaLiftExStage,stage_change,LavaLiftExdokan,LavaWorldHomeStage,obj759,DokanStageChange,-200.000,1500.000,750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapAppearLavaLiftExStageMap.szs,CapAppearLavaLiftExStageMap.byml
CapWorldHomeStage,stage_change,start,WaterfallWorldHomeStage,obj711,ChangeStageArea,13293.608,6550.000,-50558.133,0;6,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,Ex,CapWorldTowerStage,obj750,ChangeStageArea,4631.149,-900.000,-3641.200,0;1;2;3;6,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,Goal,CapWorldTowerStage,obj752,ChangeStageArea,5456.846,5100.000,-3934.066,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,checkpoint,obj381,,obj381,CheckpointFlag,5710.646,5123.254,-2510.229,0;1;2;3;6,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,rollinggoal,Testkong022Stage,obj2486,DokanStageChange,-7450.000,-650.000,12250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,rollingstart,RollingExStage,obj2487,DokanStageChange,-7700.000,-650.000,12500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,PushBlockExStageEnt,PushBlockExStage,obj1136,ChangeStageArea,5164.807,5450.000,-6635.590,1;2;3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,PoisonWaveExEnt,PoisonWaveExStage,obj1635,ChangeStageArea,7622.610,500.000,-6632.661,1;2;3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,FrogSearchExStageEnt,FrogSearchExStage,obj1640,ChangeStageArea,-9437.309,-1400.000,10215.127,1;2;3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,checkpoint,obj2497,,obj2497,CheckpointFlag,-3535.533,-352.500,11172.287,1;2;3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,PushBlockExStageEntDokan,,obj2590,DokanStageChange,4237.278,4950.000,-7537.278,1;2;3;4;5,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,CapWorldRacemanStart,,obj2727,PlayerStartObjNoLink,6150.000,4950.000,-8100.000,2;3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,MoonRock,,obj859,PlayerStartObjNoLink,10550.000,-1450.000,13750.000,3,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CapWorldHomeStage,stage_change,CapWorldRacemanStart,,obj2733,PlayerStartObjNoLink,6293.250,7549.999,-5303.301,5,CapWorldHomeStageMap.szs,CapWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,main_enter,CityWorldMainTowerStage,obj4457,ChangeStageArea,0.000,5950.000,-10820.229,0;1;2;3;4;6;7;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,main_exit,CityWorldMainTowerStage,obj4458,ChangeStageArea,0.000,10900.000,-11697.164,0;1;2;3;4;6;7;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,shop_corect,CityWorldShop01Stage,obj7216,ChangeStageArea,-2945.110,-50.000,3923.680,0;1;3;4;7;9;11;12;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,shop_coin,CityWorldShop01Stage,obj9317,ChangeStageArea,-3616.394,-50.000,3925.123,0;1;3;4;7;9;11;12;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj3996,,obj3996,CheckpointFlag,4700.000,5982.012,-11400.000,0;1;3;4;7;9;11;12;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj5016,,obj5016,CheckpointFlag,-0.000,10936.929,-10600.000,0;1;3;4;7;9;11;12;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj8918,,obj8918,CheckpointFlag,5850.000,-11.035,9200.000,0;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj9017,,obj9017,CheckpointFlag,3950.000,85.479,-8850.000,0;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj9086,,obj9086,CheckpointFlag,-11750.000,142.161,2800.000,0;1;3;4;7;9;11;12;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,checkpoint,obj14061,,obj14061,CheckpointFlag,18150.000,-1300.000,23800.000,0;1;2;3;4;6;7;9;10;12;13,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,start,,obj1800,PlayerActorHakoniwa,-2750.000,2600.000,22850.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,Go,,obj8865,WorldWarpHole,-2000.000,2435.000,19650.000,0;1;2;3;4;6;7;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,Come,,obj8864,WorldWarpHole,19000.000,-1300.000,23800.000,0;1;2;3;4;6;7;9;10;12;13,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,gragra,SwingSteelExStage,obj13304,DokanStageChange,2950.000,5600.000,-2100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,gragrareturn,SwingSteelExStage,obj14107,DokanStageChange,2950.000,5600.000,-2400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,bike,BikeSteelExStage,obj13305,DokanStageChange,-3050.000,2374.997,-200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,bikereturn,BikeSteelExStage,obj14564,DokanStageChange,-3050.000,2374.997,-550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,donsuke,DonsukeExStage,obj14348,DokanStageChange,2101.339,3901.546,-13047.249,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,bike02return,,obj14614,DokanStageChange,-4250.000,-0.000,-6550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,boureturn,,obj14108,DokanStageChange,3850.000,0.000,-450.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,densendokan,,obj14254,DokanStageChange,-5300.000,0.000,-9400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,kaitendokan,CapRotatePackunExStage,obj14252,DokanStageChange,-5750.000,-20.000,5200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
CityWorldHomeStage,stage_change,under001enter,,obj13901,DokanStageChange,-6100.000,-18.700,-7400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,CityWorldHomeStageMap.byml
