anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
HomeShipInsideStage::stage_change::HomeBackDoor::raw,HomeShipInsideStage::stage_change::HomeBackDoor::raw,change_stage_id,,HomeShipInsideStage,subarea,HomeBackDoor,raw,obj508,0.000,1500.000,-900.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
HomeShipInsideStage::stage_change::HomeEntrance::raw,HomeShipInsideStage::stage_change::HomeEntrance::raw,change_stage_id,,HomeShipInsideStage,subarea,HomeEntrance,raw,obj471,0.000,-100.000,-40.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
HomeShipInsideStage::start,HomeShipInsideStage::start,stage_start,,HomeShipInsideStage,subarea,,,,,,,generated,seed,Runtime/stable anchor for graph initialization or event checks.
MoonWorldKoopa1Stage::stage_change::aaa::raw,MoonWorldKoopa1Stage::stage_change::aaa::raw,change_stage_id,,MoonWorldKoopa1Stage,subarea,aaa,raw,obj131,0.000,-300.000,7600.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
MoonWorldKoopa1Stage::stage_change::kkk::raw,MoonWorldKoopa1Stage::stage_change::kkk::raw,change_stage_id,,MoonWorldKoopa1Stage,subarea,kkk,raw,obj132,0.000,-300.000,7450.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
MoonWorldKoopa1Stage::start,MoonWorldKoopa1Stage::start,stage_start,,MoonWorldKoopa1Stage,subarea,,,,,,,generated,seed,Runtime/stable anchor for graph initialization or event checks.
MoonWorldKoopa2Stage::stage_change::ppp::raw,MoonWorldKoopa2Stage::stage_change::ppp::raw,change_stage_id,,MoonWorldKoopa2Stage,subarea,ppp,raw,obj131,0.000,-300.000,7600.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
MoonWorldKoopa2Stage::start,MoonWorldKoopa2Stage::start,stage_start,,MoonWorldKoopa2Stage,subarea,,,,,,,generated,seed,Runtime/stable anchor for graph initialization or event checks.
MoonWorldWeddingRoom2Stage::stage_change::kkk::raw,MoonWorldWeddingRoom2Stage::stage_change::kkk::raw,change_stage_id,,MoonWorldWeddingRoom2Stage,subarea,kkk,raw,obj443,1000.000,0.000,1950.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
MoonWorldWeddingRoom2Stage::start,MoonWorldWeddingRoom2Stage::start,stage_start,,MoonWorldWeddingRoom2Stage,subarea,,,,,,,generated,seed,Runtime/stable anchor for graph initialization or event checks.
SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1a::raw,SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1a::raw,change_stage_id,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX1a,raw,obj34,-19940.380,1600.000,1256.676,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1b::raw,SeaWorldWallCaveWestZone::stage_change::SeaWorldEX1b::raw,change_stage_id,Seaside Kingdom,SeaWorldHomeStage,overworld,SeaWorldEX1b,raw,obj36,-20400.000,1650.000,797.057,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
SnowWorldRace000Stage::stage_change::SnowManRaceStart::raw,SnowWorldRace000Stage::stage_change::SnowManRaceStart::raw,change_stage_id,,SnowWorldRace000Stage,subarea,SnowManRaceStart,raw,obj52,4400.000,0.000,4500.000,StageData,needs_name,Runtime/stable anchor for graph initialization or event checks.
