node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
JizoSwitchExStage::start,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
JizoSwitchExStage::entrance::jizo01::sub_near,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,substage_entrance,EntranceDB,jizo01,sub_near,obj189,Substage near side: jizo01,1300.000,1100.000,5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
JizoSwitchExStage::entrance::jizo02::sub_far,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,substage_entrance,EntranceDB,jizo02,sub_far,obj217,Substage far side: jizo02,1900.000,2900.000,-3200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
KaronWingTowerStage::start,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SkyWorldCastleZone::checkpoint::obj1392,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1392,Main Courtyard Checkpoint (obj1392),13324.336,28900.000,-45649.820,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::checkpoint::obj1888,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1888,Main Courtyard Entrance Checkpoint (obj1888),6111.844,28400.000,-38437.329,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::checkpoint::obj1890,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1890,Outer Wall Checkpoint (obj1890),20289.340,32750.000,-54665.435,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::checkpoint::obj1891,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1891,Beneath the Keep Checkpoint (obj1891),26646.149,42514.999,-58999.918,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::checkpoint::obj2134,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2134,Inner Wall Checkpoint (obj2134),24638.048,38650.000,-55973.583,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::checkpoint::obj6423,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj6423,Showdown Arena Checkpoint (obj6423),48007.934,54004.000,-80262.708,1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldCastleZone::stage_change::Patakaron02::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Patakaron02,raw,obj3768,Stage Change Patakaron02,6118.915,32609.675,-61877.926,3,Raw UnitConfigName=DokanStageChange.,
SkyWorldCastleZone::stage_change::SkyStart1::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,SkyStart1,raw,obj6753,Stage Change SkyStart1,29729.218,42800.000,-62054.703,5,Raw UnitConfigName=PlayerStartObjNoLink.,
SkyWorldCastleZone::stage_change::jizo01::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,jizo01,raw,obj6474,Stage Change jizo01,47088.695,54000.000,-81323.368,1;2;3;4;5,Raw UnitConfigName=DokanStageChange.,
SkyWorldCastleZone::stage_change::jizo02::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,jizo02,raw,obj6475,Stage Change jizo02,47831.157,54000.000,-81500.145,1;2;3;4;5,Raw UnitConfigName=DokanStageChange.,
SkyWorldCastleZone::stage_change::shop_dress::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,shop_dress,raw,obj6155,Stage Change shop_dress,25627.997,40400.000,-53569.419,1;2;3;4;5,Raw UnitConfigName=ChangeStageArea.,
SkyWorldCastleZone::stage_change::sora001::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,sora001,raw,obj2352,Stage Change sora001,19157.968,45250.000,-60887.976,0;1;2;3,Raw UnitConfigName=ChangeStageArea.,
SkyWorldCastleZone::stage_change::tukkun000_enter::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun000_enter,raw,obj6463,Stage Change tukkun000_enter,21350.000,39722.461,-60700.003,1;2;3;4;5,Raw UnitConfigName=ChangeStageArea.,
SkyWorldCastleZone::stage_change::tukkun000_exit::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun000_exit,raw,obj4067,Stage Change tukkun000_exit,20890.380,39800.000,-59226.275,1;2;3;4;5,Raw UnitConfigName=DokanStageChange.,
SkyWorldCastleZone::stage_change::tukkun001_enter::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun001_enter,raw,obj3040,Stage Change tukkun001_enter,32906.250,32609.675,-35101.905,3,Raw UnitConfigName=DokanStageChange.,
SkyWorldCastleZone::stage_change::tukkun001_exit::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,tukkun001_exit,raw,obj4008,Stage Change tukkun001_exit,33498.098,32609.675,-35446.266,3,Raw UnitConfigName=DokanStageChange.,
SkyWorldCloudBonusExStage::start,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SkyWorldCloudBonusExStage::entrance::sora001::sub_far,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,substage_entrance,EntranceDB,sora001,sub_far,obj1745;obj1747;obj1748;obj2469;obj2475;obj2476;obj2477;obj2478,Substage far side: sora001,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldCloudBonusExStage::entrance::sora001::sub_near,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,substage_entrance,EntranceDB,sora001,sub_near,obj1745;obj1747;obj1748;obj2469;obj2475;obj2476;obj2477;obj2478,Substage near side: sora001,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldCostumeStage::start,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
