gate_id,kingdom,logic_stage,edge_id,source_capture_token,replacement_capture_token,difficulty,match_mode,minimum_count,notes
cg_moon_local_239_Frog_KillerMagnum,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,Tsukkun,casual,any,,
cg_moon_local_238_Frog_KillerMagnum_2,Cap Kingdom,FrogSearchExStage,moon_local_238,Frog,Frog,casual,any,,
cg_moon_local_238_Frog_KillerMagnum_3,Cap Kingdom,FrogSearchExStage,moon_local_238,Frog,Hosui,casual,any,,
cg_moon_local_238_Frog_KillerMagnum_4,Cap Kingdom,FrogSearchExStage,moon_local_238,Frog,Tsukkun,casual,any,,
cg_moon_local_238_Frog_KillerMagnum_6,Cap Kingdom,FrogSearchExStage,moon_local_238,Frog,Senobi,casual,any,,
cg_moon_local_239_Frog_KillerMagnum_2,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,FireBros,casual,any,,
cg_moon_local_239_Frog_KillerMagnum_3,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,Hosui,casual,any,,
cg_moon_local_239_Frog_KillerMagnum_4,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,Frog,casual,any,,
cg_moon_local_239_Frog_KillerMagnum_5,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,HammerBros,casual,any,,
cg_moon_local_239_Frog_KillerMagnum_6,Cap Kingdom,FrogSearchExStage,moon_local_239,Frog,Senobi,casual,any,,
cg_moon_local_1019_Frog_WanwanBig,Cap Kingdom,CapWorldHomeStage,moon_local_1019,Frog,Kakku,advanced,any,,requires Top Hat Tower checkpoint
cg_moon_local_1019_Frog_WanwanBig_2,Cap Kingdom,CapWorldHomeStage,moon_local_1019,Frog,Hosui,casual,any,,
cg_edge_user_0116_Frog,Cap Kingdom,CapWorldHomeStage,edge_user_0116,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_edge_user_0118_Frog,Cap Kingdom,CapWorldHomeStage,edge_user_0118,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_edge_user_0122_Frog,Cap Kingdom,CapWorldHomeStage,edge_user_0122,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_edge_user_0708_Frog,Cap Kingdom,CapWorldHomeStage,edge_user_0708,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_edge_user_0747_Frog,Cap Kingdom,FrogSearchExStage,edge_user_0747,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_moon_local_815_Frog,Cap Kingdom,CapWorldHomeStage,moon_local_815,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_moon_local_816_Frog,Cap Kingdom,CapWorldHomeStage,moon_local_816,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_moon_local_1018_Frog,Cap Kingdom,CapWorldHomeStage,moon_local_1018,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
cg_moon_local_1156_Frog,Cap Kingdom,CapWorldHomeStage,moon_local_1156,Frog,Frog,casual,any,,Bootstrapped identity gate; review object reachability
