moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
PushBlockExStage:193:234,Cap Kingdom,PushBlockExStage,Push Block Peril,subarea,Push-Block Peril,PushBlockExStage:193:234,193,234,ShineFlag_None,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,,free,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Capture, Ledge Grab)",true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,900.000,6650.000,7500.000,PushBlockExStageMap.szs;ShineInfo.szs,PushBlockExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,7,-1,14,false,false,2;3;4,シャイン,でっぱり壁を越えて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PushBlockExStage:463:235,Cap Kingdom,PushBlockExStage,Push Block Peril,subarea,Hidden Among the Push-Blocks,PushBlockExStage:463:235,463,235,ShineFlag_None,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,,ElectricWire | (Dive & NeutralThrow) | (WallJump & NeutralThrow) | (LongJump & NeutralThrow) | (Vault & NeutralThrow) | (WallJump & UpThrow) | (DownThrow & WallJump),WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Capture),true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,100.000,3650.000,-400.000,PushBlockExStageMap.szs;ShineInfo.szs,PushBlockExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,10,-1,14,false,false,2;3;4,シャイン,でっぱり壁の かくし穴,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced;advanced;advanced;advanced;advanced,
PoisonWaveExStage:5:236,Cap Kingdom,PoisonWaveExStage,Poison Tides,subarea,Skimming the Poison Tide,PoisonWaveExStage:5:236,5,236,ShineFlag_None,PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,,KuriboWing,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"captures=Paragoomba, Glydon, Shiverian, Gushen, Pokio, Parabones, Dino | method_1(cap_throw=Neutral Throw, Down Throw, Up Throw, Spin Throw; other=Capture)",true,,,,,,,,,7723.090,700.000,-6733.140,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,6,-1,14,false,false,2;3;4,シャインチップ全取得監視者,毒の波を とんで,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PoisonWaveExStage:381:237,Cap Kingdom,PoisonWaveExStage,Poison Tides,subarea,Slipping Through the Poison Tide,PoisonWaveExStage:381:237,381,237,ShineFlag_None,PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,,KuriboWing,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"captures=Pokio, Parabones, Paragoomba, Gushen | method_1(cap_throw=Neutral Throw, Down Throw, Up Throw, Spin Throw; other=Capture)",true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,600.000,2150.000,10150.000,PoisonWaveExStageMap.szs;ShineInfo.szs,PoisonWaveExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,9,-1,14,false,false,2;3;4,シャイン,くぐり抜けて 毒の波,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
FrogSearchExStage:106:238,Cap Kingdom,FrogSearchExStage,Frog Pond,subarea,Searching the Frog Pond,FrogSearchExStage:106:238,106,238,ShineFlag_None,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_near,,Frog | (NeutralThrow & Vault) | (WallJump & LedgeGrab) | (WallJump & Dive) | (Backflip & Dive) | (GroundPoundJump & Dive) | (SideFlip & Dive) | (Spin & Dive) | (TripleJump & Dive) | (Backflip & WallJump) | (GroundPoundJump & WallJump) | (SideFlip & WallJump) | (Spin & WallJump) | (TripleJump & WallJump) | (TripleJump & LedgeGrab) | (Vault & UpThrow & LedgeGrab) | (Vault & UpThrow & Backflip) | (Vault & UpThrow & SideFlip) | (UpThrow & Vault & GroundPoundJump) | (UpThrow & Vault & Spin) | (UpThrow & Vault) | (DownThrow & Vault & Dive) | (UpThrow & Vault & Dive) | (NeutralThrow & WallJump) | (UpThrow & WallJump) | (DownThrow & WallJump),WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"captures=Frog | method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Spin Throw, Down Throw, Up Throw, Neutral Throw; other=Dive) | method_2(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_3(jump=Cap Return Jump (400); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Wall Jump, Dive) | method_4(jump=Triple Jump (550); cap_throw=No Cap Throw Needed; other=Dive)",true,,,,,,,,,-9545.940,-1200.000,10111.600,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,5,-1,14,false,false,2;3;4,シャインチップ全取得監視者,カエル池で さがし物,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;expert;advanced;advanced;expert;expert;expert,"1,2,3,4"
FrogSearchExStage:249:239,Cap Kingdom,FrogSearchExStage,Frog Pond,subarea,Secrets of the Frog Pond,FrogSearchExStage:249:239,249,239,ShineFlag_None,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_near,,Frog | (Vault & Dive & WallJump & NeutralThrow) | (UpThrow & Vault & WallJump & Dive & Backflip) | (UpThrow & Vault & WallJump & Dive & GroundPoundJump) | (UpThrow & Vault & WallJump & Dive & SideFlip) | (UpThrow & Vault & WallJump & Dive & Spin) | (UpThrow & Vault & Dive & WallJump & DoubleJump),WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"captures=Frog | method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw; other=Wall Jump, Dive) | method_2(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,1050.000,5250.000,-5350.000,FrogSearchExStageMap.szs;ShineInfo.szs,FrogSearchExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,8,-1,14,false,false,2;3;4,シャイン,カエル池の かくれ家,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced;advanced;advanced;expert;expert,
RollingExStage:11:950,Cap Kingdom,RollingExStage,Precision Rolling,subarea,Roll On and On,RollingExStage:11:950,11,950,ShineFlag_Extra,RollingExStage::entrance::rollinggoal::sub_far,,free,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=Roll, None)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-27750.000,-16200.000,-29572.211,RollingExStageMap.szs;ShineInfo.szs,RollingExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,28,-1,8,false,true,4,シャイン【2m置き】,転がって 転がって,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
RollingExStage:4:951,Cap Kingdom,RollingExStage,Precision Rolling,subarea,Precision Rolling,RollingExStage:4:951,4,951,ShineFlag_Extra,RollingExStage::entrance::rollingstart::sub_near,,free,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=Roll, None)",true,ShineWithAppearCamera,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-344.359,-4500.000,-24431.617,RollingExStageMap.szs;ShineInfo.szs,RollingExStageMap.byml;ShineList_CapWorldHomeStage.byml;ShinePosList.byml,15,29,-1,8,false,true,4,シャイン【出現カメラあり】,ひたすら 転がった先,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CapWorldHomeStage:926:227,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,"Good Evening, Captain Toad!",CapWorldHomeStage:926:227,926,227,ShineFlag_None,CapWorldHomeStage::checkpoint::obj381,,NpcTalk,WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,6293.250,7550.000,-5303.300,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,4,-1,14,false,false,2;3;4,キノピオ隊長,こんばんは！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CapWorldHomeStage:2268:228,Cap Kingdom,CapWorldHomeStage,Cap Kingdom,overworld,The Forgotten Treasure,CapWorldHomeStage:2268:228,2268,228,ShineFlag_None,CapWorldHomeStage::checkpoint::obj2497,,(GroundPound & NpcTalk),WorldPeace_Cap,MoonRockActive_Cap,primary,unrated,,"method_1(jump=Double Jump (312); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,,,,,,,,,-2688.590,190.000,8912.440,ShineInfo.szs,ShineList_CapWorldHomeStage.byml;ShinePosList.byml,1,12,-1,12,false,false,3;4,ここ掘れポイント,忘れていた宝物,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
