edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0086,Cap Kingdom,subarea,PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,PoisonWaveExStage::entrance::PoisonWaveExExit::sub_far,KuriboWing,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0087,Cap Kingdom,subarea,RollingExStage::entrance::rollingstart::sub_near,RollingExStage::entrance::rollinggoal::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0088,Cap Kingdom,subarea,RollingExStage::entrance::rollinggoal::sub_far,RollingExStage::entrance::rollingstart::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0087.,,
edge_user_0089,Cap Kingdom,subarea,PushBlockExStage::entrance::PushBlockExStageEnt::sub_near,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,ElectricWire,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0090,Cap Kingdom,subarea,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,PushBlockExStage::entrance::PushBlockExStageEnt::sub_near,ElectricWire | SingleJump,,human_route,casual;advanced,false,editor,Reverse of edge_user_0089.,,
edge_user_0091,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::entrance::rollingstart::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0092,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::entrance::FrogSearchExStageEnt::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0111,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::entrance::PoisonWaveExEnt::home_in,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0112,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::entrance::PushBlockExStageEnt::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0113,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::entrance::PushBlockExStageEntDokan::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0114,Cap Kingdom,overworld,CapWorldHomeStage::entrance::PushBlockExStageEntDokan::home_out,CapWorldHomeStage::checkpoint::obj381,free,,human_route,casual,false,editor,Reverse of edge_user_0113.,,
edge_user_0115,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::place::new_place,Dive,,human_route,advanced,false,editor,Created in graph editor.,,
edge_user_0116,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place,KuriboWing | Frog,,human_route,casual;glitched,false,editor,Created in graph editor.,,
edge_user_0117,Cap Kingdom,overworld,CapWorldHomeStage::start,CapWorldHomeStage::checkpoint::obj2497,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0118,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_2,KuriboWing | (Dive & Vault) | Frog,,human_route,casual;advanced;glitched,false,editor,Created in graph editor.,,
edge_user_0119,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::place::new_place_2,(Dive & Vault),,human_route,advanced,false,editor,Created in graph editor.,,
edge_user_0122,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::event::MoonRockActive_Cap,KuriboWing | (LongJump & Dive & Vault & NeutralThrow) | (TripleJump & Vault & Dive & NeutralThrow) | Frog,,human_route,casual;advanced;advanced;glitched,true,editor,Created in graph editor.,"2,3,4,5,6",
edge_fix_cap_tower_lower_door,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::entrance::Ex::home_in,free,,human_route,casual,true,editor,Connect the Central Plaza to the lower Top-Hat Tower entrance.,,
edge_fix_cap_tower_upper_door,Cap Kingdom,overworld,CapWorldHomeStage::entrance::Goal::home_out,CapWorldHomeStage::checkpoint::obj381,free,,human_route,casual,true,editor,Connect the upper Top-Hat Tower exit to its checkpoint.,,
edge_user_0093,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::entrance::rollinggoal::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0094,Cap Kingdom,overworld,CapWorldHomeStage::entrance::rollinggoal::home_out,CapWorldHomeStage::checkpoint::obj2497,free,,human_route,casual,false,editor,Reverse of edge_user_0093.,,
edge_user_0728,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::entrance::PoisonWaveExEnt::home_in,KuriboWing,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0729,Cap Kingdom,overworld,CapWorldHomeStage::entrance::PoisonWaveExEnt::home_in,CapWorldHomeStage::checkpoint::obj381,impossible,,human_route,casual,false,editor,Reverse of edge_user_0111.,,
edge_user_0730,Cap Kingdom,overworld,CapWorldHomeStage::place::new_place,CapWorldHomeStage::checkpoint::obj2497,impossible,,human_route,casual,false,editor,Reverse of edge_user_0116.,,
edge_user_0731,Cap Kingdom,overworld,CapWorldHomeStage::place::new_place,CapWorldHomeStage::checkpoint::obj381,impossible,,human_route,casual,false,editor,Reverse of edge_user_0115.,,
edge_user_0732,Cap Kingdom,subarea,CapWorldTowerStage::start,CapWorldTowerStage::place::new_place_2,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0733,Cap Kingdom,subarea,CapWorldTowerStage::place::new_place_2,CapWorldTowerStage::place::new_place,Frog | (GroundPoundJump & Vault & WallJump & Dive & NeutralThrow) | (TripleJump & WallJump & Vault & Dive & NeutralThrow) | (Backflip & Vault & Dive & WallJump & NeutralThrow) | (SideFlip & Vault & Dive & WallJump & NeutralThrow) | (Vault & Dive & WallJump & NeutralThrow) | (UpThrow & GroundPoundJump & Vault & Dive) | (UpThrow & TripleJump & Vault & Dive),,human_route,casual;advanced;advanced;expert;expert;expert;expert;expert,false,editor,Created in graph editor.,,
edge_user_0734,Cap Kingdom,subarea,CapWorldTowerStage::place::new_place,CapWorldTowerStage::place::new_place_2,free,,human_route,casual,false,editor,Reverse of edge_user_0733.,,
edge_user_0735,Cap Kingdom,subarea,CapWorldTowerStage::entrance::Ex::sub_near,CapWorldTowerStage::place::new_place_2,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0736,Cap Kingdom,subarea,CapWorldTowerStage::place::new_place,CapWorldTowerStage::entrance::Goal::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0120,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj381,CapWorldHomeStage::checkpoint::obj2497,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0121,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::checkpoint::obj381,impossible,,human_route,casual,false,editor,Reverse of edge_user_0120.,,
edge_user_0737,Cap Kingdom,overworld,CapWorldHomeStage::place::new_place_2,CapWorldHomeStage::checkpoint::obj381,impossible,,human_route,advanced,false,editor,Reverse of edge_user_0119.,,
edge_user_0738,Cap Kingdom,overworld,CapWorldHomeStage::place::new_place_2,CapWorldHomeStage::checkpoint::obj2497,impossible,,human_route,casual,false,editor,Reverse of edge_user_0118.,,
edge_user_0613,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_3,NeutralThrow | SpinThrow | UpThrow | (Dive & DownThrow) | (Vault & DownThrow) | KuriboWing,,human_route,advanced;advanced;advanced;advanced;advanced;casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0708,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_4,KuriboWing | (Dive & Vault & NeutralThrow) | (LongJump & NeutralThrow & Dive) | (LongJump & Dive & UpThrow) | (LongJump & Vault & NeutralThrow) | (Vault & NeutralThrow) | (TripleJump & Dive) | Frog,,human_route,casual;advanced;advanced;advanced;advanced;expert;advanced;advanced,true,editor,Created in graph editor.,"2,3,4",
edge_user_0739,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_5,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0740,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_6,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0741,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_7,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0742,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_8,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0743,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_9,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0744,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_10,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0745,Cap Kingdom,overworld,CapWorldHomeStage::checkpoint::obj2497,CapWorldHomeStage::place::new_place_11,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4",
edge_user_0762,Cap Kingdom,subarea,CapWorldTowerStage::entrance::Ex::sub_near,CapWorldTowerStage::place::new_place_3,Frog | (WallJump & Dive & UpThrow) | (WallJump & Dive & NeutralThrow) | (Vault & NeutralThrow & LedgeGrab) | (Vault & WallJump & NeutralThrow) | (Vault & WallJump & LedgeGrab & UpThrow) | (Vault & UpThrow & Dive) | (Vault & Dive & NeutralThrow) | (Backflip & WallJump & LedgeGrab & NeutralThrow) | (Backflip & WallJump & LedgeGrab & UpThrow) | (Backflip & Vault & NeutralThrow) | (Backflip & Vault & UpThrow) | (SideFlip & WallJump & LedgeGrab & NeutralThrow) | (SideFlip & WallJump & UpThrow & LedgeGrab) | (SideFlip & Vault & NeutralThrow) | (SideFlip & Vault & UpThrow) | (GroundPoundJump & WallJump & LedgeGrab & NeutralThrow) | (GroundPoundJump & WallJump & LedgeGrab & UpThrow) | (GroundPoundJump & Vault & NeutralThrow) | (GroundPoundJump & Vault & UpThrow) | (Spin & Vault & NeutralThrow) | (Spin & Vault & UpThrow) | (TripleJump & WallJump & LedgeGrab & NeutralThrow) | (TripleJump & WallJump & LedgeGrab & UpThrow) | (TripleJump & Vault & NeutralThrow) | (NeutralThrow & Vault) | (NeutralThrow & WallJump & TripleJump) | (UpThrow & Vault & TripleJump) | (UpThrow & Vault & WallJump) | (NeutralThrow & Spin & WallJump) | (NeutralThrow & SideFlip & WallJump) | (NeutralThrow & Backflip & WallJump) | (NeutralThrow & GroundPoundJump & WallJump),,human_route,casual;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;expert;expert;expert;expert;expert;expert;expert;expert,true,editor,Created in graph editor.,"2,3,4",
