anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
CapWorldTowerStage::stage_change::Ex::raw,CapWorldTowerStage::stage_change::Ex::raw,change_stage_id,Cap Kingdom,CapWorldTowerStage,subarea,Ex,raw,obj192,-496.856,-50.000,15457.521,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapWorldTowerStage::stage_change::Goal::raw,CapWorldTowerStage::stage_change::Goal::raw,change_stage_id,Cap Kingdom,CapWorldTowerStage,subarea,Goal,raw,obj194,-1750.000,7200.000,-3800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapWorldTowerStage::start,CapWorldTowerStage::start,stage_start,Cap Kingdom,CapWorldTowerStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CapWorldTowerStage::entrance::Ex::sub_near,CapWorldTowerStage::entrance::Ex::sub_near,entrance_side,Cap Kingdom,CapWorldTowerStage,subarea,Ex,sub_near,obj192,-496.856,-50.000,15457.521,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CapWorldTowerStage::entrance::Goal::sub_far,CapWorldTowerStage::entrance::Goal::sub_far,entrance_side,Cap Kingdom,CapWorldTowerStage,subarea,Goal,sub_far,obj194,-1750.000,7200.000,-3800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FrogSearchExStage::stage_change::FrogSearchExStageEnt::raw,FrogSearchExStage::stage_change::FrogSearchExStageEnt::raw,change_stage_id,Cap Kingdom,FrogSearchExStage,subarea,FrogSearchExStageEnt,raw,obj332,-1250.000,200.000,150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FrogSearchExStage::start,FrogSearchExStage::start,stage_start,Cap Kingdom,FrogSearchExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_far,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_far,entrance_side,Cap Kingdom,FrogSearchExStage,subarea,FrogSearchExStageEnt,sub_far,obj332,-1250.000,200.000,150.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_near,FrogSearchExStage::entrance::FrogSearchExStageEnt::sub_near,entrance_side,Cap Kingdom,FrogSearchExStage,subarea,FrogSearchExStageEnt,sub_near,obj332,-1250.000,200.000,150.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PoisonWaveExStage::stage_change::PoisonWaveExEnt::raw,PoisonWaveExStage::stage_change::PoisonWaveExEnt::raw,change_stage_id,Cap Kingdom,PoisonWaveExStage,subarea,PoisonWaveExEnt,raw,obj418,0.000,250.000,-963.471,StageData,,Runtime/stable anchor for graph initialization or event checks.
PoisonWaveExStage::stage_change::PoisonWaveExExit::raw,PoisonWaveExStage::stage_change::PoisonWaveExExit::raw,change_stage_id,Cap Kingdom,PoisonWaveExStage,subarea,PoisonWaveExExit,raw,obj419,0.000,250.000,9804.897,StageData,,Runtime/stable anchor for graph initialization or event checks.
PoisonWaveExStage::start,PoisonWaveExStage::start,stage_start,Cap Kingdom,PoisonWaveExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,PoisonWaveExStage::entrance::PoisonWaveExEnt::sub_near,entrance_side,Cap Kingdom,PoisonWaveExStage,subarea,PoisonWaveExEnt,sub_near,obj418,0.000,250.000,-963.471,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PoisonWaveExStage::entrance::PoisonWaveExExit::sub_far,PoisonWaveExStage::entrance::PoisonWaveExExit::sub_far,entrance_side,Cap Kingdom,PoisonWaveExStage,subarea,PoisonWaveExExit,sub_far,obj419,0.000,250.000,9804.897,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PushBlockExStage::stage_change::PushBlockExStageEnt::raw,PushBlockExStage::stage_change::PushBlockExStageEnt::raw,change_stage_id,Cap Kingdom,PushBlockExStage,subarea,PushBlockExStageEnt,raw,obj623,4600.000,-50.000,10150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PushBlockExStage::stage_change::PushBlockExStageEntDokan::raw,PushBlockExStage::stage_change::PushBlockExStageEntDokan::raw,change_stage_id,Cap Kingdom,PushBlockExStage,subarea,PushBlockExStageEntDokan,raw,obj676,0.000,6550.000,7500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PushBlockExStage::start,PushBlockExStage::start,stage_start,Cap Kingdom,PushBlockExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
PushBlockExStage::entrance::PushBlockExStageEnt::sub_near,PushBlockExStage::entrance::PushBlockExStageEnt::sub_near,entrance_side,Cap Kingdom,PushBlockExStage,subarea,PushBlockExStageEnt,sub_near,obj623;obj624,,,,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,PushBlockExStage::entrance::PushBlockExStageEntDokan::sub_far,entrance_side,Cap Kingdom,PushBlockExStage,subarea,PushBlockExStageEntDokan,sub_far,obj676,0.000,6550.000,7500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
RollingExStage::stage_change::rollinggoal::raw,RollingExStage::stage_change::rollinggoal::raw,change_stage_id,Cap Kingdom,RollingExStage,subarea,rollinggoal,raw,obj75,-28250.000,-16200.000,-29572.211,StageData,,Runtime/stable anchor for graph initialization or event checks.
RollingExStage::stage_change::rollingstart::raw,RollingExStage::stage_change::rollingstart::raw,change_stage_id,Cap Kingdom,RollingExStage,subarea,rollingstart,raw,obj74,-550.000,1023.816,-5800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
RollingExStage::start,RollingExStage::start,stage_start,Cap Kingdom,RollingExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
