node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
CapAppearExStage::stage_change::CapAppearExEnt::raw,Cascade Kingdom,CapAppearExStage,Mysterious Clouds,subarea,stage_change,StageData,CapAppearExEnt,raw,obj742,Stage Change CapAppearExEnt,1200.000,-300.000,7000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CapAppearExStage::stage_change::CapAppearExExit::raw,Cascade Kingdom,CapAppearExStage,Mysterious Clouds,subarea,stage_change,StageData,CapAppearExExit,raw,obj675,Stage Change CapAppearExExit,-900.000,1850.000,-16900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CapAppearExStage::start,Cascade Kingdom,CapAppearExStage,Mysterious Clouds,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CapAppearExStage::entrance::CapAppearExEnt::sub_near,Cascade Kingdom,CapAppearExStage,Mysterious Clouds,subarea,substage_entrance,EntranceDB,CapAppearExEnt,sub_near,obj742,Substage near side: CapAppearExEnt,1200.000,-300.000,7000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from WaterfallWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CapAppearExStage::entrance::CapAppearExExit::sub_far,Cascade Kingdom,CapAppearExStage,Mysterious Clouds,subarea,substage_entrance,EntranceDB,CapAppearExExit,sub_far,obj675,Substage far side: CapAppearExExit,-900.000,1850.000,-16900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from WaterfallWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
Lift2DExStage::stage_change::Lift2D::raw,Cascade Kingdom,Lift2DExStage,8-Bit Chasm Lifts,subarea,stage_change,StageData,Lift2D,raw,obj7617,Stage Change Lift2D,-2200.000,-1050.000,1900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
Lift2DExStage::stage_change::Lift2DExit::raw,Cascade Kingdom,Lift2DExStage,8-Bit Chasm Lifts,subarea,stage_change,StageData,Lift2DExit,raw,obj7628,Stage Change Lift2DExit,7950.000,1400.000,-5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Lift2DExStage::start,Cascade Kingdom,Lift2DExStage,8-Bit Chasm Lifts,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
Lift2DExStage::entrance::Lift2D::sub_near,Cascade Kingdom,Lift2DExStage,8-Bit Chasm Lifts,subarea,substage_entrance,EntranceDB,Lift2D,sub_near,obj7617,Substage near side: Lift2D,-2200.000,-1050.000,1900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from WaterfallWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
Lift2DExStage::entrance::Lift2DExit::sub_far,Cascade Kingdom,Lift2DExStage,8-Bit Chasm Lifts,subarea,substage_entrance,EntranceDB,Lift2DExit,sub_far,obj7628,Substage far side: Lift2DExit,7950.000,1400.000,-5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from WaterfallWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
