moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
WaterfallWorldHomeStage:1717:204,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,"Good Morning, Captain Toad!",WaterfallWorldHomeStage:1717:204,1717,204,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj601,,NpcTalk,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,"method_1(jump=No Jump Needed; cap_throw=Neutral Throw; other=Dive, Capture)",true,,,,,,,,,-8550.000,5040.000,3700.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,10,-1,78,false,false,2;3;4;7,キノピオ隊長,おはよう！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:214:205,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Our First Power Moon,WaterfallWorldHomeStage:214:205,214,205,ShineFlag_Story,WaterfallWorldHomeStage::place::new_place,,free,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,"captures=Coin Coffer, Tank, Hammer Bro, Chargin' Chuck, Chain Chomp, Dino, Bullet Bill | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,Shine,J,-1,,1;2;3;6,0,None,,5700.000,1250.000,700.000,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,0,0,79,false,false,1;2;3;4;7,シャイン_滝のワールドホーム檻000,はじめての パワームーン,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:407:206,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Chomp Through the Rocks,WaterfallWorldHomeStage:407:206,407,206,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj1724,,Wanwan | TRex | WanwanBig,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,"captures=Chain Chomp, Dino, Tank, Coin Coffer, Bullet Bill, Hammer Bro, Chargin' Chuck | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Bonk (Roll), Roll, Capture)",true,ShineAddHeight,J,-1,,0;1;2;3;6;7,-1,None,,-9157.033,2586.983,1732.412,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,6,4,-1,79,false,false,1;2;3;4;7,シャイン【2m置き】,壁の岩を壊したら,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:1033:207,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Secret Path to Fossil Falls!,WaterfallWorldHomeStage:1033:207,1033,207,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj2832,,free,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=Other Kingdom Trigger),true,Shine,J,-1,,0;1;2;3;6;7,-1,WorldWarpHoleShine,,4702.260,9050.000,9934.851,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,6,38,-1,79,false,false,1;2;3;4;7,シャイン,ようこそ！ ダイナフォー！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:1526:208,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Across the Floating Isles,WaterfallWorldHomeStage:1526:208,1526,208,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj601,,free,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,"method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None) | method_2(jump=No Jump Needed; cap_throw=Up Throw, Neutral Throw, Down Throw, Spin Throw; other=Dive)",true,ShineAddHeight,M,-1,,1;2;3;6,-1,None,,-17200.000,6750.000,-200.000,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,9,-1,78,false,false,2;3;4;7,シャイン【2m置き】,浮島を渡って,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:2467:209,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Peach in the Cascade Kingdom,WaterfallWorldHomeStage:2467:209,2467,209,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj601,,(KingdomAccess_Mushroom & NpcTalk),WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Other Kingdom Trigger)",true,,,,,,,,,2550.000,6060.860,-700.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,20,-1,12,false,false,3;4,世界旅行ピーチ,滝の国で ピーチ姫,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:2490:210,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Above a High Cliff,WaterfallWorldHomeStage:2490:210,2490,210,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj3139,,free,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None) | method_2(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Dive),true,ShineAddHeight,M,-1,,1;2;3;6,-1,None,,3005.204,3023.371,8874.189,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,4,3,-1,78,false,false,2;3;4;7,シャイン【2m置き】,切り立った ガケの上,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:1119:211,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Shopping in Fossil Falls,WaterfallWorldHomeStage:1119:211,1119,211,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj1724,,NpcTalk,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,5750.000,1117.020,-1850.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,18,-1,124,false,false,3;4;5;6;7,ショップ店員,ダイナフォーで お買い物,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterfallWorldHomeStage:124:212,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Behind the Waterfall,WaterfallWorldHomeStage:124:212,124,212,ShineFlag_None,WaterfallWorldHomeStage::checkpoint::obj1724,,(WanwanBig & Pipe2D) | (TRex & Pipe2D) | Pipe2D,WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,method_1(cap_throw=No Cap Throw Needed; other=2D Jump (any jump)),true,ShineDot,J,,,0;1;2;3;6;7,,None,,247.487,4950.000,530.330,WaterfallWorldHomeStageMap.szs;ShineInfo.szs,WaterfallWorldHomeStageMap.byml;ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,6,6,-1,79,false,false,1;2;3;4;7,シャインドット_2D,滝の裏の散歩道,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1;1;2,3,4,5"
WaterfallWorldHomeStage:1027:213,Cascade Kingdom,WaterfallWorldHomeStage,Cascade Kingdom,overworld,Bottom of the Waterfall Basin,WaterfallWorldHomeStage:1027:213,1027,213,ShineFlag_Extra,WaterfallWorldHomeStage::checkpoint::obj1724,,(GroundPound & Swim),WorldPeace_Cascade,MoonRockActive_Cascade,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Ground Pound),true,,,,,,,,,3200.000,326.320,3100.000,ShineInfo.szs,ShineList_WaterfallWorldHomeStage.byml;ShinePosList.byml,1,27,-1,8,false,true,4,ここ掘れポイント,滝つぼに沈んだ宝,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
