edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0005,Cascade Kingdom,subarea,Lift2DExStage::entrance::Lift2D::sub_near,Lift2DExStage::entrance::Lift2DExit::sub_far,Pipe2D,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0006,Cascade Kingdom,subarea,WindBlowExStage::entrance::WindBlowExStart::sub_near,WindBlowExStage::entrance::WindBlowExGoal::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0007,Cascade Kingdom,subarea,WindBlowExStage::entrance::WindBlowExGoal::sub_far,WindBlowExStage::entrance::WindBlowExStart::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0006.,,
edge_user_0008,Cascade Kingdom,subarea,CapAppearExStage::entrance::CapAppearExEnt::sub_near,CapAppearExStage::entrance::CapAppearExExit::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0009,Cascade Kingdom,subarea,WanwanClashExStage::entrance::WanwanExStart::sub_near,WanwanClashExStage::entrance::WanwanExGoal::sub_far,Wanwan,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0010,Cascade Kingdom,subarea,WanwanClashExStage::entrance::WanwanExGoal::sub_far,WanwanClashExStage::entrance::WanwanExStart::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0009.,,
edge_user_0123,Cascade Kingdom,overworld,WaterfallWorldHomeStage::start,WaterfallWorldHomeStage::checkpoint::obj597,free,,human_route,casual,true,editor,Created in graph editor.,1,
edge_user_0125,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::checkpoint::obj601,(WanwanBig & Pipe2D) | (TripleJump & Dive & WallJump & Backflip) | (Backflip & Vault & Dive & WallJump & NeutralThrow) | (SideFlip & Vault & Dive & WallJump & NeutralThrow) | (TripleJump & Vault & Dive & WallJump & NeutralThrow) | (GroundPoundJump & Vault & Dive & WallJump & NeutralThrow) | (TRex & Pipe2D) | Pipe2D,,human_route,casual;expert;advanced;advanced;advanced;advanced;casual;casual,true,editor,Created in graph editor.,"1;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1;2,3,4",
edge_user_0170,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::entrance::Lift2D::home_in,free,,human_route,casual,false,editor,Created in graph editor.,"2,3,4,5",
edge_user_0171,Cascade Kingdom,overworld,WaterfallWorldHomeStage::entrance::Lift2DExit::home_out,WaterfallWorldHomeStage::checkpoint::obj1724,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0172,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::entrance::Lift2DExit::home_out,impossible,,human_route,casual,false,editor,Reverse of edge_user_0171.,,
edge_user_0173,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::entrance::WanwanExStart::home_in,free,,human_route,casual,false,editor,Created in graph editor.,"4,5,3,2",
edge_user_0174,Cascade Kingdom,overworld,WaterfallWorldHomeStage::entrance::WanwanExGoal::home_out,WaterfallWorldHomeStage::checkpoint::obj1724,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0175,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::entrance::WanwanExGoal::home_out,impossible,,human_route,casual,false,editor,Reverse of edge_user_0174.,,
edge_user_0176,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::checkpoint::obj3139,KingdomAccess_Cascade | NeutralThrow | Dive | (WallJump & NeutralThrow) | (NeutralThrow & LedgeGrab) | TripleJump | (Backflip & WallJump & LedgeGrab) | (DoubleJump & WallJump & LedgeGrab & NeutralThrow) | (GroundPoundJump & WallJump & LedgeGrab) | (LongJump & WallJump & NeutralThrow) | (LongJump & WallJump & UpThrow) | (LongJump & WallJump & DownThrow) | (SideFlip & WallJump & LedgeGrab) | Vault,,human_route,casual;expert;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced,false,editor,Created in graph editor.,"2,3,4,5,6,7;2,3,4,5,6,7,1",
edge_user_0177,Cascade Kingdom,overworld,WaterfallWorldHomeStage::checkpoint::obj2832,WaterfallWorldHomeStage::checkpoint::obj1724,free,,human_route,casual,false,editor,Created in graph editor.,,
