anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
CapAppearExStage::stage_change::CapAppearExEnt::raw,CapAppearExStage::stage_change::CapAppearExEnt::raw,change_stage_id,Cascade Kingdom,CapAppearExStage,subarea,CapAppearExEnt,raw,obj742,1200.000,-300.000,7000.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapAppearExStage::stage_change::CapAppearExExit::raw,CapAppearExStage::stage_change::CapAppearExExit::raw,change_stage_id,Cascade Kingdom,CapAppearExStage,subarea,CapAppearExExit,raw,obj675,-900.000,1850.000,-16900.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapAppearExStage::start,CapAppearExStage::start,stage_start,Cascade Kingdom,CapAppearExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CapAppearExStage::entrance::CapAppearExEnt::sub_near,CapAppearExStage::entrance::CapAppearExEnt::sub_near,entrance_side,Cascade Kingdom,CapAppearExStage,subarea,CapAppearExEnt,sub_near,obj742,1200.000,-300.000,7000.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CapAppearExStage::entrance::CapAppearExExit::sub_far,CapAppearExStage::entrance::CapAppearExExit::sub_far,entrance_side,Cascade Kingdom,CapAppearExStage,subarea,CapAppearExExit,sub_far,obj675,-900.000,1850.000,-16900.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Lift2DExStage::stage_change::Lift2D::raw,Lift2DExStage::stage_change::Lift2D::raw,change_stage_id,Cascade Kingdom,Lift2DExStage,subarea,Lift2D,raw,obj7617,-2200.000,-1050.000,1900.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Lift2DExStage::stage_change::Lift2DExit::raw,Lift2DExStage::stage_change::Lift2DExit::raw,change_stage_id,Cascade Kingdom,Lift2DExStage,subarea,Lift2DExit,raw,obj7628,7950.000,1400.000,-5400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Lift2DExStage::start,Lift2DExStage::start,stage_start,Cascade Kingdom,Lift2DExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
Lift2DExStage::entrance::Lift2D::sub_near,Lift2DExStage::entrance::Lift2D::sub_near,entrance_side,Cascade Kingdom,Lift2DExStage,subarea,Lift2D,sub_near,obj7617,-2200.000,-1050.000,1900.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Lift2DExStage::entrance::Lift2DExit::sub_far,Lift2DExStage::entrance::Lift2DExit::sub_far,entrance_side,Cascade Kingdom,Lift2DExStage,subarea,Lift2DExit,sub_far,obj7628,7950.000,1400.000,-5400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
TrexPoppunExStage::stage_change::RexPoppunEx::raw,TrexPoppunExStage::stage_change::RexPoppunEx::raw,change_stage_id,Cascade Kingdom,TrexPoppunExStage,subarea,RexPoppunEx,raw,obj64,150.000,-250.000,1800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
TrexPoppunExStage::start,TrexPoppunExStage::start,stage_start,Cascade Kingdom,TrexPoppunExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
TrexPoppunExStage::entrance::RexPoppunEx::sub_far,TrexPoppunExStage::entrance::RexPoppunEx::sub_far,entrance_side,Cascade Kingdom,TrexPoppunExStage,subarea,RexPoppunEx,sub_far,obj64,150.000,-250.000,1800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
TrexPoppunExStage::entrance::RexPoppunEx::sub_near,TrexPoppunExStage::entrance::RexPoppunEx::sub_near,entrance_side,Cascade Kingdom,TrexPoppunExStage,subarea,RexPoppunEx,sub_near,obj64,150.000,-250.000,1800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
WanwanClashExStage::stage_change::WanwanExGoal::raw,WanwanClashExStage::stage_change::WanwanExGoal::raw,change_stage_id,Cascade Kingdom,WanwanClashExStage,subarea,WanwanExGoal,raw,obj434,16050.000,600.000,-1650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
WanwanClashExStage::stage_change::WanwanExStart::raw,WanwanClashExStage::stage_change::WanwanExStart::raw,change_stage_id,Cascade Kingdom,WanwanClashExStage,subarea,WanwanExStart,raw,obj432,-2100.000,0.000,-200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
WanwanClashExStage::start,WanwanClashExStage::start,stage_start,Cascade Kingdom,WanwanClashExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
WanwanClashExStage::entrance::WanwanExGoal::sub_far,WanwanClashExStage::entrance::WanwanExGoal::sub_far,entrance_side,Cascade Kingdom,WanwanClashExStage,subarea,WanwanExGoal,sub_far,obj434,16050.000,600.000,-1650.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
WanwanClashExStage::entrance::WanwanExStart::sub_near,WanwanClashExStage::entrance::WanwanExStart::sub_near,entrance_side,Cascade Kingdom,WanwanClashExStage,subarea,WanwanExStart,sub_near,obj432,-2100.000,0.000,-200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::checkpoint::obj1724,WaterfallWorldHomeStage::checkpoint::obj1724,checkpoint_obj,Cascade Kingdom,WaterfallWorldHomeStage,overworld,,,obj1724,-3252.691,3200.000,-1414.214,StageData,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::checkpoint::obj2832,WaterfallWorldHomeStage::checkpoint::obj2832,checkpoint_obj,Cascade Kingdom,WaterfallWorldHomeStage,overworld,,,obj2832,5020.458,8850.000,10394.470,StageData,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::checkpoint::obj3139,WaterfallWorldHomeStage::checkpoint::obj3139,checkpoint_obj,Cascade Kingdom,WaterfallWorldHomeStage,overworld,,,obj3139,4101.219,3248.755,6646.804,StageData,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::checkpoint::obj597,WaterfallWorldHomeStage::checkpoint::obj597,checkpoint_obj,Cascade Kingdom,WaterfallWorldHomeStage,overworld,,,obj597,12940.054,544.752,4737.616,StageData,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::checkpoint::obj601,WaterfallWorldHomeStage::checkpoint::obj601,checkpoint_obj,Cascade Kingdom,WaterfallWorldHomeStage,overworld,,,obj601,989.950,6014.098,-1484.924,StageData,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::entrance::CapAppearExEnt::home_in,WaterfallWorldHomeStage::entrance::CapAppearExEnt::home_in,entrance_side,Cascade Kingdom,WaterfallWorldHomeStage,overworld,CapAppearExEnt,home_in,obj3256,-5550.788,3227.539,-1661.701,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
WaterfallWorldHomeStage::entrance::CapAppearExExit::home_out,WaterfallWorldHomeStage::entrance::CapAppearExExit::home_out,entrance_side,Cascade Kingdom,WaterfallWorldHomeStage,overworld,CapAppearExExit,home_out,obj2451,-5232.590,3221.948,-1343.503,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
