node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
CloudWorldHomeStage::entrance::Fukuwarai::home_in,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,home_entrance,EntranceDB,Fukuwarai,home_in,obj124,Home entrance: Fukuwarai,-0.000,273.642,0.000,1;2;3,Links to FukuwaraiKuriboStage. StageData anchor UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::entrance::Fukuwarai::home_out,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,home_entrance,EntranceDB,Fukuwarai,home_out,obj124,Home return: Fukuwarai,-0.000,273.642,0.000,1;2;3,Links to FukuwaraiKuriboStage. StageData anchor UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::entrance::cube::home_in,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,home_entrance,EntranceDB,cube,home_in,obj184,Home entrance: cube,-3200.000,200.000,3200.000,3,Links to Cube2DExStage. StageData anchor UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::entrance::cube::home_out,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,home_entrance,EntranceDB,cube,home_out,obj184,Home return: cube,-3200.000,200.000,3200.000,3,Links to Cube2DExStage. StageData anchor UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::stage_change::Fukuwarai::raw,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,stage_change,StageData,Fukuwarai,raw,obj124,Stage Change Fukuwarai,-0.000,273.642,0.000,1;2;3,Raw UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::stage_change::cube::raw,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,stage_change,StageData,cube,raw,obj184,Stage Change cube,-3200.000,200.000,3200.000,3,Raw UnitConfigName=DokanStageChange.,
CloudWorldHomeStage::start,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CloudWorldHomeStage::event::MoonRockActive_Cloud,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,state_event,StageData:progression_events,,,obj182,Moon Rock,-50.000,50.000,-10650.000,3,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj182.,
CloudWorldHomeStage::event::WorldPeace_Cloud,Cloud Kingdom,CloudWorldHomeStage,Cloud Kingdom,overworld,state_event,progression_events,,,,Cloud Kingdom World Peace,,,,,Fill the story moons/bosses that must be completed for world peace in this kingdom.,
Cube2DExStage::stage_change::cube::raw,Cloud Kingdom,Cube2DExStage,2D Cube,subarea,stage_change,StageData,cube,raw,obj774,Stage Change cube,1650.000,4520.000,-1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Cube2DExStage::start,Cloud Kingdom,Cube2DExStage,2D Cube,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
Cube2DExStage::entrance::cube::sub_far,Cloud Kingdom,Cube2DExStage,2D Cube,subarea,substage_entrance,EntranceDB,cube,sub_far,obj774,Substage far side: cube,1650.000,4520.000,-1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CloudWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
Cube2DExStage::entrance::cube::sub_near,Cloud Kingdom,Cube2DExStage,2D Cube,subarea,substage_entrance,EntranceDB,cube,sub_near,obj774,Substage near side: cube,1650.000,4520.000,-1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CloudWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
FukuwaraiKuriboStage::stage_change::Fukuwarai::raw,Cloud Kingdom,FukuwaraiKuriboStage,Picture Match,subarea,stage_change,StageData,Fukuwarai,raw,obj29,Stage Change Fukuwarai,0.000,0.000,1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
FukuwaraiKuriboStage::start,Cloud Kingdom,FukuwaraiKuriboStage,Picture Match,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
FukuwaraiKuriboStage::entrance::Fukuwarai::sub_far,Cloud Kingdom,FukuwaraiKuriboStage,Picture Match,subarea,substage_entrance,EntranceDB,Fukuwarai,sub_far,obj29,Substage far side: Fukuwarai,0.000,0.000,1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CloudWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
