anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
CloudWorldHomeStage::entrance::Fukuwarai::home_in,CloudWorldHomeStage::entrance::Fukuwarai::home_in,entrance_side,Cloud Kingdom,CloudWorldHomeStage,overworld,Fukuwarai,home_in,obj124,-0.000,273.642,0.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::entrance::Fukuwarai::home_out,CloudWorldHomeStage::entrance::Fukuwarai::home_out,entrance_side,Cloud Kingdom,CloudWorldHomeStage,overworld,Fukuwarai,home_out,obj124,-0.000,273.642,0.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::entrance::cube::home_in,CloudWorldHomeStage::entrance::cube::home_in,entrance_side,Cloud Kingdom,CloudWorldHomeStage,overworld,cube,home_in,obj184,-3200.000,200.000,3200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::entrance::cube::home_out,CloudWorldHomeStage::entrance::cube::home_out,entrance_side,Cloud Kingdom,CloudWorldHomeStage,overworld,cube,home_out,obj184,-3200.000,200.000,3200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::stage_change::Fukuwarai::raw,CloudWorldHomeStage::stage_change::Fukuwarai::raw,change_stage_id,Cloud Kingdom,CloudWorldHomeStage,overworld,Fukuwarai,raw,obj124,-0.000,273.642,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::stage_change::cube::raw,CloudWorldHomeStage::stage_change::cube::raw,change_stage_id,Cloud Kingdom,CloudWorldHomeStage,overworld,cube,raw,obj184,-3200.000,200.000,3200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::start,CloudWorldHomeStage::start,stage_start,Cloud Kingdom,CloudWorldHomeStage,overworld,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::event::MoonRockActive_Cloud,CloudWorldHomeStage::event::MoonRockActive_Cloud,state_event,Cloud Kingdom,CloudWorldHomeStage,overworld,,,obj182,-50.000,50.000,-10650.000,StageData:progression_events,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::event::WorldPeace_Cloud,CloudWorldHomeStage::event::WorldPeace_Cloud,state_event,Cloud Kingdom,CloudWorldHomeStage,overworld,,,,,,,progression_events,,Runtime/stable anchor for graph initialization or event checks.
Cube2DExStage::stage_change::cube::raw,Cube2DExStage::stage_change::cube::raw,change_stage_id,Cloud Kingdom,Cube2DExStage,subarea,cube,raw,obj774,1650.000,4520.000,-1400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Cube2DExStage::start,Cube2DExStage::start,stage_start,Cloud Kingdom,Cube2DExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
Cube2DExStage::entrance::cube::sub_far,Cube2DExStage::entrance::cube::sub_far,entrance_side,Cloud Kingdom,Cube2DExStage,subarea,cube,sub_far,obj774,1650.000,4520.000,-1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Cube2DExStage::entrance::cube::sub_near,Cube2DExStage::entrance::cube::sub_near,entrance_side,Cloud Kingdom,Cube2DExStage,subarea,cube,sub_near,obj774,1650.000,4520.000,-1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiKuriboStage::stage_change::Fukuwarai::raw,FukuwaraiKuriboStage::stage_change::Fukuwarai::raw,change_stage_id,Cloud Kingdom,FukuwaraiKuriboStage,subarea,Fukuwarai,raw,obj29,0.000,0.000,1400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiKuriboStage::start,FukuwaraiKuriboStage::start,stage_start,Cloud Kingdom,FukuwaraiKuriboStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiKuriboStage::entrance::Fukuwarai::sub_far,FukuwaraiKuriboStage::entrance::Fukuwarai::sub_far,entrance_side,Cloud Kingdom,FukuwaraiKuriboStage,subarea,Fukuwarai,sub_far,obj29,0.000,0.000,1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiKuriboStage::entrance::Fukuwarai::sub_near,FukuwaraiKuriboStage::entrance::Fukuwarai::sub_near,entrance_side,Cloud Kingdom,FukuwaraiKuriboStage,subarea,Fukuwarai,sub_near,obj29,0.000,0.000,1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::stage_change::Start::raw,CloudWorldHomeStage::stage_change::Start::raw,change_stage_id,Cloud Kingdom,CloudWorldHomeStage,overworld,Start,raw,obj454,-488.429,-1422.589,10011.136,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::stage_change::Come::raw,CloudWorldHomeStage::stage_change::Come::raw,change_stage_id,Cloud Kingdom,CloudWorldHomeStage,overworld,Come,raw,obj97050,0.000,0.000,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CloudWorldHomeStage::stage_change::Go::raw,CloudWorldHomeStage::stage_change::Go::raw,change_stage_id,Cloud Kingdom,CloudWorldHomeStage,overworld,Go,raw,obj97051,0.000,0.000,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
