link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
122,Dark Side,overworld,Special1WorldHomeStage,StackerRoomStart,StackerRoomGoal,Special1WorldTowerStackerStage,StackerRoomStart,StackerRoomGoal,Special1WorldHomeStage::entrance::StackerRoomStart::home_in,Special1WorldHomeStage::entrance::StackerRoomGoal::home_out,Special1WorldTowerStackerStage::entrance::StackerRoomStart::sub_near,Special1WorldTowerStackerStage::entrance::StackerRoomGoal::sub_far,vanilla,
123,Dark Side,overworld,Special1WorldHomeStage,BombTailRoomStart,BombTailRoomGoal,Special1WorldTowerBombTailStage,BombTailRoomStart,BombTailRoomGoal,Special1WorldHomeStage::entrance::BombTailRoomStart::home_in,Special1WorldHomeStage::entrance::BombTailRoomGoal::home_out,Special1WorldTowerBombTailStage::entrance::BombTailRoomStart::sub_near,Special1WorldTowerBombTailStage::entrance::BombTailRoomGoal::sub_far,vanilla,
124,Dark Side,overworld,Special1WorldHomeStage,FireBlowerRoomStart,FireBlowerRoomGoal,Special1WorldTowerFireBlowerStage,FireBlowerRoomStart,FireBlowerRoomGoal,Special1WorldHomeStage::entrance::FireBlowerRoomStart::home_in,Special1WorldHomeStage::entrance::FireBlowerRoomGoal::home_out,Special1WorldTowerFireBlowerStage::entrance::FireBlowerRoomStart::sub_near,Special1WorldTowerFireBlowerStage::entrance::FireBlowerRoomGoal::sub_far,vanilla,
125,Dark Side,overworld,Special1WorldHomeStage,CapThrowerRoomStart,CapThrowerRoomGoal,Special1WorldTowerCapThrowerStage,CapThrowerRoomStart,CapThrowerRoomGoal,Special1WorldHomeStage::entrance::CapThrowerRoomStart::home_in,Special1WorldHomeStage::entrance::CapThrowerRoomGoal::home_out,Special1WorldTowerCapThrowerStage::entrance::CapThrowerRoomStart::sub_near,Special1WorldTowerCapThrowerStage::entrance::CapThrowerRoomGoal::sub_far,vanilla,
126,Dark Side,overworld,Special1WorldHomeStage,BikeSteelNoCapEx,BikeSteelNoCapEx_Exit,BikeSteelNoCapExStage,BikeSteelNoCapEx,BikeSteelNoCapEx_Exit,Special1WorldHomeStage::entrance::BikeSteelNoCapEx::home_in,Special1WorldHomeStage::entrance::BikeSteelNoCapEx_Exit::home_out,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,active,
127,Dark Side,overworld,Special1WorldHomeStage,PackunPoisonNoCapEx,PackunPoisonNoCapEx_Exit,PackunPoisonNoCapExStage,PackunPoisonNoCapEx,PackunPoisonNoCapEx_Exit,Special1WorldHomeStage::entrance::PackunPoisonNoCapEx::home_in,Special1WorldHomeStage::entrance::PackunPoisonNoCapEx_Exit::home_out,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx::sub_near,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx_Exit::sub_far,active,
128,Dark Side,overworld,Special1WorldHomeStage,KillerRoadNoCapEx,KillerRoadNoCapEx,KillerRoadNoCapExStage,KillerRoadNoCapEx,KillerRoadNoCapEx,Special1WorldHomeStage::entrance::KillerRoadNoCapEx::home_in,Special1WorldHomeStage::entrance::KillerRoadNoCapEx::home_out,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,active,
129,Dark Side,overworld,Special1WorldHomeStage,ShootingCityYoshiEx,ShootingCityYoshiEx_Exit,ShootingCityYoshiExStage,ShootingCityYoshiEx,ShootingCityYoshiEx_Exit,Special1WorldHomeStage::entrance::ShootingCityYoshiEx::home_in,Special1WorldHomeStage::entrance::ShootingCityYoshiEx_Exit::home_out,ShootingCityYoshiExStage::entrance::ShootingCityYoshiEx::sub_near,ShootingCityYoshiExStage::entrance::ShootingCityYoshiEx_Exit::sub_far,active,
130,Dark Side,overworld,Special1WorldHomeStage,SenobiTowerYoshiEx,SenobiTowerYoshiEx_Exit,SenobiTowerYoshiExStage,SenobiTowerYoshiEx,SenobiTowerYoshiEx_Exit,Special1WorldHomeStage::entrance::SenobiTowerYoshiEx::home_in,Special1WorldHomeStage::entrance::SenobiTowerYoshiEx_Exit::home_out,SenobiTowerYoshiExStage::entrance::SenobiTowerYoshiEx::sub_near,SenobiTowerYoshiExStage::entrance::SenobiTowerYoshiEx_Exit::sub_far,active,
131,Dark Side,overworld,Special1WorldHomeStage,LavaWorldUpDownYoshiEx,LavaWorldUpDownYoshiEx_Exit,LavaWorldUpDownYoshiExStage,LavaWorldUpDownYoshiEx,LavaWorldUpDownYoshiEx_Exit,Special1WorldHomeStage::entrance::LavaWorldUpDownYoshiEx::home_in,Special1WorldHomeStage::entrance::LavaWorldUpDownYoshiEx_Exit::home_out,LavaWorldUpDownYoshiExStage::entrance::LavaWorldUpDownYoshiEx::sub_near,LavaWorldUpDownYoshiExStage::entrance::LavaWorldUpDownYoshiEx_Exit::sub_far,active,
