node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx::raw,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,stage_change,StageData,BikeSteelNoCapEx,raw,obj7,Stage Change BikeSteelNoCapEx,-300.000,2100.000,1700.000,1,Raw UnitConfigName=DokanStageChange.,
BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx_Exit::raw,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,stage_change,StageData,BikeSteelNoCapEx_Exit,raw,obj8,Stage Change BikeSteelNoCapEx_Exit,-47698.336,1550.000,-33642.492,1,Raw UnitConfigName=DokanStageChange.,
BikeSteelNoCapExStage::start,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,substage_entrance,EntranceDB,BikeSteelNoCapEx,sub_near,obj7,Substage near side: BikeSteelNoCapEx,-300.000,2100.000,1700.000,1,Connected from Special1WorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,substage_entrance,EntranceDB,BikeSteelNoCapEx_Exit,sub_far,obj8,Substage far side: BikeSteelNoCapEx_Exit,-47698.336,1550.000,-33642.492,1,Connected from Special1WorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
KillerRoadNoCapExStage::stage_change::KillerRoadNoCapEx::raw,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,stage_change,StageData,KillerRoadNoCapEx,raw,obj6,Stage Change KillerRoadNoCapEx,1555.635,200.000,1131.371,1,Raw UnitConfigName=DokanStageChange.,
KillerRoadNoCapExStage::start,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,substage_entrance,EntranceDB,KillerRoadNoCapEx,sub_far,obj6,Substage far side: KillerRoadNoCapEx,1555.635,200.000,1131.371,1,Connected from Special1WorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,substage_entrance,EntranceDB,KillerRoadNoCapEx,sub_near,obj6,Substage near side: KillerRoadNoCapEx,1555.635,200.000,1131.371,1,Connected from Special1WorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
LavaWorldUpDownYoshiExStage::stage_change::LavaWorldUpDownYoshiEx::raw,Dark Side,LavaWorldUpDownYoshiExStage,Yoshi's Magma Swamp,subarea,stage_change,StageData,LavaWorldUpDownYoshiEx,raw,obj2,Stage Change LavaWorldUpDownYoshiEx,-1100.000,350.000,2450.000,1,Raw UnitConfigName=ChangeStageArea.,
