anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx::raw,BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx::raw,change_stage_id,Dark Side,BikeSteelNoCapExStage,subarea,BikeSteelNoCapEx,raw,obj7,-300.000,2100.000,1700.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx_Exit::raw,BikeSteelNoCapExStage::stage_change::BikeSteelNoCapEx_Exit::raw,change_stage_id,Dark Side,BikeSteelNoCapExStage,subarea,BikeSteelNoCapEx_Exit,raw,obj8,-47698.336,1550.000,-33642.492,StageData,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelNoCapExStage::start,BikeSteelNoCapExStage::start,stage_start,Dark Side,BikeSteelNoCapExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,entrance_side,Dark Side,BikeSteelNoCapExStage,subarea,BikeSteelNoCapEx,sub_near,obj7,-300.000,2100.000,1700.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,entrance_side,Dark Side,BikeSteelNoCapExStage,subarea,BikeSteelNoCapEx_Exit,sub_far,obj8,-47698.336,1550.000,-33642.492,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
KillerRoadNoCapExStage::stage_change::KillerRoadNoCapEx::raw,KillerRoadNoCapExStage::stage_change::KillerRoadNoCapEx::raw,change_stage_id,Dark Side,KillerRoadNoCapExStage,subarea,KillerRoadNoCapEx,raw,obj6,1555.635,200.000,1131.371,StageData,,Runtime/stable anchor for graph initialization or event checks.
KillerRoadNoCapExStage::start,KillerRoadNoCapExStage::start,stage_start,Dark Side,KillerRoadNoCapExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,entrance_side,Dark Side,KillerRoadNoCapExStage,subarea,KillerRoadNoCapEx,sub_far,obj6,1555.635,200.000,1131.371,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,entrance_side,Dark Side,KillerRoadNoCapExStage,subarea,KillerRoadNoCapEx,sub_near,obj6,1555.635,200.000,1131.371,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LavaWorldUpDownYoshiExStage::stage_change::LavaWorldUpDownYoshiEx::raw,LavaWorldUpDownYoshiExStage::stage_change::LavaWorldUpDownYoshiEx::raw,change_stage_id,Dark Side,LavaWorldUpDownYoshiExStage,subarea,LavaWorldUpDownYoshiEx,raw,obj2,-1100.000,350.000,2450.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
