node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
Special2WorldCloudStage::stage_change::restart::raw,Darker Side,Special2WorldCloudStage,Culmina Crater: Pokio Section,subarea,stage_change,StageData,restart,raw,obj348,Stage Change restart,300.000,0.000,800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=MissRestartArea.,
Special2WorldCloudStage::stage_change::room2_goal::raw,Darker Side,Special2WorldCloudStage,Culmina Crater: Pokio Section,subarea,stage_change,StageData,room2_goal,raw,obj244,Stage Change room2_goal,-15100.000,4269.969,-14700.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange2D.,
Special2WorldCloudStage::stage_change::room2_start::raw,Darker Side,Special2WorldCloudStage,Culmina Crater: Pokio Section,subarea,stage_change,StageData,room2_start,raw,obj142,Stage Change room2_start,0.000,0.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Special2WorldCloudStage::start,Darker Side,Special2WorldCloudStage,Culmina Crater: Pokio Section,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
Special2WorldHomeStage::entrance::CP_Entrance::home_in,Darker Side,Special2WorldHomeStage,Darker Side,overworld,home_entrance,EntranceDB,CP_Entrance,home_in,obj25,Home entrance: CP_Entrance,6450.000,12656.025,-7250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to Special2WorldLavaStage. StageData anchor UnitConfigName=DokanStageChange.,
Special2WorldHomeStage::entrance::MoonGoal::home_out,Darker Side,Special2WorldHomeStage,Darker Side,overworld,home_entrance,EntranceDB,MoonGoal,home_out,obj104,Home return: MoonGoal,6600.000,1800.000,-38800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to Special2WorldLavaStage. StageData anchor UnitConfigName=DokanStageChange.,
Special2WorldHomeStage::stage_change::CP_Entrance::raw,Darker Side,Special2WorldHomeStage,Darker Side,overworld,stage_change,StageData,CP_Entrance,raw,obj25,Stage Change CP_Entrance,6450.000,12656.025,-7250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Special2WorldHomeStage::stage_change::CP_Start::raw,Darker Side,Special2WorldHomeStage,Darker Side,overworld,stage_change,StageData,CP_Start,raw,obj42,Stage Change CP_Start,-7150.000,-1028.001,1500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=PlayerStartObjNoLink.,
Special2WorldHomeStage::stage_change::MoonGoal::raw,Darker Side,Special2WorldHomeStage,Darker Side,overworld,stage_change,StageData,MoonGoal,raw,obj104,Stage Change MoonGoal,6600.000,1800.000,-38800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Special2WorldHomeStage::stage_change::start::raw,Darker Side,Special2WorldHomeStage,Darker Side,overworld,stage_change,StageData,start,raw,obj2,Stage Change start,-7150.000,-1028.001,1500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=PlayerActorHakoniwa.,
