edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0437,Darker Side,overworld,Special2WorldHomeStage::start,Special2WorldHomeStage::entrance::CP_Entrance::home_in,Frog,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0438,Darker Side,subarea,Special2WorldKoopaStage::start,Special2WorldKoopaStage::entrance::room3_goal::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0439,Darker Side,subarea,Special2WorldCloudStage::entrance::room2_start::home_in,Special2WorldCloudStage::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0440,Darker Side,subarea,Special2WorldLavaStage::entrance::room2_start::sub_near,Special2WorldLavaStage::entrance::room3_start::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0441,Darker Side,subarea,Special2WorldLavaStage::entrance::room3_start::sub_near,Special2WorldLavaStage::entrance::room2_start::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0442,Darker Side,subarea,Special2WorldLavaStage::entrance::room2_start::sub_far,Special2WorldLavaStage::entrance::room3_start::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0443,Darker Side,subarea,Special2WorldLavaStage::entrance::room3_start::sub_far,Special2WorldLavaStage::entrance::MoonGoal::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0444,Darker Side,subarea,Special2WorldLavaStage::entrance::MoonGoal::sub_far,Special2WorldLavaStage::entrance::CP_Entrance::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0371,Darker Side,subarea,Special2WorldKoopaStage::entrance::room3_goal::home_in,Special2WorldKoopaStage::entrance::room3_goal::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0387,Darker Side,subarea,Special2WorldKoopaStage::entrance::room3_goal::sub_far,Special2WorldKoopaStage::entrance::room3_goal::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0389,Darker Side,subarea,Special2WorldCloudStage::entrance::room2_start::home_in,Special2WorldCloudStage::entrance::room2_start::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0390,Darker Side,subarea,Special2WorldCloudStage::entrance::room2_start::sub_near,Special2WorldCloudStage::entrance::room2_start::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0397,Darker Side,subarea,Special2WorldLavaStage::entrance::room2_start::home_in,Special2WorldLavaStage::entrance::room3_start::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0398,Darker Side,subarea,Special2WorldLavaStage::entrance::room2_start::home_in,Special2WorldLavaStage::entrance::room2_start::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0976,Darker Side,overworld,Special2WorldHomeStage::entrance::CP_Entrance::home_in,Special2WorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0437.,,
