anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
Special2WorldCloudStage::stage_change::restart::raw,Special2WorldCloudStage::stage_change::restart::raw,change_stage_id,Darker Side,Special2WorldCloudStage,subarea,restart,raw,obj348,300.000,0.000,800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldCloudStage::stage_change::room2_goal::raw,Special2WorldCloudStage::stage_change::room2_goal::raw,change_stage_id,Darker Side,Special2WorldCloudStage,subarea,room2_goal,raw,obj244,-15100.000,4269.969,-14700.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldCloudStage::stage_change::room2_start::raw,Special2WorldCloudStage::stage_change::room2_start::raw,change_stage_id,Darker Side,Special2WorldCloudStage,subarea,room2_start,raw,obj142,0.000,0.000,900.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldCloudStage::start,Special2WorldCloudStage::start,stage_start,Darker Side,Special2WorldCloudStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::entrance::CP_Entrance::home_in,Special2WorldHomeStage::entrance::CP_Entrance::home_in,entrance_side,Darker Side,Special2WorldHomeStage,overworld,CP_Entrance,home_in,obj25,6450.000,12656.025,-7250.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::entrance::MoonGoal::home_out,Special2WorldHomeStage::entrance::MoonGoal::home_out,entrance_side,Darker Side,Special2WorldHomeStage,overworld,MoonGoal,home_out,obj104,6600.000,1800.000,-38800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::stage_change::CP_Entrance::raw,Special2WorldHomeStage::stage_change::CP_Entrance::raw,change_stage_id,Darker Side,Special2WorldHomeStage,overworld,CP_Entrance,raw,obj25,6450.000,12656.025,-7250.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::stage_change::CP_Start::raw,Special2WorldHomeStage::stage_change::CP_Start::raw,change_stage_id,Darker Side,Special2WorldHomeStage,overworld,CP_Start,raw,obj42,-7150.000,-1028.001,1500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::stage_change::MoonGoal::raw,Special2WorldHomeStage::stage_change::MoonGoal::raw,change_stage_id,Darker Side,Special2WorldHomeStage,overworld,MoonGoal,raw,obj104,6600.000,1800.000,-38800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::stage_change::start::raw,Special2WorldHomeStage::stage_change::start::raw,change_stage_id,Darker Side,Special2WorldHomeStage,overworld,start,raw,obj2,-7150.000,-1028.001,1500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Special2WorldHomeStage::start,Special2WorldHomeStage::start,stage_start,Darker Side,Special2WorldHomeStage,overworld,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
