node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
FastenerExStage::start,Lake Kingdom,FastenerExStage,Unzipping the Chasm,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
FastenerExStage::entrance::FastenerEx::sub_far,Lake Kingdom,FastenerExStage,Unzipping the Chasm,subarea,substage_entrance,EntranceDB,FastenerEx,sub_far,obj263,Substage far side: FastenerEx,1000.000,200.000,450.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
FastenerExStage::entrance::FastenerEx::sub_near,Lake Kingdom,FastenerExStage,Unzipping the Chasm,subarea,substage_entrance,EntranceDB,FastenerEx,sub_near,obj263,Substage near side: FastenerEx,1000.000,200.000,450.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
FrogPoisonExStage::start,Lake Kingdom,FrogPoisonExStage,Waves of Poison,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,Lake Kingdom,FrogPoisonExStage,Waves of Poison,subarea,substage_entrance,EntranceDB,LakeWorldMoonEX1a,sub_near,obj4566,Substage near side: LakeWorldMoonEX1a,64200.000,-850.000,36100.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,Lake Kingdom,FrogPoisonExStage,Waves of Poison,subarea,substage_entrance,EntranceDB,LakeWorldMoonEX1b,sub_far,obj4567,Substage far side: LakeWorldMoonEX1b,58200.000,-500.000,22600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
GotogotonExStage::start,Lake Kingdom,GotogotonExStage,Puzzle Room,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
GotogotonExStage::entrance::Goton::sub_far,Lake Kingdom,GotogotonExStage,Puzzle Room,subarea,substage_entrance,EntranceDB,Goton,sub_far,obj273,Substage far side: Goton,1750.000,-50.000,5750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
GotogotonExStage::entrance::Goton::sub_near,Lake Kingdom,GotogotonExStage,Puzzle Room,subarea,substage_entrance,EntranceDB,Goton,sub_near,obj273,Substage near side: Goton,1750.000,-50.000,5750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LakeWorldHomeStage.,
LakeWorld2DZone::start,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,custom_place,embedded_zone,,,,LakeWorld2DZone,-14200.000,1450.000,1250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Embedded map landmark from LakeWorld2DZone.,
LakeWorldHomeStage::entrance::CapTrampolineA::home_in,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,home_entrance,EntranceDB,CapTrampolineA,home_in,obj628,Home entrance: CapTrampolineA,-1800.000,2650.000,-5400.000,0;1;2;3,Links to TrampolineWallCatchExStage.,
LakeWorldHomeStage::entrance::CapTrampolineB::home_out,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,home_entrance,EntranceDB,CapTrampolineB,home_out,obj632,Home return: CapTrampolineB,-2650.000,1750.000,-4150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to TrampolineWallCatchExStage.,
LakeWorldHomeStage::entrance::FastenerEx::home_in,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,home_entrance,EntranceDB,FastenerEx,home_in,obj918,Home entrance: FastenerEx,-200.000,-3050.000,-4600.000,0;1;2;3,Links to FastenerExStage.,
LakeWorldHomeStage::entrance::FastenerEx::home_out,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,home_entrance,EntranceDB,FastenerEx,home_out,obj918,Home return: FastenerEx,-200.000,-3050.000,-4600.000,0;1;2;3,Links to FastenerExStage.,
LakeWorldHomeStage::entrance::Goton::home_in,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,home_entrance,EntranceDB,Goton,home_in,obj972,Home entrance: Goton,400.000,-1850.000,3800.000,1;2;3,Links to GotogotonExStage.,
