moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
LakeWorldHomeStage:715:401,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,On the Lakeshore,LakeWorldHomeStage:715:401,715,401,ShineFlag_None,LakeWorldHomeStage::start,,GroundPound,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Ground Pound),false,,,,,,,,,-2900.000,540.112,5350.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,7,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,湖のほとりに,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldHomeStage:396:402,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,Taking Notes: Dive and Swim,LakeWorldHomeStage:396:402,396,402,ShineFlag_None,LakeWorldHomeStage::start,,Swim,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),false,,,,,,,,,0.000,-250.000,1250.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,10,-1,15,false,false,1;2;3;4,音符オブジェ(1つ目),潜って泳いで 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:371:403,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,"Let's Go Swimming, Captain Toad!",LakeWorldTownZone:371:403,371,403,ShineFlag_None,LakeWorldHomeStage::place::new_place_17,,NpcTalk,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw; other=Dive)",false,,,,,,,,,-344500.000,-24500.000,-69500.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,9,-1,15,false,false,1;2;3;4,キノピオ隊長,おじゃまします！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:1074:404,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,What's in the Box?,LakeWorldTownZone:1074:404,1074,404,ShineFlag_None,LakeWorldTownZone::checkpoint::obj220,,free,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw; other=Dive)",false,,,,,,,,,-35500.000,1550.000,-3600.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,5,-1,63,false,false,1;2;3;4;5;6,木箱,発見！ 湖の木箱から,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:1057:405,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,From the Broken Pillar,LakeWorldTownZone:1057:405,1057,405,ShineFlag_None,LakeWorldHomeStage::place::new_place_16,,GroundPound | Pukupuku,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture, Cheep-Cheep | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound) | method_3(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw; other=Ground Pound, Dive)",false,,,,,,,,,-340400.000,-3305.220,-67500.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,12,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,水中の折れた柱から,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:1120:406,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,I Feel Underdressed,LakeWorldTownZone:1120:406,1120,406,ShineFlag_None,LakeWorldTownZone::checkpoint::obj693,,free,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Outfit) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw; other=Dive, Outfit)",false,,,,,,,,,-35107.500,-1934.000,-6300.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,16,-1,15,false,false,1;2;3;4,帽子ひっかけポイント,水着で 失礼します,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorld2DZone:13:407,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,Taking Notes: In the Cliffside,LakeWorld2DZone:13:407,13,407,ShineFlag_None,LakeWorld2DZone::start,,Pipe2D,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, 2D jump (any jump)) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw; other=Dive, 2D jump (any jump))",false,,,,,,,,,1500.000,4200.000,-50.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,13,-1,15,false,false,1;2;3;4,音符オブジェ2D(1つ目)_2D,ガケの中で 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldHomeStage:768:408,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,Peach in the Lake Kingdom,LakeWorldHomeStage:768:408,768,408,ShineFlag_None,LakeWorldTownZone::checkpoint::obj220,,(KingdomAccess_Mushroom & NpcTalk),WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",false,,,,,,,,,-11200.000,2550.000,-3550.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,27,-1,12,false,false,3;4,世界旅行ピーチ,湖の国で ピーチ姫,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:398:409,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,I Met a Lake Cheep Cheep!,LakeWorldTownZone:398:409,398,409,ShineFlag_None,LakeWorldHomeStage::place::new_place_16,,Pukupuku,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Cheep-Cheep | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",false,,,,,,,,,-341400.000,625.000,-68300.000,ShineInfo.szs,ShineList_LakeWorldHomeStage.byml;ShinePosList.byml,0,25,-1,46,false,false,2;3;4;6,湖の民,プクプクに 出会った！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LakeWorldTownZone:488:410,Lake Kingdom,LakeWorldHomeStage,Lake Kingdom,overworld,End of the Hidden Passage,LakeWorldTownZone:488:410,488,410,ShineFlag_None,LakeWorldTownZone::checkpoint::obj583,,Fastener,WorldPeace_Lake,MoonRockActive_Lake,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,L,-1,,0;1;2;3,-1,None,,-5600.000,2150.000,-5600.000,LakeWorldTownZoneMap.szs,LakeWorldTownZoneMap.byml,4,3,-1,15,false,false,1;2;3;4,シャイン【2m置き】,かくし通路の 突き当たり,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
