edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0026,Lake Kingdom,subarea,TrampolineWallCatchExStage::entrance::CapTrampolineA::sub_near,TrampolineWallCatchExStage::entrance::CapTrampolineB::sub_far,LedgeGrab | (Dive & Vault & NeutralThrow) | (NeutralThrow & WallJump),,human_route,casual;advanced;expert,false,editor,Created in graph editor.,"1,2,3,4",
edge_user_0027,Lake Kingdom,subarea,TrampolineWallCatchExStage::entrance::CapTrampolineB::sub_far,TrampolineWallCatchExStage::entrance::CapTrampolineA::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0026.,,
edge_user_0028,Lake Kingdom,subarea,FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,(NeutralThrow & Vault & Dive) | (WallJump & Dive) | Frog,,human_route,advanced;advanced;casual,false,editor,Created in graph editor.,,
edge_user_0029,Lake Kingdom,subarea,FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,Dive | WallJump | (Spin & WanwanBig) | Vault | TripleJump | Frog,,human_route,advanced;advanced;advanced;advanced;advanced;casual,false,editor,Reverse of edge_user_0028.,,
edge_user_0137,Lake Kingdom,overworld,LakeWorldTownZone::start,LakeWorldTownZone::checkpoint::obj839,Swim,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0138,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj839,LakeWorldTownZone::checkpoint::obj583,Swim,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0139,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj839,LakeWorldTownZone::checkpoint::obj693,Swim,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0140,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj693,LakeWorldTownZone::checkpoint::obj1389,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0142,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj1323,LakeWorldTownZone::checkpoint::obj839,Swim,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0143,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj839,LakeWorldTownZone::checkpoint::obj1323,impossible,,human_route,casual,false,editor,Reverse of edge_user_0142.,,
edge_user_0254,Lake Kingdom,overworld,LakeWorldHomeStage::start,LakeWorldHomeStage::place::new_place,(Vault & Dive & NeutralThrow) | (TripleJump & WallJump & Dive) | (Fastener & Swim) | KingdomAccess_Lake | (Kuribo & UpThrow) | (NeutralThrow & Kuribo & Vault) | (NeutralThrow & Kuribo & Backflip) | (NeutralThrow & Kuribo & DoubleJump) | (NeutralThrow & Kuribo & GroundPoundJump) | (NeutralThrow & SideFlip & Kuribo) | (UpThrow & Vault & Dive) | (NeutralThrow & Vault & WallJump) | (DownThrow & Vault & WallJump & Dive),,human_route,advanced;advanced;casual;casual;expert;expert;expert;expert;expert;expert;advanced;advanced;advanced,true,editor,Created in graph editor.,"1,2,3,4;1,2,3,4;1,2,3,4;2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4;1,2,3,4",
edge_user_0255,Lake Kingdom,overworld,LakeWorldHomeStage::start,LakeWorldHomeStage::event::MoonRockActive_Lake,Swim | KingdomAccess_Lake,,human_route,casual;advanced,true,editor,Created in graph editor.,"1,2,3,4;2,3,4",
edge_user_0256,Lake Kingdom,overworld,LakeWorldTownZone::checkpoint::obj693,LakeWorldTownZone::checkpoint::obj220,Swim,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0141,Lake Kingdom,overworld,LakeWorldHomeStage::start,LakeWorldHomeStage::entrance::LakeWorldMoonEX1a::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0257,Lake Kingdom,overworld,LakeWorldHomeStage::start,LakeWorldHomeStage::entrance::LakeWorldMoonEX1b::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
