anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
FastenerExStage::start,FastenerExStage::start,stage_start,Lake Kingdom,FastenerExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FastenerExStage::entrance::FastenerEx::sub_far,FastenerExStage::entrance::FastenerEx::sub_far,entrance_side,Lake Kingdom,FastenerExStage,subarea,FastenerEx,sub_far,obj263,1000.000,200.000,450.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FastenerExStage::entrance::FastenerEx::sub_near,FastenerExStage::entrance::FastenerEx::sub_near,entrance_side,Lake Kingdom,FastenerExStage,subarea,FastenerEx,sub_near,obj263,1000.000,200.000,450.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FrogPoisonExStage::start,FrogPoisonExStage::start,stage_start,Lake Kingdom,FrogPoisonExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,entrance_side,Lake Kingdom,FrogPoisonExStage,subarea,LakeWorldMoonEX1a,sub_near,obj4566,64200.000,-850.000,36100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,entrance_side,Lake Kingdom,FrogPoisonExStage,subarea,LakeWorldMoonEX1b,sub_far,obj4567,58200.000,-500.000,22600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
GotogotonExStage::start,GotogotonExStage::start,stage_start,Lake Kingdom,GotogotonExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
GotogotonExStage::entrance::Goton::sub_far,GotogotonExStage::entrance::Goton::sub_far,entrance_side,Lake Kingdom,GotogotonExStage,subarea,Goton,sub_far,obj273,1750.000,-50.000,5750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
GotogotonExStage::entrance::Goton::sub_near,GotogotonExStage::entrance::Goton::sub_near,entrance_side,Lake Kingdom,GotogotonExStage,subarea,Goton,sub_near,obj273,1750.000,-50.000,5750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::CapTrampolineA::home_in,LakeWorldHomeStage::entrance::CapTrampolineA::home_in,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,CapTrampolineA,home_in,obj628,-1800.000,2650.000,-5400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::CapTrampolineB::home_out,LakeWorldHomeStage::entrance::CapTrampolineB::home_out,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,CapTrampolineB,home_out,obj632,-2650.000,1750.000,-4150.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::FastenerEx::home_in,LakeWorldHomeStage::entrance::FastenerEx::home_in,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,FastenerEx,home_in,obj918,-200.000,-3050.000,-4600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::FastenerEx::home_out,LakeWorldHomeStage::entrance::FastenerEx::home_out,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,FastenerEx,home_out,obj918,-200.000,-3050.000,-4600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::Goton::home_in,LakeWorldHomeStage::entrance::Goton::home_in,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,Goton,home_in,obj972,400.000,-1850.000,3800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::Goton::home_out,LakeWorldHomeStage::entrance::Goton::home_out,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,Goton,home_out,obj972,400.000,-1850.000,3800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::LakeWorldMoonEX1a::home_in,LakeWorldHomeStage::entrance::LakeWorldMoonEX1a::home_in,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldMoonEX1a,home_in,obj752,1750.000,1040.000,5550.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::LakeWorldMoonEX1b::home_out,LakeWorldHomeStage::entrance::LakeWorldMoonEX1b::home_out,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldMoonEX1b,home_out,obj753,1750.000,800.912,6150.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::LakeWorldShop::home_in,LakeWorldHomeStage::entrance::LakeWorldShop::home_in,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldShop,home_in,obj1114,-4250.000,-2550.000,-2050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::entrance::LakeWorldShop::home_out,LakeWorldHomeStage::entrance::LakeWorldShop::home_out,entrance_side,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldShop,home_out,obj1114,-4250.000,-2550.000,-2050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::stage_change::LakeWorldMoonEX1a::raw,LakeWorldHomeStage::stage_change::LakeWorldMoonEX1a::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldMoonEX1a,raw,obj752,1750.000,1040.000,5550.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::stage_change::LakeWorldMoonEX1b::raw,LakeWorldHomeStage::stage_change::LakeWorldMoonEX1b::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldMoonEX1b,raw,obj753,1750.000,800.912,6150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::stage_change::LakeWorldRacemanStart::raw,LakeWorldHomeStage::stage_change::LakeWorldRacemanStart::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldRacemanStart,raw,obj849,-800.000,492.861,3850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::stage_change::StartPoint::raw,LakeWorldHomeStage::stage_change::StartPoint::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,StartPoint,raw,obj4,700.000,800.000,6350.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::start,LakeWorldHomeStage::start,stage_start,Lake Kingdom,LakeWorldHomeStage,overworld,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::event::MoonRockActive_Lake,LakeWorldHomeStage::event::MoonRockActive_Lake,state_event,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj552,4400.000,1200.000,-550.000,StageData:progression_events,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldHomeStage::event::WorldPeace_Lake,LakeWorldHomeStage::event::WorldPeace_Lake,state_event,Lake Kingdom,LakeWorldHomeStage,overworld,,,,,,,progression_events,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldShopStage::start,LakeWorldShopStage::start,stage_start,Lake Kingdom,LakeWorldShopStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldShopStage::entrance::LakeWorldShop::sub_far,LakeWorldShopStage::entrance::LakeWorldShop::sub_far,entrance_side,Lake Kingdom,LakeWorldShopStage,subarea,LakeWorldShop,sub_far,obj7,0.000,-100.000,50.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldShopStage::entrance::LakeWorldShop::sub_near,LakeWorldShopStage::entrance::LakeWorldShop::sub_near,entrance_side,Lake Kingdom,LakeWorldShopStage,subarea,LakeWorldShop,sub_near,obj7,0.000,-100.000,50.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj1323,LakeWorldTownZone::checkpoint::obj1323,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj1323,-5850.000,3950.000,-6300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj1389,LakeWorldTownZone::checkpoint::obj1389,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj1389,-17700.000,-2550.000,-4850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj220,LakeWorldTownZone::checkpoint::obj220,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj220,-13800.000,2340.001,-4850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj583,LakeWorldTownZone::checkpoint::obj583,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj583,-8500.000,1650.000,1050.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj693,LakeWorldTownZone::checkpoint::obj693,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj693,-16500.000,-4000.000,-3150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::checkpoint::obj839,LakeWorldTownZone::checkpoint::obj839,checkpoint_obj,Lake Kingdom,LakeWorldHomeStage,overworld,,,obj839,-6300.000,-2150.000,-3150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::CapTrampolineA::raw,LakeWorldTownZone::stage_change::CapTrampolineA::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,CapTrampolineA,raw,obj628,-17300.000,2650.000,-8550.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::CapTrampolineB::raw,LakeWorldTownZone::stage_change::CapTrampolineB::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,CapTrampolineB,raw,obj632,-18150.000,1750.000,-7300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::Come::raw,LakeWorldTownZone::stage_change::Come::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,Come,raw,obj560,-5850.000,3950.000,-5600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::FastenerEx::raw,LakeWorldTownZone::stage_change::FastenerEx::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,FastenerEx,raw,obj918,-15700.000,-3050.000,-7750.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::Goton::raw,LakeWorldTownZone::stage_change::Goton::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,Goton,raw,obj972,-15100.000,-1850.000,650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::LakeWorldShop::raw,LakeWorldTownZone::stage_change::LakeWorldShop::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,LakeWorldShop,raw,obj1114,-19750.000,-2550.000,-5200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::Odyssey::raw,LakeWorldTownZone::stage_change::Odyssey::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,Odyssey,raw,obj651,-7600.000,850.000,2450.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
TrampolineWallCatchExStage::start,TrampolineWallCatchExStage::start,stage_start,Lake Kingdom,TrampolineWallCatchExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
TrampolineWallCatchExStage::entrance::CapTrampolineA::sub_near,TrampolineWallCatchExStage::entrance::CapTrampolineA::sub_near,entrance_side,Lake Kingdom,TrampolineWallCatchExStage,subarea,CapTrampolineA,sub_near,obj529,-1000.000,-100.000,400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
TrampolineWallCatchExStage::entrance::CapTrampolineB::sub_far,TrampolineWallCatchExStage::entrance::CapTrampolineB::sub_far,entrance_side,Lake Kingdom,TrampolineWallCatchExStage,subarea,CapTrampolineB,sub_far,obj1027,-2800.000,600.000,-9500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FastenerExStage::stage_change::FastenerEx::raw,FastenerExStage::stage_change::FastenerEx::raw,change_stage_id,Lake Kingdom,FastenerExStage,subarea,FastenerEx,raw,obj263,1000.000,200.000,450.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FrogPoisonExStage::stage_change::LakeWorldMoonEX1a::raw,FrogPoisonExStage::stage_change::LakeWorldMoonEX1a::raw,change_stage_id,Lake Kingdom,FrogPoisonExStage,subarea,LakeWorldMoonEX1a,raw,obj4566,64200.000,-850.000,36100.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FrogPoisonExStage::stage_change::LakeWorldMoonEX1b::raw,FrogPoisonExStage::stage_change::LakeWorldMoonEX1b::raw,change_stage_id,Lake Kingdom,FrogPoisonExStage,subarea,LakeWorldMoonEX1b,raw,obj4567,58200.000,-500.000,22600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
GotogotonExStage::stage_change::Goton::raw,GotogotonExStage::stage_change::Goton::raw,change_stage_id,Lake Kingdom,GotogotonExStage,subarea,Goton,raw,obj273,1750.000,-50.000,5750.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldShopStage::stage_change::LakeWorldShop::raw,LakeWorldShopStage::stage_change::LakeWorldShop::raw,change_stage_id,Lake Kingdom,LakeWorldShopStage,subarea,LakeWorldShop,raw,obj7,0.000,-100.000,50.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
LakeWorldTownZone::stage_change::Go::raw,LakeWorldTownZone::stage_change::Go::raw,change_stage_id,Lake Kingdom,LakeWorldHomeStage,overworld,Go,raw,obj651,-7600.000,850.000,2450.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
