node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
ClashWorldHomeStage::checkpoint::obj2899,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,checkpoint,StageData,,,obj2899,Mountainside Platform Checkpoint (obj2899),-5580.000,32.581,2550.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
ClashWorldHomeStage::checkpoint::obj543,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,checkpoint,StageData,,,obj543,Swamp Hill Checkpoint (obj543),1600.000,2200.000,-3600.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
ClashWorldHomeStage::checkpoint::obj545,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,checkpoint,StageData,,,obj545,Rocky Mountain Summit Checkpoint (obj545),-2750.000,7248.565,4550.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,ClashWorldMoonEX2,home_in,obj1639,Home entrance: ClashWorldMoonEX2,-1200.000,4100.000,3050.000,3,Links to JangoExStage. StageData anchor UnitConfigName=DokanStageChange.,
ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_out,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,ClashWorldMoonEX2,home_out,obj1639,Home return: ClashWorldMoonEX2,-1200.000,4100.000,3050.000,3,Links to JangoExStage. StageData anchor UnitConfigName=DokanStageChange.,
ClashWorldHomeStage::entrance::Kinopio::home_in,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,Kinopio,home_in,obj3798,Home entrance: Kinopio,-2800.041,7300.000,3200.073,0;1;2;3,Links to ClashWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.,
ClashWorldHomeStage::entrance::Kinopio::home_out,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,Kinopio,home_out,obj3798,Home return: Kinopio,-2800.041,7300.000,3200.073,0;1;2;3,Links to ClashWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.,
ClashWorldHomeStage::entrance::imomu_01::home_in,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,imomu_01,home_in,obj1640,Home entrance: imomu_01,6600.000,400.000,9000.000,3,Links to ImomuPoisonExStage. StageData anchor UnitConfigName=DokanStageChange.,
ClashWorldHomeStage::entrance::imomu_02::home_out,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,home_entrance,EntranceDB,imomu_02,home_out,obj1641,Home return: imomu_02,5662.062,400.000,8631.596,3,Links to ImomuPoisonExStage. StageData anchor UnitConfigName=DokanStageChange.,
ClashWorldHomeStage::stage_change::ClashStart1::raw,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,stage_change,StageData,ClashStart1,raw,obj2772,Stage Change ClashStart1,6700.000,400.000,13300.000,2;3,Raw UnitConfigName=PlayerStartObjNoLink.,
