moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
ClashWorldHomeStage:83:372,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,"Get Some Rest, Captain Toad",ClashWorldHomeStage:83:372,83,372,ShineFlag_None,ClashWorldHomeStage::checkpoint::obj2899,,NpcTalk,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,,,,,,,,,-500.000,100.000,-4100.000,ShineInfo.szs,ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,1,7,-1,15,false,false,1;2;3;4,キノピオ隊長,ひとやすみ！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:1144:373,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,A Propeller Pillar's Secret,ClashWorldHomeStage:1144:373,1144,373,ShineFlag_None,ClashWorldHomeStage::checkpoint::obj543,,GroundPound,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound),true,,,,,,,,,-200.000,2200.000,700.000,ShineInfo.szs,ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,1,18,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,プロペラ柱のヒミツ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:39:374,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Inside the Stone Cage,ClashWorldHomeStage:39:374,39,374,ShineFlag_None,ClashWorldHomeStage::start,,GroundPound,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound),true,Shine,G,-1,,0;1;2;3,-1,None,,2650.000,350.000,-850.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,2,-1,15,false,false,1;2;3;4,シャイン,岩の中に とらわれて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:54:375,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Inside the Rising Stone Pillar,ClashWorldHomeStage:54:375,54,375,ShineFlag_None,ClashWorldHomeStage::start,,GroundPound,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound),true,Shine,G,-1,,0;1;2;3,-1,None,,2600.000,1000.000,-4250.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,3,-1,15,false,false,1;2;3;4,シャイン,せり上がる石柱の中,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:71:376,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Atop a Propeller Pillar,ClashWorldHomeStage:71:376,71,376,ShineFlag_None,ClashWorldHomeStage::checkpoint::obj543,,free,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,ShineAddHeight,G,-1,,0;1;2;3,-1,None,,-4400.000,2200.000,700.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,1,-1,15,false,false,1;2;3;4,シャイン【2m置き】,プロペラ柱の中心で,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:111:377,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,On a Tree in the Swamp,ClashWorldHomeStage:111:377,111,377,ShineFlag_None,ClashWorldHomeStage::place::new_place,,free,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,Shine,G,-1,,0;1;2;3,-1,None,,-1050.000,3000.000,-1700.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,4,-1,15,false,false,1;2;3;4,シャイン,やどり木の上,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:142:378,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Cave Gardening,ClashWorldHomeStage:142:378,142,378,ShineFlag_None,ClashWorldHomeStage::place::new_place_3,,SpinThrow | UpThrow | NeutralThrow | DownThrow,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"captures=Frog, Uproot, Fire Bro, Shiverian, Gushen, Hammer Bro, Pokio, Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Wall Jump) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-2659.000,3920.000,4178.000,ShineInfo.szs,ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,1,12,-1,63,false,false,1;2;3;4;5;6,帽子花グループ,咲かせて 洞くつの花,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;casual;casual,
ClashWorldHomeStage:492:379,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,On the Mountain Road,ClashWorldHomeStage:492:379,492,379,ShineFlag_None,ClashWorldHomeStage::checkpoint::obj543,,GroundPound,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,,,,,,,,,-4450.000,2508.080,6200.000,ShineInfo.szs,ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,1,9,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,岩山を すすむ道中で,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:564:380,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Below the Cliff's Edge,ClashWorldHomeStage:564:380,564,380,ShineFlag_None,ClashWorldHomeStage::start,,free,WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=None),true,Shine,G,-1,,0;1;2;3,-1,None,,6300.000,900.000,-3900.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,0,-1,15,false,false,1;2;3;4,シャイン,ガケっぷちの下に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ClashWorldHomeStage:575:381,Lost Kingdom,ClashWorldHomeStage,Lost Kingdom,overworld,Soaring Over Forgotten Isle!,ClashWorldHomeStage:575:381,575,381,ShineFlag_None,ClashWorldHomeStage::checkpoint::obj545,,Kakku | (GroundPound & RollBoost & Vault & Dive & NeutralThrow) | (TripleJump & Vault & Dive & NeutralThrow),WorldPeace_Lost,MoonRockActive_Lost,primary,unrated,,"captures=Paragoomba, Gushen, Glydon, Parabones, Dino | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,Shine,G,-1,,0;1;2;3,-1,None,,-4850.000,-450.000,17150.000,ClashWorldHomeStageMap.szs;ShineInfo.szs,ClashWorldHomeStageMap.byml;ShineList_ClashWorldHomeStage.byml;ShinePosList.byml,4,14,-1,15,false,false,1;2;3;4,シャイン,ロス島の空を舞う！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;expert,
