edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0038,Lost Kingdom,subarea,ImomuPoisonExStage::entrance::imomu_01::sub_near,ImomuPoisonExStage::entrance::imomu_02::sub_far,Imomu | SingleJump | LongJump | Dive,,human_route,casual;expert;advanced;advanced,false,editor,Created in graph editor.,"1,2,3,4",
edge_user_0039,Lost Kingdom,subarea,ImomuPoisonExStage::entrance::imomu_02::sub_far,ImomuPoisonExStage::entrance::imomu_01::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0038.,,
edge_user_0160,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::checkpoint::obj543,GroundPound | KingdomAccess_Lost | Dive,,human_route,casual;advanced;casual,true,editor,Created in graph editor.,,
edge_user_0161,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::checkpoint::obj545,(GroundPound & WallJump),,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0162,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::checkpoint::obj2899,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0163,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::entrance::Kinopio::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0164,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::checkpoint::obj543,free,,human_route,casual,false,editor,Reverse of edge_user_0161.,,
edge_user_0166,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0167,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::entrance::imomu_01::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0168,Lost Kingdom,overworld,ClashWorldHomeStage::entrance::imomu_02::home_out,ClashWorldHomeStage::start,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0169,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::entrance::imomu_02::home_out,impossible,,human_route,casual,false,editor,Reverse of edge_user_0168.,,
edge_user_0373,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::event::MoonRockActive_Lost,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0454,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place_2,ClashWorldHomeStage::place::new_place_3,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0455,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::place::new_place_2,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0456,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place_2,ClashWorldHomeStage::checkpoint::obj545,(GroundPound & WallJump),,human_route,casual,false,editor,Reverse of edge_user_0455.,,
edge_user_0458,Lost Kingdom,subarea,ClashWorldShopStage::entrance::Kinopio::sub_near,ClashWorldShopStage::entrance::Kinopio::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0459,Lost Kingdom,subarea,JangoExStage::entrance::ClashWorldMoonEX2::sub_far,JangoExStage::entrance::ClashWorldMoonEX2::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0188,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::place::new_place,free,,human_route,expert,false,editor,Created in graph editor.,,
edge_user_0186,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::place::new_place,Vault | KingdomAccess_Lost | Dive | WallJump | TripleJump | (GroundPound & Imomu) | Spin | GroundPound,,human_route,advanced;expert;advanced;advanced;advanced;casual;advanced;advanced,true,editor,Created in graph editor.,,
edge_user_0191,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::place::new_place_3,Dive | (WallJump & Dive) | (Backflip & Dive) | WallJump | (Vault & NeutralThrow) | (Backflip & LedgeGrab) | (TripleJump & LedgeGrab) | (Spin & LedgeGrab) | (GroundPoundJump & LedgeGrab) | (SideFlip & LedgeGrab) | (Vault & UpThrow),,human_route,advanced;casual;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0192,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place_3,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0193,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::place::new_place_3,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0194,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place_3,ClashWorldHomeStage::checkpoint::obj545,(GroundPound & WallJump) | WallJump,,human_route,casual;advanced,false,editor,Reverse of edge_user_0193.,,
edge_user_0568,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place,ClashWorldHomeStage::checkpoint::obj545,impossible,,human_route,expert,false,editor,Reverse of edge_user_0188.,,
edge_user_0619,Lost Kingdom,overworld,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,ClashWorldHomeStage::checkpoint::obj545,impossible,,human_route,casual,false,editor,Reverse of edge_user_0166.,,
edge_user_0165,Lost Kingdom,overworld,ClashWorldHomeStage::place::new_place_3,ClashWorldHomeStage::checkpoint::obj543,free,,human_route,casual,false,editor,Reverse of edge_user_0191.,,
edge_user_0784,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::stage_change::Go::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0785,Lost Kingdom,overworld,ClashWorldHomeStage::stage_change::Come::raw,ClashWorldHomeStage::checkpoint::obj545,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0005,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::place::new_place_4,Imomu | (NeutralThrow & Vault & Dive) | (NeutralThrow & Fukankun & Dive) | (DownThrow & Fukankun & Dive),,human_route,casual;expert;advanced;advanced,true,editor,Created in graph editor.,,
edge_user_0006,Lost Kingdom,overworld,ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::place::new_place_4,(NeutralThrow & Kakku & Dive) | (DownThrow & Kakku & Dive) | (UpThrow & Kakku & Dive),,human_route,advanced;advanced;expert,true,editor,Created in graph editor.,,
edge_user_0847,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::checkpoint::obj2899,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0848,Lost Kingdom,overworld,ClashWorldHomeStage::start,ClashWorldHomeStage::place::new_place_5,NpcTalk,,human_route,casual,true,editor,Created in graph editor.,,
