anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
ClashWorldHomeStage::checkpoint::obj2899,ClashWorldHomeStage::checkpoint::obj2899,checkpoint_obj,Lost Kingdom,ClashWorldHomeStage,overworld,,,obj2899,-5580.000,32.581,2550.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::checkpoint::obj543,ClashWorldHomeStage::checkpoint::obj543,checkpoint_obj,Lost Kingdom,ClashWorldHomeStage,overworld,,,obj543,1600.000,2200.000,-3600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::checkpoint::obj545,ClashWorldHomeStage::checkpoint::obj545,checkpoint_obj,Lost Kingdom,ClashWorldHomeStage,overworld,,,obj545,-2750.000,7248.565,4550.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,ClashWorldMoonEX2,home_in,obj1639,-1200.000,4100.000,3050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_out,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_out,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,ClashWorldMoonEX2,home_out,obj1639,-1200.000,4100.000,3050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::Kinopio::home_in,ClashWorldHomeStage::entrance::Kinopio::home_in,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,Kinopio,home_in,obj3798,-2800.041,7300.000,3200.073,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::Kinopio::home_out,ClashWorldHomeStage::entrance::Kinopio::home_out,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,Kinopio,home_out,obj3798,-2800.041,7300.000,3200.073,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::imomu_01::home_in,ClashWorldHomeStage::entrance::imomu_01::home_in,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,imomu_01,home_in,obj1640,6600.000,400.000,9000.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::entrance::imomu_02::home_out,ClashWorldHomeStage::entrance::imomu_02::home_out,entrance_side,Lost Kingdom,ClashWorldHomeStage,overworld,imomu_02,home_out,obj1641,5662.062,400.000,8631.596,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::stage_change::ClashStart1::raw,ClashWorldHomeStage::stage_change::ClashStart1::raw,change_stage_id,Lost Kingdom,ClashWorldHomeStage,overworld,ClashStart1,raw,obj2772,6700.000,400.000,13300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::stage_change::ClashWorldMoonEX2::raw,ClashWorldHomeStage::stage_change::ClashWorldMoonEX2::raw,change_stage_id,Lost Kingdom,ClashWorldHomeStage,overworld,ClashWorldMoonEX2,raw,obj1639,-1200.000,4100.000,3050.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::stage_change::Kinopio::raw,ClashWorldHomeStage::stage_change::Kinopio::raw,change_stage_id,Lost Kingdom,ClashWorldHomeStage,overworld,Kinopio,raw,obj3798,-2800.041,7300.000,3200.073,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::stage_change::imomu_01::raw,ClashWorldHomeStage::stage_change::imomu_01::raw,change_stage_id,Lost Kingdom,ClashWorldHomeStage,overworld,imomu_01,raw,obj1640,6600.000,400.000,9000.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::stage_change::imomu_02::raw,ClashWorldHomeStage::stage_change::imomu_02::raw,change_stage_id,Lost Kingdom,ClashWorldHomeStage,overworld,imomu_02,raw,obj1641,5662.062,400.000,8631.596,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::start,ClashWorldHomeStage::start,stage_start,Lost Kingdom,ClashWorldHomeStage,overworld,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::event::MoonRockActive_Lost,ClashWorldHomeStage::event::MoonRockActive_Lost,state_event,Lost Kingdom,ClashWorldHomeStage,overworld,,,obj610,8200.000,-428.193,-1150.000,StageData:progression_events,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldHomeStage::event::WorldPeace_Lost,ClashWorldHomeStage::event::WorldPeace_Lost,state_event,Lost Kingdom,ClashWorldHomeStage,overworld,,,,,,,progression_events,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldShopStage::stage_change::Kinopio::raw,ClashWorldShopStage::stage_change::Kinopio::raw,change_stage_id,Lost Kingdom,ClashWorldShopStage,subarea,Kinopio,raw,obj12,0.000,-100.000,50.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldShopStage::stage_change::kinopio::raw,ClashWorldShopStage::stage_change::kinopio::raw,change_stage_id,Lost Kingdom,ClashWorldShopStage,subarea,kinopio,raw,obj2,0.000,0.000,-400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ClashWorldShopStage::start,ClashWorldShopStage::start,stage_start,Lost Kingdom,ClashWorldShopStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
