link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
85,Luncheon Kingdom,overworld,LavaWorldHomeStage,ForkEX,ForkEX,ForkExStage,ForkEX,ForkEX,LavaWorldHomeStage::entrance::ForkEX::home_in,LavaWorldHomeStage::entrance::ForkEX::home_out,ForkExStage::entrance::ForkEX::sub_near,ForkExStage::entrance::ForkEX::sub_far,active,
86,Luncheon Kingdom,overworld,LavaWorldHomeStage,LavaLiftEx,LavaLiftExdokan,CapAppearLavaLiftExStage,LavaLiftEx,LavaLiftExdokan,LavaWorldHomeStage::entrance::LavaLiftEx::home_in,LavaWorldHomeStage::entrance::LavaLiftExdokan::home_out,CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,active,
87,Luncheon Kingdom,overworld,LavaWorldHomeStage,GabuzouClockEx,GabuzouClockExdokan,GabuzouClockExStage,GabuzouClockEx,GabuzouClockExdokan,LavaWorldHomeStage::entrance::GabuzouClockEx::home_in,LavaWorldHomeStage::entrance::GabuzouClockExdokan::home_out,GabuzouClockExStage::entrance::GabuzouClockEx::sub_near,GabuzouClockExStage::entrance::GabuzouClockExdokan::sub_far,active,
88,Luncheon Kingdom,overworld,LavaWorldHomeStage,PechoBubbleEx,PechoBubbleExDokan,LavaWorldBubbleLaneExStage,PechoBubbleEx,PechoBubbleExDokan,LavaWorldHomeStage::entrance::PechoBubbleEx::home_in,LavaWorldHomeStage::entrance::PechoBubbleExDokan::home_out,LavaWorldBubbleLaneExStage::entrance::PechoBubbleEx::sub_near,LavaWorldBubbleLaneExStage::entrance::PechoBubbleExDokan::sub_far,active,
89,Luncheon Kingdom,overworld,LavaWorldHomeStage,MartinCubeEx,MartinCubeEx,LavaWorldExcavationExStage,MartinCubeEx,MartinCubeEx,LavaWorldHomeStage::entrance::MartinCubeEx::home_in,LavaWorldHomeStage::entrance::MartinCubeEx::home_out,LavaWorldExcavationExStage::entrance::MartinCubeEx::sub_near,LavaWorldExcavationExStage::entrance::MartinCubeEx::sub_far,active,
90,Luncheon Kingdom,overworld,LavaWorldHomeStage,KeyMoveEx,KeyMoveExDokan,LavaWorldUpDownExStage,KeyMoveEx,KeyMoveExDokan,LavaWorldHomeStage::entrance::KeyMoveEx::home_in,LavaWorldHomeStage::entrance::KeyMoveExDokan::home_out,LavaWorldUpDownExStage::entrance::KeyMoveEx::sub_near,LavaWorldUpDownExStage::entrance::KeyMoveExDokan::sub_far,active,
91,Luncheon Kingdom,overworld,LavaWorldHomeStage,BBQEx,BBQExDokan,LavaWorldClockExStage,BBQEx,BBQExDokan,LavaWorldHomeStage::entrance::BBQEx::home_in,LavaWorldHomeStage::entrance::BBQExDokan::home_out,LavaWorldClockExStage::entrance::BBQEx::sub_near,LavaWorldClockExStage::entrance::BBQExDokan::sub_far,active,
92,Luncheon Kingdom,overworld,LavaWorldHomeStage,FenceLiftEx,FenceLiftExdokan,LavaWorldFenceLiftExStage,FenceLiftEx,FenceLiftExdokan,LavaWorldHomeStage::entrance::FenceLiftEx::home_in,LavaWorldHomeStage::entrance::FenceLiftExdokan::home_out,LavaWorldFenceLiftExStage::entrance::FenceLiftEx::sub_near,LavaWorldFenceLiftExStage::entrance::FenceLiftExdokan::sub_far,active,
93,Luncheon Kingdom,overworld,LavaWorldHomeStage,CostumeEventWorldLava,CostumeOut,LavaWorldCostumeStage,CostumeEventWorldLava,CostumeOut,LavaWorldHomeStage::entrance::CostumeEventWorldLava::home_in,LavaWorldHomeStage::entrance::CostumeOut::home_out,LavaWorldCostumeStage::entrance::CostumeEventWorldLava::sub_near,LavaWorldCostumeStage::entrance::CostumeOut::sub_far,active,
94,Luncheon Kingdom,overworld,LavaWorldHomeStage,TreasureEventWorldLava,TreasureEventWorldLava,LavaWorldTreasureStage,TreasureEventWorldLava,TreasureEventWorldLava,LavaWorldHomeStage::entrance::TreasureEventWorldLava::home_in,LavaWorldHomeStage::entrance::TreasureEventWorldLava::home_out,LavaWorldTreasureStage::entrance::TreasureEventWorldLava::sub_near,LavaWorldTreasureStage::entrance::TreasureEventWorldLava::sub_far,active,
95,Luncheon Kingdom,overworld,LavaWorldHomeStage,town,town,LavaBonus1Zone,town,town,LavaWorldHomeStage::entrance::town::home_in,LavaWorldHomeStage::entrance::town::home_out,LavaBonus1Zone::entrance::town::sub_near,LavaBonus1Zone::entrance::town::sub_far,active,
96,Luncheon Kingdom,overworld,LavaWorldHomeStage,shop,shop,LavaWorldShopStage,shop,shop,LavaWorldHomeStage::entrance::shop::home_in,LavaWorldHomeStage::entrance::shop::home_out,LavaWorldShopStage::entrance::shop::sub_near,LavaWorldShopStage::entrance::shop::sub_far,active,
