node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
CapAppearLavaLiftExStage::stage_change::LavaLiftEx::raw,Luncheon Kingdom,CapAppearLavaLiftExStage,Volcano Cave Cruising,subarea,stage_change,StageData,LavaLiftEx,raw,obj649,Stage Change LavaLiftEx,-400.000,0.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CapAppearLavaLiftExStage::stage_change::LavaLiftExdokan::raw,Luncheon Kingdom,CapAppearLavaLiftExStage,Volcano Cave Cruising,subarea,stage_change,StageData,LavaLiftExdokan,raw,obj650,Stage Change LavaLiftExdokan,-200.000,1500.000,750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CapAppearLavaLiftExStage::start,Luncheon Kingdom,CapAppearLavaLiftExStage,Volcano Cave Cruising,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,Luncheon Kingdom,CapAppearLavaLiftExStage,Volcano Cave Cruising,subarea,substage_entrance,EntranceDB,LavaLiftEx,sub_near,obj649,Substage near side: LavaLiftEx,-400.000,0.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LavaWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,Luncheon Kingdom,CapAppearLavaLiftExStage,Volcano Cave Cruising,subarea,substage_entrance,EntranceDB,LavaLiftExdokan,sub_far,obj650,Substage far side: LavaLiftExdokan,-200.000,1500.000,750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LavaWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
ForkExStage::stage_change::ForkEX::raw,Luncheon Kingdom,ForkExStage,Fork-Flickin to the Summit,subarea,stage_change,StageData,ForkEX,raw,obj5759,Stage Change ForkEX,-926.525,-50.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
ForkExStage::start,Luncheon Kingdom,ForkExStage,Fork-Flickin to the Summit,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
ForkExStage::entrance::ForkEX::sub_far,Luncheon Kingdom,ForkExStage,Fork-Flickin to the Summit,subarea,substage_entrance,EntranceDB,ForkEX,sub_far,obj5759;obj5761,Substage far side: ForkEX,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LavaWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
ForkExStage::entrance::ForkEX::sub_near,Luncheon Kingdom,ForkExStage,Fork-Flickin to the Summit,subarea,substage_entrance,EntranceDB,ForkEX,sub_near,obj5759;obj5761,Substage near side: ForkEX,,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from LavaWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
GabuzouClockExStage::stage_change::GabuzouClockEx::raw,Luncheon Kingdom,GabuzouClockExStage,Blazing Above the Gears,subarea,stage_change,StageData,GabuzouClockEx,raw,obj901,Stage Change GabuzouClockEx,-2900.000,900.000,150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
