moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
LavaWorldHomeStage:5616:240,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Is This an Ingredient Too?!,LavaWorldHomeStage:5616:240,5616,240,ShineFlag_None,LavaWorldHomeStage::place::new_place,,free,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Hammer Bro | method_1(jump=Cap Return Jump (400); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ledge Grab) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-4250.000,2800.000,4500.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,7,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,木箱,これも食材！？,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:3420:241,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Golden Turnip Recipe 2,LavaWorldHomeStage:3420:241,3420,241,ShineFlag_None,LavaWorldHomeStage::place::new_place_4,,free,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Fire Bro, Hammer Bro | method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw; other=Dive, Ledge Grab) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ledge Grab)",true,ShineAddHeight,Common,-1,,10;11;12;13;14;3;4;5;8,-1,None,,-1350.000,2210.000,4050.000,LavaWorldHomeStageMap.szs;ShineInfo.szs,LavaWorldHomeStageMap.byml;ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,9,13,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,シャイン【2m置き】_ゴールドカブ,金色カブのレシピ ２,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:3421:242,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Golden Turnip Recipe 1,LavaWorldHomeStage:3421:242,3421,242,ShineFlag_None,LavaWorldHomeStage::place::new_place,,free,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,ShineAddHeight,Common,-1,,10;11;12;13;14;3;4;5;8,-1,None,,-1350.000,2210.000,4300.000,LavaWorldHomeStageMap.szs;ShineInfo.szs,LavaWorldHomeStageMap.byml;ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,9,9,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,シャイン【2m置き】_ゴールドカブ,金色カブのレシピ １,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:3419:243,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Golden Turnip Recipe 3,LavaWorldHomeStage:3419:243,3419,243,ShineFlag_None,LavaWorldHomeStage::place::new_place_2,,HammerBros,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Hammer Bro | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,Common,-1,,10;11;12;13;14;3;4;5;8,-1,None,,-1350.000,2210.000,3800.000,LavaWorldHomeStageMap.szs;ShineInfo.szs,LavaWorldHomeStageMap.byml;ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,9,17,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,シャイン【2m置き】_ゴールドカブ,金色カブのレシピ ３,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:4980:244,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Taking Notes: Swimming in Magma,LavaWorldHomeStage:4980:244,4980,244,ShineFlag_None,LavaWorldHomeStage::checkpoint::obj4074,,Bubble,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Lava Bubble | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-14460.300,2066.810,-11490.500,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,21,-1,711,false,false,1;2;3;7;8;10,音符オブジェ(1つ目),泳いでマグマの 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:5575:245,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Island of Salt Floating in the Lava,LavaWorldHomeStage:5575:245,5575,245,ShineFlag_None,LavaWorldHomeStage::checkpoint::obj4619,,GroundPound,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Lava Bubble | method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=Damage Boost, Ground Pound) | method_2(jump=Single Jump (258); cap_throw=Up Throw, Down Throw, Spin Throw, No Cap Throw Needed; other=Capture, Ground Pound)",true,,,,,,,,,6000.000,-33.804,-3850.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,8,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,ここ掘れポイント,溶岩に浮かぶ塩の島,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:5620:246,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Overlooking a Bunch of Ingredients,LavaWorldHomeStage:5620:246,5620,246,ShineFlag_None,LavaWorldHomeStage::place::new_place,,(FireBros & GroundPound) | (HammerBros & GroundPound) | (Kuribo & GroundPound) | GroundPound | (WallJump & GroundPound) | (Vault & GroundPound & NeutralThrow) | (Dive & GroundPound) | (KingdomAccess_Luncheon & GroundPound) | (Backflip & GroundPound) | (GroundPoundJump & GroundPound) | (SideFlip & GroundPound) | (Spin & GroundPound) | (TripleJump & GroundPound),WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,lava bounce strat only available in post game,"captures=Lava Bubble, Hammer Bro, Fire Bro | method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw; other=Ground Pound, Dive) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound)",true,,,,,,,,,-950.000,4462.010,12450.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,16,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,ここ掘れポイント,食材たくさん見渡して,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;casual;advanced;casual;casual;casual;casual;expert;advanced;advanced;advanced;advanced;casual,"2,3,4,5,6,8,7;1,2,3,4,5,6,7,8;2,3,4,5,6,8,7;5,6,8,7;1,2,3,4,5,6,7,8;1,2,3,4,5,6,7,8;1,2,3,4,5,6,7,8;1;1;1;1;1;1,2,3,4,5,6,7,8"
LavaWorldHomeStage:5621:247,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Atop a Column in a Row,LavaWorldHomeStage:5621:247,5621,247,ShineFlag_None,LavaWorldHomeStage::place::new_place,,GroundPound,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,500.000,3250.000,2300.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,10,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,ここ掘れポイント,ならんだ柱の てっぺんで,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:5624:248,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Surrounded by Tall Mountains,LavaWorldHomeStage:5624:248,5624,248,ShineFlag_None,LavaWorldHomeStage::place::new_place_3,,GroundPound | (HammerBros & GroundPound) | (FireBros & GroundPound) | (Bubble & GroundPound),WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,Podobo only possible in post game scenario,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound),true,,,,,,,,,-16850.000,3300.000,1300.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,14,-1,1023,false,false,1;2;3;4;5;6;7;8;9;10,ここ掘れポイント,高い山に囲まれて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,advanced;casual;casual;casual,"1,2,3,4,5;1,2,3,4,5;2,3,4,5;5"
LavaWorldTimerAthletic001Zone:109:249,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Luncheon Kingdom Timer Challenge 2,LavaWorldTimerAthletic001Zone:109:249,109,249,ShineFlag_None,LavaWorldTimerAthletic001Zone::start,,free,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,15900.000,2000.000,7400.000,ShineInfo.szs,ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,1,42,-1,198,false,false,2;3;7;8,鍵付き宝箱,料理の国で チクタク・アスレチック ２,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
LavaWorldHomeStage:340:250,Luncheon Kingdom,LavaWorldHomeStage,Luncheon Kingdom,overworld,Lurking in the Pillar's Shadow,LavaWorldHomeStage:340:250,340,250,ShineFlag_None,LavaWorldHomeStage::start,,free,WorldPeace_Luncheon,MoonRockActive_Luncheon,primary,unrated,,"captures=Lava Bubble | method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Damage Boost) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_3(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=None)",true,ShineAddHeight,H,-1,,0;1;2;6;7;9,-1,None,,12300.000,400.000,6100.000,LavaWorldHomeStageMap.szs;ShineInfo.szs,LavaWorldHomeStageMap.byml;ShineList_LavaWorldHomeStage.byml;ShinePosList.byml,6,6,-1,711,false,false,1;2;3;7;8;10,シャイン【2m置き】,柱のかげに ひっそりと,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
