edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0063,Luncheon Kingdom,subarea,GabuzouClockExStage::entrance::GabuzouClockExdokan::sub_far,GabuzouClockExStage::entrance::GabuzouClockEx::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0064,Luncheon Kingdom,subarea,LavaWorldFenceLiftExStage::entrance::FenceLiftEx::sub_near,LavaWorldFenceLiftExStage::entrance::FenceLiftExdokan::sub_far,Bubble,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0065,Luncheon Kingdom,subarea,LavaWorldFenceLiftExStage::entrance::FenceLiftExdokan::sub_far,LavaWorldFenceLiftExStage::entrance::FenceLiftEx::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0064.,,
edge_user_0066,Luncheon Kingdom,subarea,LavaWorldUpDownExStage::entrance::KeyMoveEx::sub_near,LavaWorldUpDownExStage::entrance::KeyMoveExDokan::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0067,Luncheon Kingdom,subarea,LavaWorldBubbleLaneExStage::entrance::PechoBubbleEx::sub_near,LavaWorldBubbleLaneExStage::entrance::PechoBubbleExDokan::sub_far,Bubble | (Vault & Dive & NeutralThrow),,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0068,Luncheon Kingdom,subarea,LavaWorldCostumeStage::entrance::CostumeEventWorldLava::sub_near,LavaWorldCostumeStage::entrance::CostumeOut::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0069,Luncheon Kingdom,subarea,LavaWorldClockExStage::entrance::BBQEx::sub_near,LavaWorldClockExStage::entrance::BBQExDokan::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0070,Luncheon Kingdom,subarea,CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0071,Luncheon Kingdom,subarea,CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,(Vault & WallJump & NeutralThrow),,human_route,casual,false,editor,Reverse of edge_user_0070.,,
edge_user_0460,Luncheon Kingdom,overworld,LavaWorldHomeStage::start,LavaWorldHomeStage::checkpoint::obj642,Bubble | KingdomAccess_Luncheon,,human_route,casual;advanced,true,editor,Created in graph editor.,"1,3,4,5",
edge_user_0461,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj642,LavaWorldHomeStage::checkpoint::obj2549,free,,human_route,casual,true,editor,Created in graph editor.,"3,4,5",
edge_user_0462,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj642,LavaWorldHomeStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0469,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj4074,LavaWorldHomeStage::place::new_place_2,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0471,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj2292,LavaWorldHomeStage::checkpoint::obj2549,Bubble,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0472,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj4120,LavaWorldIslandZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0474,Luncheon Kingdom,overworld,LavaWorldTimerAthletic000Zone::start,LavaWorldHomeStage::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0475,Luncheon Kingdom,overworld,LavaWorldHomeStage::place::new_place,LavaWorldHomeStage::entrance::BBQEx::home_in,Bubble,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0476,Luncheon Kingdom,overworld,LavaWorldHomeStage::entrance::CostumeEventWorldLava::home_in,LavaWorldHomeStage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0477,Luncheon Kingdom,overworld,LavaWorldHomeStage::entrance::ForkEX::home_in,LavaWorldHomeStage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0478,Luncheon Kingdom,overworld,LavaWorldHomeStage::entrance::KeyMoveEx::home_in,LavaWorldHomeStage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0479,Luncheon Kingdom,overworld,LavaWorldHomeStage::checkpoint::obj4074,LavaWorldHomeStage::entrance::MartinCubeEx::home_in,HammerBros,,human_route,casual,false,editor,Created in graph editor.,,
