anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
CapAppearLavaLiftExStage::stage_change::LavaLiftEx::raw,CapAppearLavaLiftExStage::stage_change::LavaLiftEx::raw,change_stage_id,Luncheon Kingdom,CapAppearLavaLiftExStage,subarea,LavaLiftEx,raw,obj649,-400.000,0.000,900.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapAppearLavaLiftExStage::stage_change::LavaLiftExdokan::raw,CapAppearLavaLiftExStage::stage_change::LavaLiftExdokan::raw,change_stage_id,Luncheon Kingdom,CapAppearLavaLiftExStage,subarea,LavaLiftExdokan,raw,obj650,-200.000,1500.000,750.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapAppearLavaLiftExStage::start,CapAppearLavaLiftExStage::start,stage_start,Luncheon Kingdom,CapAppearLavaLiftExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,entrance_side,Luncheon Kingdom,CapAppearLavaLiftExStage,subarea,LavaLiftEx,sub_near,obj649,-400.000,0.000,900.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,entrance_side,Luncheon Kingdom,CapAppearLavaLiftExStage,subarea,LavaLiftExdokan,sub_far,obj650,-200.000,1500.000,750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ForkExStage::stage_change::ForkEX::raw,ForkExStage::stage_change::ForkEX::raw,change_stage_id,Luncheon Kingdom,ForkExStage,subarea,ForkEX,raw,obj5759,-926.525,-50.000,900.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
ForkExStage::start,ForkExStage::start,stage_start,Luncheon Kingdom,ForkExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
ForkExStage::entrance::ForkEX::sub_far,ForkExStage::entrance::ForkEX::sub_far,entrance_side,Luncheon Kingdom,ForkExStage,subarea,ForkEX,sub_far,obj5759;obj5761,,,,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
ForkExStage::entrance::ForkEX::sub_near,ForkExStage::entrance::ForkEX::sub_near,entrance_side,Luncheon Kingdom,ForkExStage,subarea,ForkEX,sub_near,obj5759;obj5761,,,,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
GabuzouClockExStage::stage_change::GabuzouClockEx::raw,GabuzouClockExStage::stage_change::GabuzouClockEx::raw,change_stage_id,Luncheon Kingdom,GabuzouClockExStage,subarea,GabuzouClockEx,raw,obj901,-2900.000,900.000,150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
