link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
51,Metro Kingdom,overworld,CityWorldHomeStage,main_enter,main_exit,CityWorldMainTowerStage,main_enter,main_exit,CityWorldHomeStage::entrance::main_enter::home_in,CityWorldHomeStage::entrance::main_exit::home_out,CityWorldMainTowerStage::entrance::main_enter::sub_near,CityWorldMainTowerStage::entrance::main_exit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
52,Metro Kingdom,overworld,CityWorldHomeStage,densen,densendokan,ElectricWireExStage,densen,densendokan,CityWorldHomeStage::entrance::densen::home_in,CityWorldHomeStage::entrance::densendokan::home_out,ElectricWireExStage::entrance::densen::sub_near,ElectricWireExStage::entrance::densendokan::sub_far,active,
53,Metro Kingdom,overworld,CityWorldHomeStage,kaitendokan,kaitendokan,CapRotatePackunExStage,kaitendokan,kaitendokan,CityWorldHomeStage::entrance::kaitendokan::home_in,CityWorldHomeStage::entrance::kaitendokan::home_out,CapRotatePackunExStage::entrance::kaitendokan::sub_near,CapRotatePackunExStage::entrance::kaitendokan::sub_far,active,
54,Metro Kingdom,overworld,CityWorldHomeStage,bike02,bike02return,TrexBikeExStage,bike02,bike02return,CityWorldHomeStage::entrance::bike02::home_in,CityWorldHomeStage::entrance::bike02return::home_out,TrexBikeExStage::entrance::bike02::sub_near,TrexBikeExStage::entrance::bike02return::sub_far,active,
55,Metro Kingdom,overworld,CityWorldHomeStage,gragra,gragrareturn,SwingSteelExStage,gragra,gragrareturn,CityWorldHomeStage::entrance::gragra::home_in,CityWorldHomeStage::entrance::gragrareturn::home_out,SwingSteelExStage::entrance::gragra::sub_near,SwingSteelExStage::entrance::gragrareturn::sub_far,active,
56,Metro Kingdom,overworld,CityWorldHomeStage,donsuke,donsuke,DonsukeExStage,donsuke,donsuke,CityWorldHomeStage::entrance::donsuke::home_in,CityWorldHomeStage::entrance::donsuke::home_out,DonsukeExStage::entrance::donsuke::sub_near,DonsukeExStage::entrance::donsuke::sub_far,active,
57,Metro Kingdom,overworld,CityWorldHomeStage,theater,theater,Theater2DExStage,theater,theater,CityWorldHomeStage::entrance::theater::home_in,CityWorldHomeStage::entrance::theater::home_out,Theater2DExStage::entrance::theater::sub_near,Theater2DExStage::entrance::theater::sub_far,active,
58,Metro Kingdom,overworld,CityWorldHomeStage,gunsyu,gunsyudokan,CityPeopleRoadStage,gunsyu,gunsyudokan,CityWorldHomeStage::entrance::gunsyu::home_in,CityWorldHomeStage::entrance::gunsyudokan::home_out,CityPeopleRoadStage::entrance::gunsyu::sub_near,CityPeopleRoadStage::entrance::gunsyudokan::sub_far,active,
59,Metro Kingdom,overworld,CityWorldHomeStage,bou,boureturn,PoleKillerExStage,bou,boureturn,CityWorldHomeStage::entrance::bou::home_in,CityWorldHomeStage::entrance::boureturn::home_out,PoleKillerExStage::entrance::bou::sub_near,PoleKillerExStage::entrance::boureturn::sub_far,active,
60,Metro Kingdom,overworld,CityWorldHomeStage,onpu,onpu,Note2D3DRoomExStage,onpu,onpu,CityWorldHomeStage::entrance::onpu::home_in,CityWorldHomeStage::entrance::onpu::home_out,Note2D3DRoomExStage::entrance::onpu::sub_near,Note2D3DRoomExStage::entrance::onpu::sub_far,active,
