node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
BikeSteelExStage::stage_change::bike::raw,Metro Kingdom,BikeSteelExStage,Scooter Daredevil,subarea,stage_change,StageData,bike,raw,obj1745,Stage Change bike,200.000,2100.000,1800.000,0,Raw UnitConfigName=DokanStageChange.,
BikeSteelExStage::stage_change::bikereturn::raw,Metro Kingdom,BikeSteelExStage,Scooter Daredevil,subarea,stage_change,StageData,bikereturn,raw,obj1744,Stage Change bikereturn,-47195.445,1550.000,-33539.672,0,Raw UnitConfigName=DokanStageChange.,
BikeSteelExStage::start,Metro Kingdom,BikeSteelExStage,Scooter Daredevil,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
BikeSteelExStage::entrance::bike::sub_near,Metro Kingdom,BikeSteelExStage,Scooter Daredevil,subarea,substage_entrance,EntranceDB,bike,sub_near,obj1745,Substage near side: bike,200.000,2100.000,1800.000,0,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
BikeSteelExStage::entrance::bikereturn::sub_far,Metro Kingdom,BikeSteelExStage,Scooter Daredevil,subarea,substage_entrance,EntranceDB,bikereturn,sub_far,obj1744,Substage far side: bikereturn,-47195.445,1550.000,-33539.672,0,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CapRotatePackunExStage::stage_change::kaitendokan::raw,Metro Kingdom,CapRotatePackunExStage,Rotating Maze Shards,subarea,stage_change,StageData,kaitendokan,raw,obj197,Stage Change kaitendokan,-910.500,-700.000,3500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CapRotatePackunExStage::start,Metro Kingdom,CapRotatePackunExStage,Rotating Maze Shards,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CapRotatePackunExStage::entrance::kaitendokan::sub_far,Metro Kingdom,CapRotatePackunExStage,Rotating Maze Shards,subarea,substage_entrance,EntranceDB,kaitendokan,sub_far,obj197,Substage far side: kaitendokan,-910.500,-700.000,3500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CapRotatePackunExStage::entrance::kaitendokan::sub_near,Metro Kingdom,CapRotatePackunExStage,Rotating Maze Shards,subarea,substage_entrance,EntranceDB,kaitendokan,sub_near,obj197,Substage near side: kaitendokan,-910.500,-700.000,3500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CityPeopleRoadStage::stage_change::gunsyu::raw,Metro Kingdom,CityPeopleRoadStage,Crowded Alleyway,subarea,stage_change,StageData,gunsyu,raw,obj379,Stage Change gunsyu,-1100.000,-50.000,-5950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
CityPeopleRoadStage::stage_change::gunsyudokan::raw,Metro Kingdom,CityPeopleRoadStage,Crowded Alleyway,subarea,stage_change,StageData,gunsyudokan,raw,obj248,Stage Change gunsyudokan,333.000,100.000,1250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CityPeopleRoadStage::start,Metro Kingdom,CityPeopleRoadStage,Crowded Alleyway,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CityPeopleRoadStage::entrance::gunsyu::sub_near,Metro Kingdom,CityPeopleRoadStage,Crowded Alleyway,subarea,substage_entrance,EntranceDB,gunsyu,sub_near,obj379,Substage near side: gunsyu,-1100.000,-50.000,-5950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=ChangeStageArea.,
CityPeopleRoadStage::entrance::gunsyudokan::sub_far,Metro Kingdom,CityPeopleRoadStage,Crowded Alleyway,subarea,substage_entrance,EntranceDB,gunsyudokan,sub_far,obj248,Substage far side: gunsyudokan,333.000,100.000,1250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from CityWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
CityWorld2DSign004Zone::start,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,custom_place,embedded_zone,,,,CityWorld2DSign004Zone,-4539.211,84.531,-4743.570,2;6;10;13,Embedded map landmark from CityWorld2DSign004Zone.,
CityWorldFactory01Zone::stage_change::under001enter::raw,Metro Kingdom,CityWorldFactoryStage,Sewers,subarea,stage_change,StageData,under001enter,raw,obj2,Stage Change under001enter,37750.000,700.000,6950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=PlayerActorHakoniwa.,
CityWorldFactory01Zone::start,Metro Kingdom,CityWorldFactoryStage,Sewers,subarea,custom_place,embedded_zone,,,,CityWorldFactory01Zone,43250.000,900.000,-1500.000,,Embedded map landmark from CityWorldFactory01Zone.,
CityWorldFactoryStage::stage_change::under001enter::raw,Metro Kingdom,CityWorldFactoryStage,Sewers,subarea,stage_change,StageData,under001enter,raw,obj221,Stage Change under001enter,-6900.000,1000.000,-2650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
CityWorldFactoryStage::start,Metro Kingdom,CityWorldFactoryStage,Sewers,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CityWorldHomeStage::checkpoint::obj14061,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj14061,Isolated Rooftop Checkpoint (obj14061),18150.000,-1300.000,23800.000,1;2;3;4;6;7;9;10;12;13,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj3994,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj3994,Main Street Entrance Checkpoint (obj3994),0.000,-11.035,10300.000,1;3;4;7;9;11;12,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj3996,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj3996,Heliport Checkpoint (obj3996),4700.000,5982.012,-11400.000,0;1;3;4;7;9;11;12;14,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj3998,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj3998,Mayor Pauline Commemorative Park Checkpoint (obj3998),17865.000,-16.824,-10650.000,1;3;4;7;9;11;12,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj4000,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj4000,Outdoor Cafe Checkpoint (obj4000),-7500.000,67.976,-8850.000,1;3;4;7;9;11;12,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj4904,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj4904,New Donk City Hall Plaza Checkpoint (obj4904),250.000,82.000,-7100.000,1;3;4;7;9;11;12,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj5012,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj5012,Rooftop Garden Checkpoint (obj5012),-7200.000,4039.715,1350.000,1;3;4;7;9;11;12,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj5016,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj5016,New Donk City Hall Rooftop Checkpoint (obj5016),-0.000,10936.929,-10600.000,0;1;3;4;7;9;11;12;14,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj8918,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj8918,City Outskirts Checkpoint (obj8918),5850.000,-11.035,9200.000,0;14,Raw UnitConfigName=CheckpointFlag.,
CityWorldHomeStage::checkpoint::obj9017,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,checkpoint,StageData,,,obj9017,Construction Access Checkpoint (obj9017),3950.000,85.479,-8850.000,0;14,Raw UnitConfigName=CheckpointFlag.,
