moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
CityWorldHomeStage:3203:37,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,New Donk City's Pest Problem,CityWorldHomeStage:3203:37,3203,37,ShineFlag_Story | ShineFlag_Multi,CityWorldHomeStage::place::new_place_9,,free,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Tank, Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Climb)",true,,,,,,,,,0.000,16200.000,-11900.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,0,1,1,true,false,1,モフモフ,ニュードンク・シティ 封鎖中,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CityWorldHomeStage:4448:38,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Inside an Iron Girder,CityWorldHomeStage:4448:38,4448,38,ShineFlag_None,CityWorldHomeStage::checkpoint::obj4904,,free,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,Shine,U,-1,,0;1;11;12;14;3;4;7;9,-1,None,,-11000.000,100.000,-1250.000,CityWorldHomeStageMap.szs;ShineInfo.szs,CityWorldHomeStageMap.byml;ShineList_CityWorldHomeStage.byml;ShinePosList.byml,9,9,-1,667,false,false,1;2;4;5;8;10,シャイン,いきどまり！ 鉄骨の中,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CityWorldHomeStage:4591:39,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Swaying in the Breeze,CityWorldHomeStage:4591:39,4591,39,ShineFlag_None,CityWorldHomeStage::checkpoint::obj3996,,free,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,C,-1,,0;1;11;12;14;3;4;7;9,-1,None,,2750.000,6400.000,-13150.000,CityWorldHomeStageMap.szs;ShineInfo.szs,CityWorldHomeStageMap.byml;ShineList_CityWorldHomeStage.byml;ShinePosList.byml,9,10,-1,667,false,false,1;2;4;5;8;10,シャイン【2m置き】,ゆれる一本橋の先,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CityWorldHomeStage:8895:40,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Secret Path to New Donk City!,CityWorldHomeStage:8895:40,8895,40,ShineFlag_None,CityWorldHomeStage::checkpoint::obj14061,,free,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),true,ShineAddHeight,AE,-1,,1;10;12;13;2;3;4;6;7;9,-1,WorldWarpHoleShine,,17300.000,-1300.000,23400.000,CityWorldHomeStageMap.szs;ShineInfo.szs,CityWorldHomeStageMap.byml;ShineList_CityWorldHomeStage.byml;ShinePosList.byml,10,80,-1,1758,false,false,2;3;4;5;7;8;10;11,シャイン【2m置き】,ようこそ！ ニュードンク・シティ！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CityWorldHomeStage:7046:41,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Guitarist on Board!,CityWorldHomeStage:7046:41,7046,41,ShineFlag_Story,CityWorldHomeStage::checkpoint::obj3994,,NpcTalk | KingdomAccess_Metro,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,4450.000,20.000,4750.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,2,3,514,false,false,2;10,セッションミュージシャン[ギター],ギタリスト参入！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3;4,5,6,7,8"
CityWorldHomeStage:7051:42,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Drummer on Board!,CityWorldHomeStage:7051:42,7051,42,ShineFlag_Story,CityWorldHomeStage::checkpoint::obj4904,,NpcTalk | KingdomAccess_Metro,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,1300.000,0.000,-9200.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,1,3,514,false,false,2;10,セッションミュージシャン[ドラム],ドラマー参入！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3;4,5,6,7,8"
CityWorldHomeStage:7058:43,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Trumpeter on Board!,CityWorldHomeStage:7058:43,7058,43,ShineFlag_Story,CityWorldHomeStage::place::new_place,,NpcTalk | KingdomAccess_Metro,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-4100.000,4263.670,-6150.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,4,3,514,false,false,2;10,セッションミュージシャン[トランペット],トランペッター参入！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3;4,5,6,8,7"
CityWorldHomeStage:9072:44,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Bassist on Board!,CityWorldHomeStage:9072:44,9072,44,ShineFlag_Story,CityWorldHomeStage::checkpoint::obj3998,,NpcTalk | KingdomAccess_Metro,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,19450.000,-236.649,-12000.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,3,3,514,false,false,2;10,セッションミュージシャン[ベース],ベーシスト参入！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3;4,5,6,8,7"
CityWorldHomeStage:3633:46,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,"How You Doin', Captain Toad?",CityWorldHomeStage:3633:46,3633,46,ShineFlag_None,CityWorldHomeStage::checkpoint::obj4904,,NpcTalk,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-300.000,-700.000,-17750.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,12,-1,666,false,false,2;4;5;8;10,キノピオ隊長,ハーイ！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
CityWorldHomeStage:8073:49,Metro Kingdom,CityWorldHomeStage,Metro Kingdom,overworld,Who Piled Garbage on This?,CityWorldHomeStage:8073:49,8073,49,ShineFlag_None,CityWorldHomeStage::checkpoint::obj3994,,free,WorldPeace_Metro,MoonRockActive_Metro,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound)",true,,,,,,,,,-8550.000,2400.000,7100.000,ShineInfo.szs,ShineList_CityWorldHomeStage.byml;ShinePosList.byml,1,11,-1,954,false,false,2;4;5;6;8;9;10,ここ掘れポイント,ゴミ袋の下に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
