edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0040,Metro Kingdom,subarea,PoleKillerExStage::entrance::bou::sub_near,PoleKillerExStage::entrance::boureturn::sub_far,Climb | (Dive & Vault & NeutralThrow) | (WallJump & Dive & NeutralThrow) | (WallJump & Dive & NeutralThrow & Killer & LedgeGrab) | (Backflip & Dive) | (GroundPoundJump & Dive) | (Spin & Dive) | (Backflip & Vault & NeutralThrow) | (GroundPoundJump & Vault & NeutralThrow) | (Spin & UpThrow & Vault),,human_route,casual;advanced;expert;advanced;expert;expert;expert;expert;expert;expert,true,editor,Created in graph editor.,,
edge_user_0041,Metro Kingdom,subarea,CityWorldShop01Stage::entrance::shop_coin::sub_near,CityWorldShop01Stage::entrance::shop_corect::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0042,Metro Kingdom,subarea,CityPeopleRoadStage::entrance::gunsyu::sub_near,CityPeopleRoadStage::entrance::gunsyudokan::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0043,Metro Kingdom,subarea,ElectricWireExStage::entrance::densen::sub_near,ElectricWireExStage::entrance::densendokan::sub_far,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0044,Metro Kingdom,subarea,BikeSteelExStage::entrance::bike::sub_near,BikeSteelExStage::entrance::bikereturn::sub_far,Bike | (TripleJump & RollBoost),,human_route,casual;advanced,false,editor,Created in graph editor.,,
edge_user_0045,Metro Kingdom,subarea,BikeSteelExStage::entrance::bikereturn::sub_far,BikeSteelExStage::entrance::bike::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0044.,,
edge_user_0046,Metro Kingdom,subarea,TrexBikeExStage::entrance::bike02::sub_near,TrexBikeExStage::entrance::bike02return::sub_far,Bike | RollBoost,,human_route,casual;advanced,false,editor,Created in graph editor.,,
edge_user_0047,Metro Kingdom,subarea,TrexBikeExStage::entrance::bike02return::sub_far,TrexBikeExStage::entrance::bike02::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0046.,,
edge_user_0048,Metro Kingdom,subarea,SwingSteelExStage::entrance::gragra::sub_near,SwingSteelExStage::entrance::gragrareturn::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0186,Metro Kingdom,overworld,CityWorldHomeStage::start,CityWorldHomeStage::checkpoint::obj8918,ElectricWire | (Vault & Dive & NeutralThrow),,human_route,casual;advanced,true,editor,Created in graph editor.,1,
edge_user_0188,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj8918,CityWorldHomeStage::checkpoint::obj9086,free,,human_route,casual,true,editor,Created in graph editor.,1,
edge_user_0189,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj9086,CityWorldHomeStage::checkpoint::obj9017,free,,human_route,casual,true,editor,Created in graph editor.,1,
edge_user_0190,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj9017,CityWorldHomeStage::checkpoint::obj3996,ElectricWire | WallJump,,human_route,casual,true,editor,Created in graph editor.,1,
edge_user_0191,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj5016,CityWorldHomeStage::checkpoint::obj3996,free,,human_route,casual,false,editor,Created in graph editor.,"1,2,4,5,6,7,8,9,10,11",
edge_user_0192,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj3996,CityWorldHomeStage::checkpoint::obj5016,Climb | (Vault & Dive & WallJump & NeutralThrow),,human_route,casual;advanced,false,editor,Reverse of edge_user_0191.,,
edge_user_0193,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj14061,CityWorldHomeStage::start,free,,human_route,casual,false,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0194,Metro Kingdom,overworld,CityWorldHomeStage::start,CityWorldHomeStage::checkpoint::obj14061,impossible,,human_route,casual,false,editor,Reverse of edge_user_0193.,,
edge_user_0195,Metro Kingdom,overworld,CityWorldHomeStage::start,CityWorldHomeStage::checkpoint::obj3994,ElectricWire | (Vault & Dive & NeutralThrow),,human_route,casual;advanced,true,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11,3",
edge_user_0196,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj3994,CityWorldHomeStage::checkpoint::obj9086,free,,human_route,casual,true,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0197,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj3994,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11,3",
edge_user_0198,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::checkpoint::obj3996,free,,human_route,casual,false,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0199,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::checkpoint::obj4000,free,,human_route,casual,true,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0200,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::checkpoint::obj3998,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11,3",
edge_user_0201,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj5016,CityWorldHomeStage::checkpoint::obj3998,(GroundPound & RollBoost & Vault & Dive & NeutralThrow),,human_route,advanced,false,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0202,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj3994,CityWorldHomeStage::checkpoint::obj5012,(ElectricWire & Dive) | ElectricWire | Guidepost | (Vault & Dive & NeutralThrow) | (UpThrow & Vault & Dive),,human_route,casual;advanced;casual;advanced;expert,false,editor,Created in graph editor.,"2,4,5,6,7,8,9,10,11",
edge_user_0203,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj5012,CityWorldHomeStage::checkpoint::obj3994,free,,human_route,casual,false,editor,Reverse of edge_user_0202.,"2,4,5,6,7,8,9,10,11",
edge_user_0503,Metro Kingdom,overworld,CityWorldHomeStage::event::MoonRockActive_Metro,CityWorldHomeStage::start,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0504,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place,CityWorldHomeStage::checkpoint::obj4904,Guidepost | LongJump,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0505,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_8,CityWorldHomeStage::checkpoint::obj3994,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0506,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_4,CityWorldHomeStage::checkpoint::obj5016,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0507,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_2,CityWorldHomeStage::checkpoint::obj4904,ElectricWire,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0508,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_6,CityWorldHomeStage::checkpoint::obj4904,ElectricWire,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0509,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_5,CityWorldHomeStage::checkpoint::obj4904,(ElectricWire & LongJump),,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0510,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_7,CityWorldHomeStage::checkpoint::obj4904,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0511,Metro Kingdom,overworld,CityWorldHomeStage::place::new_place_3,CityWorldHomeStage::checkpoint::obj5016,LongJump,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0512,Metro Kingdom,overworld,CityWorldHomeStage::entrance::gragra::home_in,CityWorldHomeStage::place::new_place_6,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0513,Metro Kingdom,overworld,CityWorldHomeStage::entrance::donsuke::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0516,Metro Kingdom,overworld,CityWorldTimerAthletic003Zone::start,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0517,Metro Kingdom,overworld,CityWorldHomeStage::entrance::theater::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0518,Metro Kingdom,overworld,CityWorldTimerAthletic002Zone::start,CityWorldHomeStage::checkpoint::obj5016,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0519,Metro Kingdom,overworld,CityWorld2DSign004Zone::start,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,3,
edge_user_0520,Metro Kingdom,overworld,CityWorldHomeStage::entrance::taxireturn::home_out,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0521,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::entrance::taxireturn::home_out,impossible,,human_route,casual,false,editor,Reverse of edge_user_0520.,,
edge_user_0522,Metro Kingdom,overworld,CityWorldHomeStage::entrance::taxi::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0523,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::entrance::taxi::home_in,Car,,human_route,casual,false,editor,Reverse of edge_user_0522.,,
edge_user_0524,Metro Kingdom,overworld,CityWorldHomeStage::checkpoint::obj14061,CityWorldHomeStage::stage_change::Come::raw,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0526,Metro Kingdom,overworld,CityWorldHomeStage::entrance::shop_corect::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0527,Metro Kingdom,overworld,CityWorldHomeStage::entrance::bike02::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0528,Metro Kingdom,overworld,CityWorldHomeStage::entrance::Bonus::home_in,CityWorldHomeStage::checkpoint::obj3994,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0529,Metro Kingdom,overworld,CityWorldHomeStage::entrance::bou::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0530,Metro Kingdom,overworld,CityWorldHomeStage::entrance::densen::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0531,Metro Kingdom,overworld,CityWorldHomeStage::entrance::gunsyu::home_in,CityWorldHomeStage::checkpoint::obj4904,free,,human_route,casual,true,editor,Created in graph editor.,,
