anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
BikeSteelExStage::stage_change::bike::raw,BikeSteelExStage::stage_change::bike::raw,change_stage_id,Metro Kingdom,BikeSteelExStage,subarea,bike,raw,obj1745,200.000,2100.000,1800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelExStage::stage_change::bikereturn::raw,BikeSteelExStage::stage_change::bikereturn::raw,change_stage_id,Metro Kingdom,BikeSteelExStage,subarea,bikereturn,raw,obj1744,-47195.445,1550.000,-33539.672,StageData,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelExStage::start,BikeSteelExStage::start,stage_start,Metro Kingdom,BikeSteelExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelExStage::entrance::bike::sub_near,BikeSteelExStage::entrance::bike::sub_near,entrance_side,Metro Kingdom,BikeSteelExStage,subarea,bike,sub_near,obj1745,200.000,2100.000,1800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BikeSteelExStage::entrance::bikereturn::sub_far,BikeSteelExStage::entrance::bikereturn::sub_far,entrance_side,Metro Kingdom,BikeSteelExStage,subarea,bikereturn,sub_far,obj1744,-47195.445,1550.000,-33539.672,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CapRotatePackunExStage::stage_change::kaitendokan::raw,CapRotatePackunExStage::stage_change::kaitendokan::raw,change_stage_id,Metro Kingdom,CapRotatePackunExStage,subarea,kaitendokan,raw,obj197,-910.500,-700.000,3500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CapRotatePackunExStage::start,CapRotatePackunExStage::start,stage_start,Metro Kingdom,CapRotatePackunExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CapRotatePackunExStage::entrance::kaitendokan::sub_far,CapRotatePackunExStage::entrance::kaitendokan::sub_far,entrance_side,Metro Kingdom,CapRotatePackunExStage,subarea,kaitendokan,sub_far,obj197,-910.500,-700.000,3500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CapRotatePackunExStage::entrance::kaitendokan::sub_near,CapRotatePackunExStage::entrance::kaitendokan::sub_near,entrance_side,Metro Kingdom,CapRotatePackunExStage,subarea,kaitendokan,sub_near,obj197,-910.500,-700.000,3500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CityPeopleRoadStage::stage_change::gunsyu::raw,CityPeopleRoadStage::stage_change::gunsyu::raw,change_stage_id,Metro Kingdom,CityPeopleRoadStage,subarea,gunsyu,raw,obj379,-1100.000,-50.000,-5950.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityPeopleRoadStage::stage_change::gunsyudokan::raw,CityPeopleRoadStage::stage_change::gunsyudokan::raw,change_stage_id,Metro Kingdom,CityPeopleRoadStage,subarea,gunsyudokan,raw,obj248,333.000,100.000,1250.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityPeopleRoadStage::start,CityPeopleRoadStage::start,stage_start,Metro Kingdom,CityPeopleRoadStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CityPeopleRoadStage::entrance::gunsyu::sub_near,CityPeopleRoadStage::entrance::gunsyu::sub_near,entrance_side,Metro Kingdom,CityPeopleRoadStage,subarea,gunsyu,sub_near,obj379,-1100.000,-50.000,-5950.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CityPeopleRoadStage::entrance::gunsyudokan::sub_far,CityPeopleRoadStage::entrance::gunsyudokan::sub_far,entrance_side,Metro Kingdom,CityPeopleRoadStage,subarea,gunsyudokan,sub_far,obj248,333.000,100.000,1250.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CityWorldFactory01Zone::stage_change::under001enter::raw,CityWorldFactory01Zone::stage_change::under001enter::raw,change_stage_id,Metro Kingdom,CityWorldFactoryStage,subarea,under001enter,raw,obj2,37750.000,700.000,6950.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldFactoryStage::stage_change::under001enter::raw,CityWorldFactoryStage::stage_change::under001enter::raw,change_stage_id,Metro Kingdom,CityWorldFactoryStage,subarea,under001enter,raw,obj221,-6900.000,1000.000,-2650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldFactoryStage::start,CityWorldFactoryStage::start,stage_start,Metro Kingdom,CityWorldFactoryStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj14061,CityWorldHomeStage::checkpoint::obj14061,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj14061,18150.000,-1300.000,23800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj3994,CityWorldHomeStage::checkpoint::obj3994,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj3994,0.000,-11.035,10300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj3996,CityWorldHomeStage::checkpoint::obj3996,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj3996,4700.000,5982.012,-11400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj3998,CityWorldHomeStage::checkpoint::obj3998,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj3998,17865.000,-16.824,-10650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj4000,CityWorldHomeStage::checkpoint::obj4000,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj4000,-7500.000,67.976,-8850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj4904,CityWorldHomeStage::checkpoint::obj4904,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj4904,250.000,82.000,-7100.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj5012,CityWorldHomeStage::checkpoint::obj5012,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj5012,-7200.000,4039.715,1350.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj5016,CityWorldHomeStage::checkpoint::obj5016,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj5016,-0.000,10936.929,-10600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj8918,CityWorldHomeStage::checkpoint::obj8918,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj8918,5850.000,-11.035,9200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj9017,CityWorldHomeStage::checkpoint::obj9017,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj9017,3950.000,85.479,-8850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::checkpoint::obj9086,CityWorldHomeStage::checkpoint::obj9086,checkpoint_obj,Metro Kingdom,CityWorldHomeStage,overworld,,,obj9086,-11750.000,142.161,2800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::entrance::Bonus::home_in,CityWorldHomeStage::entrance::Bonus::home_in,entrance_side,Metro Kingdom,CityWorldHomeStage,overworld,Bonus,home_in,obj9088,-8145.875,50.000,-4000.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
CityWorldHomeStage::entrance::Bonus::home_out,CityWorldHomeStage::entrance::Bonus::home_out,entrance_side,Metro Kingdom,CityWorldHomeStage,overworld,Bonus,home_out,obj9088,-8145.875,50.000,-4000.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
