stage,kingdom,stage_display_name,area_scope,scenario_no,active_layers,stage_map_indices,source_archive,source_file,status,notes
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,1,A;B;C;D;E;F,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,ScenarioInfo.byml,extracted,
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,2,A;B;C;D;G;J;L;N;O,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,ScenarioInfo.byml,extracted,
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,3,A;B;N;H,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,ScenarioInfo.byml,extracted,
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,4,A;B;C;D;G;I;L;N;O,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,ScenarioInfo.byml,extracted,
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,5,A;B;C;D;G;I;K;L;N;O,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityWorldHomeStageMap.szs,ScenarioInfo.byml,extracted,
BikeSteelExStage,Metro Kingdom,Scooter Daredevil,subarea,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,BikeSteelExStageMap.szs,,missing,No ScenarioInfo.byml in archive.
CapRotatePackunExStage,Metro Kingdom,Rotating Maze Shards,subarea,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CapRotatePackunExStageMap.szs,,missing,No ScenarioInfo.byml in archive.
CityPeopleRoadStage,Metro Kingdom,Crowded Alleyway,subarea,,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,CityPeopleRoadStageMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign000ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign001ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign002ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign003ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign004ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign005ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,overworld,,,,CityWorld2DSign006ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
CityWorldFactoryStage,Metro Kingdom,Sewers,subarea,,,,CityWorldFactory01ZoneMap.szs,,missing,No ScenarioInfo.byml in archive.
