node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
Galaxy2DExStage::stage_change::dot00::raw,Moon Kingdom,Galaxy2DExStage,8-Bit Galaxy,subarea,stage_change,StageData,dot00,raw,obj1444,Stage Change dot00,7250.000,1250.000,4650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Galaxy2DExStage::stage_change::dot01::raw,Moon Kingdom,Galaxy2DExStage,8-Bit Galaxy,subarea,stage_change,StageData,dot01,raw,obj1443,Stage Change dot01,16200.000,10450.000,4650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
Galaxy2DExStage::start,Moon Kingdom,Galaxy2DExStage,8-Bit Galaxy,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
Galaxy2DExStage::entrance::dot00::sub_near,Moon Kingdom,Galaxy2DExStage,8-Bit Galaxy,subarea,substage_entrance,EntranceDB,dot00,sub_near,obj1444,Substage near side: dot00,7250.000,1250.000,4650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from MoonWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
Galaxy2DExStage::entrance::dot01::sub_far,Moon Kingdom,Galaxy2DExStage,8-Bit Galaxy,subarea,substage_entrance,EntranceDB,dot01,sub_far,obj1443,Substage far side: dot01,16200.000,10450.000,4650.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from MoonWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
MoonAthleticExStage::stage_change::moon::raw,Moon Kingdom,MoonAthleticExStage,Giant Swings,subarea,stage_change,StageData,moon,raw,obj66,Stage Change moon,-7800.000,-900.000,-5950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
MoonAthleticExStage::stage_change::moon_exit::raw,Moon Kingdom,MoonAthleticExStage,Giant Swings,subarea,stage_change,StageData,moon_exit,raw,obj67,Stage Change moon_exit,-6900.000,800.000,-39850.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
MoonAthleticExStage::start,Moon Kingdom,MoonAthleticExStage,Giant Swings,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
MoonAthleticExStage::entrance::moon::sub_near,Moon Kingdom,MoonAthleticExStage,Giant Swings,subarea,substage_entrance,EntranceDB,moon,sub_near,obj66,Substage near side: moon,-7800.000,-900.000,-5950.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from MoonWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
MoonAthleticExStage::entrance::moon_exit::sub_far,Moon Kingdom,MoonAthleticExStage,Giant Swings,subarea,substage_entrance,EntranceDB,moon_exit,sub_far,obj67,Substage far side: moon_exit,-6900.000,800.000,-39850.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from MoonWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
MoonWorldBasementStage::stage_change::ClashStart1::raw,Moon Kingdom,MoonWorldBasementStage,Moon Cave Escape,subarea,stage_change,StageData,ClashStart1,raw,obj256,Stage Change ClashStart1,-800.000,450.000,108500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=PlayerActorHakoniwa.,
MoonWorldBasementStage::start,Moon Kingdom,MoonWorldBasementStage,Moon Cave Escape,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
MoonWorldCaptureParadeKillerZone::start,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,custom_place,embedded_zone,,,,MoonWorldCaptureParadeKillerZone,16940.000,9700.000,-29710.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Embedded map landmark from MoonWorldCaptureParadeKillerZone.,
MoonWorldCaptureParadeLavaPillarZone::start,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,custom_place,embedded_zone,,,,MoonWorldCaptureParadeLavaPillarZone,5350.000,-550.000,-3550.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Embedded map landmark from MoonWorldCaptureParadeLavaPillarZone.,
MoonWorldCaptureParadeStage::stage_change::bbb::raw,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,stage_change,StageData,bbb,raw,obj5,Stage Change bbb,64450.000,30650.000,-50000.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
MoonWorldCaptureParadeStage::stage_change::ccc::raw,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,stage_change,StageData,ccc,raw,obj9,Stage Change ccc,-5323.242,11961.930,4323.242,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=PlayerStartObjNoLink.,
MoonWorldCaptureParadeStage::stage_change::vvv::raw,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,stage_change,StageData,vvv,raw,obj324,Stage Change vvv,-7039.435,2650.000,6042.041,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
MoonWorldCaptureParadeStage::start,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
MoonWorldHome2DZone::start,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,custom_place,embedded_zone,,,,MoonWorldHome2DZone,5950.000,700.000,35900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Embedded map landmark from MoonWorldHome2DZone.,
MoonWorldHomeStage::checkpoint::obj1006,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,checkpoint,StageData,,,obj1006,Quiet Wall Checkpoint (obj1006),-5090.000,-1627.226,-7140.000,0;1;2,Raw UnitConfigName=CheckpointFlag.,
MoonWorldHomeStage::checkpoint::obj127,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,checkpoint,StageData,,,obj127,Ever-After Hill Checkpoint (obj127),-3450.000,3167.934,-12350.000,0;1;2,Raw UnitConfigName=CheckpointFlag.,
MoonWorldHomeStage::checkpoint::obj1348,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,checkpoint,StageData,,,obj1348,Wedding Hall Checkpoint (obj1348),-10600.000,4700.556,-26050.000,1;2,Raw UnitConfigName=CheckpointFlag.,
MoonWorldHomeStage::checkpoint::obj345,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,checkpoint,StageData,,,obj345,Ringing-Bells Plateau Checkpoint (obj345),-4200.000,39.463,7450.000,0;1;2,Raw UnitConfigName=CheckpointFlag.,
MoonWorldHomeStage::entrance::ddd::home_in,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,home_entrance,EntranceDB,ddd,home_in,obj889,Home entrance: ddd,7382.650,3150.000,29952.707,1;2,Links to MoonWorldShopRoom. StageData anchor UnitConfigName=ChangeStageArea.,
MoonWorldHomeStage::entrance::ddd::home_out,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,home_entrance,EntranceDB,ddd,home_out,obj889,Home return: ddd,7382.650,3150.000,29952.707,1;2,Links to MoonWorldShopRoom. StageData anchor UnitConfigName=ChangeStageArea.,
MoonWorldHomeStage::entrance::dot00::home_in,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,home_entrance,EntranceDB,dot00,home_in,obj920,Home entrance: dot00,17850.000,6226.104,34000.000,2,Links to Galaxy2DExStage. StageData anchor UnitConfigName=DokanStageChange.,
MoonWorldHomeStage::entrance::dot01::home_out,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,home_entrance,EntranceDB,dot01,home_out,obj922,Home return: dot01,19000.000,6244.794,34250.000,2,Links to Galaxy2DExStage. StageData anchor UnitConfigName=DokanStageChange.,
MoonWorldHomeStage::entrance::ggg::home_in,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,home_entrance,EntranceDB,ggg,home_in,obj882,Home entrance: ggg,-6570.727,-2050.000,-15400.000,1;2,Links to MoonWorldSphinxRoom. StageData anchor UnitConfigName=ChangeStageArea.,
