moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
MoonWorldHomeStage:263:576:taking_notes_on_the_moon_s_surface,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Taking Notes: On the Moon's Surface,MoonWorldHomeStage:263:576,263,576,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj345,,LongJump | NeutralThrow | DownThrow | UpThrow,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ledge Grab) | method_2(jump=Double Jump (312); cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,11050.000,1000.000,2600.000,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,15,-1,7,false,false,1;2;3,音符オブジェ(1つ目),月面で 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;expert;expert,
MoonWorldCaptureParadeStage:246:595,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,Under the Bowser Statue,MoonWorldCaptureParadeStage:246:595,246,595,ShineFlag_None,MoonWorldCaptureParadeStage::entrance::bbb::sub_near,,StatueKoopa | SingleJump,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"Real shine obj246/uid595, found in raw MoonWorldCaptureParadeStageMap.byml (PlayerStartInfoList, Translate -3400/2350/2000). Route unauthored -- marked impossible until verified in-game. Previously mis-keyed in ShineDB.h onto obj263/uid576 (Taking Notes: On the Moon's Surface), causing a phantom double-placement.",true,Shine,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,,None,,-3400.000,2350.000,2000.000,MoonWorldCaptureParadeStageMap.szs;ShineInfo.szs,MoonWorldCaptureParadeStageMap.byml;ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,15,21,-1,31,false,false,1;2;3;4;5,シャイン,クッパ石像の下に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;glitched,
MoonWorldHomeStage:937:577,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,The Tip of a White Spire,MoonWorldHomeStage:937:577,937,577,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj1348,,Frog | WallJump | (NeutralThrow & Vault) | (Vault & GroundPound & UpThrow) | (Vault & Dive & UpThrow) | (Backflip & Vault & UpThrow) | (SideFlip & Vault & UpThrow) | (Spin & Vault & UpThrow),WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Wall Jump)",true,,,,,,,,,-7181.590,9102.000,-33461.602,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,6,-1,31,false,false,1;2;3;4;5,帽子ひっかけポイント,白い塔の先っちょ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;casual;advanced;expert;expert;advanced;advanced;expert,
MoonWorldHomeStage:1039:578,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Walking on the Moon!,MoonWorldHomeStage:1039:578,1039,578,ShineFlag_None,MoonWorldHomeStage::start,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,9970.210,1412.240,20859.699,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,12,-1,6,false,false,2;3,フィギュアウォーキングNpc,月面で ウォーキング！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHomeStage:461:579,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Shining Above the Moon,MoonWorldHomeStage:461:579,461,579,ShineFlag_None,MoonWorldHomeStage::start,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=Up Throw; other=Ledge Grab) | method_2(jump=Ground Pound Jump (514); cap_throw=Neutral Throw; other=Dive),true,Shine,J,-1,,0;1;2,-1,None,,14650.000,5100.000,38850.000,MoonWorldHomeStageMap.szs;ShineInfo.szs,MoonWorldHomeStageMap.byml;ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,3,0,-1,7,false,false,1;2;3,シャイン,月の上で かがやいて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHomeStage:877:580,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Moon Quiz: Amazing!,MoonWorldHomeStage:877:580,877,580,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj1006,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,-6250.000,-2080.000,-15400.000,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,8,-1,14,false,false,2;3;4,スフィンクスクイズ,ご立派！ 月のクイズ大正解,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHomeStage:997:581,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Peach in the Moon Kingdom,MoonWorldHomeStage:997:581,997,581,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj1348,,(KingdomAccess_Mushroom & Frog) | (KingdomAccess_Mushroom & WallJump) | (KingdomAccess_Mushroom & Vault & NeutralThrow) | (KingdomAccess_Mushroom & Vault & GroundPound & UpThrow) | (KingdomAccess_Mushroom & Vault & Dive & UpThrow) | (KingdomAccess_Mushroom & Backflip & Vault & UpThrow) | (KingdomAccess_Mushroom & SideFlip & Vault & UpThrow) | (KingdomAccess_Mushroom & Spin & Vault & UpThrow),WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=Neutral Throw; other=Wall Jump),true,,,,,,,,,-9250.000,12760.000,-31100.000,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,5,-1,6,false,false,2;3,世界旅行ピーチ,月の国で ピーチ姫,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;casual;advanced;expert;expert;advanced;advanced;expert,"1,2,3"
MoonWorldHomeStage:155:582,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Cliffside Treasure Chest,MoonWorldHomeStage:155:582,155,582,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj345,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Up Throw, Neutral Throw, Down Throw, Spin Throw; other=None) | method_2(jump=Long Jump; cap_throw=Neutral Throw; other=Dive) | method_3(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound)",true,TreasureBox,J,,,0;1;2,,None,,-15350.000,253.000,5350.000,MoonWorldHomeStageMap.szs;ShineInfo.szs,MoonWorldHomeStageMap.byml;ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,3,2,-1,7,false,false,1;2;3,宝箱,ガケっぷちの宝箱,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHomeStage:217:583,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Rolling Rock on the Moon,MoonWorldHomeStage:217:583,217,583,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj345,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,KickStone,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,,,,-1700.000,481.241,23950.000,MoonWorldHomeStageMap.szs;ShineInfo.szs,MoonWorldHomeStageMap.byml;ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,15,7,-1,31,false,false,1;2;3;4;5,キック小石,キック！ 月の石コロ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHomeStage:753:584,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Moon Kingdom Timer Challenge 1,MoonWorldHomeStage:753:584,753,584,ShineFlag_None,MoonWorldHomeStage::start,,LongJump | NeutralThrow | DownThrow,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,14750.000,373.687,18400.000,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,11,-1,7,false,false,1;2;3,帽子掛け（タイマー）,月の国で チクタク・アスレチック １,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced,
MoonWorldHomeStage:953:585,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Caught Hopping on the Moon!,MoonWorldHomeStage:953:585,953,585,ShineFlag_None,MoonWorldHomeStage::checkpoint::obj345,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Wall Jump) | method_2(jump=Backflip/Vault/Side Flip (496); cap_throw=No Cap Throw Needed; other=None) | method_3(jump=Long Jump; cap_throw=Neutral Throw; other=Dive)",true,,,,,,,,,-2150.000,1895.250,27850.000,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,9,-1,7,false,false,1;2;3,ウサギ,月で つかまえたピョン！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldHome2DZone:32:586,Moon Kingdom,MoonWorldHomeStage,Moon Kingdom,overworld,Along the Cliff Face,MoonWorldHome2DZone:32:586,32,586,ShineFlag_None,MoonWorldHome2DZone::start,,free,WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=None),true,ShineDot,J,,,0;1;2,,None,,6150.000,1050.000,30000.000,MoonWorldHome2DZoneMap.szs;ShineInfo.szs,MoonWorldHome2DZoneMap.byml;ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,3,1,-1,7,false,false,1;2;3,シャインドット_2D,ガケ沿いを 進んで,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
MoonWorldCaptureParadeKillerZone:296:594,Moon Kingdom,MoonWorldCaptureParadeStage,Underground Caverns,subarea,On Top of the Cannon,MoonWorldCaptureParadeKillerZone:296:594,296,594,ShineFlag_None,MoonWorldCaptureParadeKillerZone::start,,(KillerMagnum & GroundPound) | (Killer & Vault & WallJump & Dive & NeutralThrow & GroundPound) | (Vault & WallJump & LedgeGrab & NeutralThrow & Killer & GroundPound) | (Vault & WallJump & Dive & GroundPound & NeutralThrow),WorldPeace_Moon,MoonRockActive_Moon,primary,unrated,,"captures=Bullet Bill | method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Capture, Ground Pound)",true,,,,,,,,,31796.855,11823.930,-24662.218,ShineInfo.szs,ShineList_MoonWorldHomeStage.byml;ShinePosList.byml,1,25,-1,31,false,false,1;2;3;4;5,ここ掘れポイント,砲台の上に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced;expert,
