edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0340,Moon Kingdom,overworld,MoonWorldHomeStage::start,MoonWorldHomeStage::entrance::ddd::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0341,Moon Kingdom,overworld,MoonWorldHomeStage::start,MoonWorldHomeStage::entrance::dot00::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0342,Moon Kingdom,overworld,MoonWorldHomeStage::start,MoonWorldHomeStage::checkpoint::obj345,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0343,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj345,MoonWorldHomeStage::event::MoonRockActive_Moon,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0344,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj345,MoonWorldHomeStage::entrance::moon::home_in,WallJump,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0345,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj345,MoonWorldHomeStage::checkpoint::obj1006,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0346,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj1006,MoonWorldHomeStage::entrance::ggg::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0347,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj1006,MoonWorldHomeStage::checkpoint::obj127,(GroundPoundJump & NeutralThrow & WallJump & Dive & Vault) | (Backflip & WallJump) | (GroundPoundJump & WallJump) | (WallJump & SideFlip) | (Spin & WallJump) | (TripleJump & WallJump) | (Vault & WallJump) | WallJump,,human_route,casual;advanced;advanced;advanced;advanced;advanced;advanced;expert,true,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0348,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj127,MoonWorldHomeStage::checkpoint::obj1348,free,,human_route,casual,true,editor,Created in graph editor.,"2,3,4,5",
edge_user_0265,Moon Kingdom,overworld,MoonWorldHomeStage::start,MoonWorldHome2DZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0372,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj1348,MoonWorldWeddingRoomZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0571,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj1348,MoonWorldHomeStage::entrance::aaa::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0572,Moon Kingdom,overworld,MoonWorldHomeStage::checkpoint::obj1006,MoonWorldHomeStage::entrance::bbb::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0573,Moon Kingdom,subarea,Galaxy2DExStage::entrance::dot00::sub_near,Galaxy2DExStage::entrance::dot01::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0574,Moon Kingdom,subarea,MoonWorldShopRoom::entrance::ddd::sub_near,MoonWorldShopRoom::entrance::ddd::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0575,Moon Kingdom,subarea,MoonAthleticExStage::entrance::moon::sub_near,MoonAthleticExStage::entrance::moon_exit::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0576,Moon Kingdom,subarea,MoonWorldBasement004Zone::start,MoonWorldBasementStage::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0577,Moon Kingdom,subarea,MoonWorldBasement004Zone::start,MoonWorldBasement003Zone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0578,Moon Kingdom,subarea,MoonWorldBasement000Zone::start,MoonWorldBasement002Zone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0579,Moon Kingdom,subarea,MoonWorldBasement001Zone::start,MoonWorldBasement002Zone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0580,Moon Kingdom,subarea,MoonWorldBasement001Zone::start,MoonWorldBasement003Zone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0581,Moon Kingdom,subarea,MoonWorldSphinxRoom::entrance::ggg::sub_near,MoonWorldSphinxRoom::entrance::ggg::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0582,Moon Kingdom,subarea,MoonWorldCaptureParadeStage::entrance::bbb::sub_near,MoonWorldCaptureParadeLavaPillarZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0585,Moon Kingdom,subarea,MoonWorldCaptureParadeMeganeZone::start,MoonWorldCaptureParadeBullZone::start,(GroundPound & ElectricWire) | (Vault & WallJump & LedgeGrab & ElectricWire & NeutralThrow) | (ElectricWire & Vault & WallJump & Dive & NeutralThrow) | (TripleJump & Vault & Dive & NeutralThrow & ElectricWire),,human_route,casual;advanced;advanced;advanced,true,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0588,Moon Kingdom,subarea,MoonWorldWeddingRoomStage::entrance::aaa::sub_near,MoonWorldWeddingRoomZone::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0589,Moon Kingdom,subarea,MoonWorldWeddingRoomStage::entrance::aaa::sub_near,MoonWorldWeddingRoomStage::entrance::aaa::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
