anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
Galaxy2DExStage::stage_change::dot00::raw,Galaxy2DExStage::stage_change::dot00::raw,change_stage_id,Moon Kingdom,Galaxy2DExStage,subarea,dot00,raw,obj1444,7250.000,1250.000,4650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Galaxy2DExStage::stage_change::dot01::raw,Galaxy2DExStage::stage_change::dot01::raw,change_stage_id,Moon Kingdom,Galaxy2DExStage,subarea,dot01,raw,obj1443,16200.000,10450.000,4650.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
Galaxy2DExStage::start,Galaxy2DExStage::start,stage_start,Moon Kingdom,Galaxy2DExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
Galaxy2DExStage::entrance::dot00::sub_near,Galaxy2DExStage::entrance::dot00::sub_near,entrance_side,Moon Kingdom,Galaxy2DExStage,subarea,dot00,sub_near,obj1444,7250.000,1250.000,4650.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
Galaxy2DExStage::entrance::dot01::sub_far,Galaxy2DExStage::entrance::dot01::sub_far,entrance_side,Moon Kingdom,Galaxy2DExStage,subarea,dot01,sub_far,obj1443,16200.000,10450.000,4650.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MoonAthleticExStage::stage_change::moon::raw,MoonAthleticExStage::stage_change::moon::raw,change_stage_id,Moon Kingdom,MoonAthleticExStage,subarea,moon,raw,obj66,-7800.000,-900.000,-5950.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonAthleticExStage::stage_change::moon_exit::raw,MoonAthleticExStage::stage_change::moon_exit::raw,change_stage_id,Moon Kingdom,MoonAthleticExStage,subarea,moon_exit,raw,obj67,-6900.000,800.000,-39850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonAthleticExStage::start,MoonAthleticExStage::start,stage_start,Moon Kingdom,MoonAthleticExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
MoonAthleticExStage::entrance::moon::sub_near,MoonAthleticExStage::entrance::moon::sub_near,entrance_side,Moon Kingdom,MoonAthleticExStage,subarea,moon,sub_near,obj66,-7800.000,-900.000,-5950.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MoonAthleticExStage::entrance::moon_exit::sub_far,MoonAthleticExStage::entrance::moon_exit::sub_far,entrance_side,Moon Kingdom,MoonAthleticExStage,subarea,moon_exit,sub_far,obj67,-6900.000,800.000,-39850.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldBasementStage::stage_change::ClashStart1::raw,MoonWorldBasementStage::stage_change::ClashStart1::raw,change_stage_id,Moon Kingdom,MoonWorldBasementStage,subarea,ClashStart1,raw,obj256,-800.000,450.000,108500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldBasementStage::start,MoonWorldBasementStage::start,stage_start,Moon Kingdom,MoonWorldBasementStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldCaptureParadeStage::stage_change::bbb::raw,MoonWorldCaptureParadeStage::stage_change::bbb::raw,change_stage_id,Moon Kingdom,MoonWorldCaptureParadeStage,subarea,bbb,raw,obj5,64450.000,30650.000,-50000.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldCaptureParadeStage::stage_change::ccc::raw,MoonWorldCaptureParadeStage::stage_change::ccc::raw,change_stage_id,Moon Kingdom,MoonWorldCaptureParadeStage,subarea,ccc,raw,obj9,-5323.242,11961.930,4323.242,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldCaptureParadeStage::stage_change::vvv::raw,MoonWorldCaptureParadeStage::stage_change::vvv::raw,change_stage_id,Moon Kingdom,MoonWorldCaptureParadeStage,subarea,vvv,raw,obj324,-7039.435,2650.000,6042.041,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldCaptureParadeStage::start,MoonWorldCaptureParadeStage::start,stage_start,Moon Kingdom,MoonWorldCaptureParadeStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::checkpoint::obj1006,MoonWorldHomeStage::checkpoint::obj1006,checkpoint_obj,Moon Kingdom,MoonWorldHomeStage,overworld,,,obj1006,-5090.000,-1627.226,-7140.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::checkpoint::obj127,MoonWorldHomeStage::checkpoint::obj127,checkpoint_obj,Moon Kingdom,MoonWorldHomeStage,overworld,,,obj127,-3450.000,3167.934,-12350.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::checkpoint::obj1348,MoonWorldHomeStage::checkpoint::obj1348,checkpoint_obj,Moon Kingdom,MoonWorldHomeStage,overworld,,,obj1348,-10600.000,4700.556,-26050.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::checkpoint::obj345,MoonWorldHomeStage::checkpoint::obj345,checkpoint_obj,Moon Kingdom,MoonWorldHomeStage,overworld,,,obj345,-4200.000,39.463,7450.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::entrance::ddd::home_in,MoonWorldHomeStage::entrance::ddd::home_in,entrance_side,Moon Kingdom,MoonWorldHomeStage,overworld,ddd,home_in,obj889,7382.650,3150.000,29952.707,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::entrance::ddd::home_out,MoonWorldHomeStage::entrance::ddd::home_out,entrance_side,Moon Kingdom,MoonWorldHomeStage,overworld,ddd,home_out,obj889,7382.650,3150.000,29952.707,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MoonWorldHomeStage::entrance::dot00::home_in,MoonWorldHomeStage::entrance::dot00::home_in,entrance_side,Moon Kingdom,MoonWorldHomeStage,overworld,dot00,home_in,obj920,17850.000,6226.104,34000.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
