link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
110,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldEx1a,PeachWorldEx1a,YoshiCloudExStage,PeachWorldEx1a,PeachWorldEx1a,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_in,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_out,YoshiCloudExStage::entrance::PeachWorldEx1a::sub_near,YoshiCloudExStage::entrance::PeachWorldEx1a::sub_far,active,
111,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldEx2a,PeachWorldEx2a,DotHardExStage,PeachWorldEx2a,PeachWorldEx2a,PeachWorldHomeStage::entrance::PeachWorldEx2a::home_in,PeachWorldHomeStage::entrance::PeachWorldEx2a::home_out,DotHardExStage::entrance::PeachWorldEx2a::sub_near,DotHardExStage::entrance::PeachWorldEx2a::sub_far,active,
112,Mushroom Kingdom,overworld,PeachWorldHomeStage,Fukuwarai2,Fukuwarai2,FukuwaraiMarioStage,Fukuwarai2,Fukuwarai2,PeachWorldHomeStage::entrance::Fukuwarai2::home_in,PeachWorldHomeStage::entrance::Fukuwarai2::home_out,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_near,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_far,active,
113,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachCastleGate,PeachCastleGate,PeachWorldCastleStage,PeachCastleGate,PeachCastleGate,PeachWorldHomeStage::entrance::PeachCastleGate::home_in,PeachWorldHomeStage::entrance::PeachCastleGate::home_out,PeachWorldCastleStage::entrance::PeachCastleGate::sub_near,PeachWorldCastleStage::entrance::PeachCastleGate::sub_far,active,
114,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldShopA,PeachWorldShopA,PeachWorldShopStage,PeachWorldShopA,PeachWorldShopA,PeachWorldHomeStage::entrance::PeachWorldShopA::home_in,PeachWorldHomeStage::entrance::PeachWorldShopA::home_out,PeachWorldShopStage::entrance::PeachWorldShopA::sub_near,PeachWorldShopStage::entrance::PeachWorldShopA::sub_far,active,
115,Mushroom Kingdom,overworld,PeachWorldHomeStage,CostumeEventWorldPeach,CostumeEventWorldPeach,PeachWorldCostumeStage,CostumeEventWorldPeach,CostumeEventWorldPeach,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_in,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_out,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_near,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_far,active,
116,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossForestA,BossForestA,PeachWorldPictureBossForestStage,BossForestA,BossForestA,PeachWorldHomeStage::entrance::BossForestA::home_in,PeachWorldHomeStage::entrance::BossForestA::home_out,PeachWorldPictureBossForestStage::entrance::BossForestA::sub_near,PeachWorldPictureBossForestStage::entrance::BossForestA::sub_far,active,
117,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossKnuckleA,BossKnuckleA,PeachWorldPictureBossKnuckleStage,BossKnuckleA,BossKnuckleA,PeachWorldHomeStage::entrance::BossKnuckleA::home_in,PeachWorldHomeStage::entrance::BossKnuckleA::home_out,PeachWorldPictureBossKnuckleStage::entrance::BossKnuckleA::sub_near,PeachWorldPictureBossKnuckleStage::entrance::BossKnuckleA::sub_far,active,
118,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossMagmaA,BossMagmaA,PeachWorldPictureBossMagmaStage,BossMagmaA,BossMagmaA,PeachWorldHomeStage::entrance::BossMagmaA::home_in,PeachWorldHomeStage::entrance::BossMagmaA::home_out,PeachWorldPictureBossMagmaStage::entrance::BossMagmaA::sub_near,PeachWorldPictureBossMagmaStage::entrance::BossMagmaA::sub_far,active,
119,Mushroom Kingdom,overworld,PeachWorldHomeStage,MofumofuA,MofumofuA,PeachWorldPictureMofumofuStage,MofumofuA,MofumofuA,PeachWorldHomeStage::entrance::MofumofuA::home_in,PeachWorldHomeStage::entrance::MofumofuA::home_out,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_near,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_far,active,
120,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossRaidA,BossRaidB,PeachWorldPictureBossRaidStage,BossRaidB,BossRaidB,PeachWorldHomeStage::entrance::BossRaidA::home_in,PeachWorldHomeStage::entrance::BossRaidB::home_out,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_near,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_far,active,"Painting room is coupled on the sub side like the other boss re-fights. The arrival pipe (BossRaidA) is IsExitOnly inside the room, so it cannot be walked into; both sides use the persistent BossRaidB pipe and BossRaidA is never routed."
121,Mushroom Kingdom,overworld,PeachWorldHomeStage,GiantWanderBossA,GiantWanderBossB,PeachWorldPictureGiantWanderBossStage,GiantWanderBossB,GiantWanderBossB,PeachWorldHomeStage::entrance::GiantWanderBossA::home_in,PeachWorldHomeStage::entrance::GiantWanderBossB::home_out,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_near,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_far,active,"Painting room is coupled on the sub side like the other boss re-fights. The arrival pipe (GiantWanderBossA) is IsExitOnly inside the room, so it cannot be walked into; both sides use the persistent GiantWanderBossB pipe and GiantWanderBossA is never routed."
142,Mushroom Kingdom,subarea,PeachWorldPictureBossForestStage,PictureBossForest,PictureBossForest,RevengeForestBossStage,PictureBossForest,PictureBossForest,PeachWorldPictureBossForestStage::entrance::PictureBossForest::home_in,PeachWorldPictureBossForestStage::entrance::PictureBossForest::home_out,RevengeForestBossStage::entrance::PictureBossForest::sub_near,RevengeForestBossStage::entrance::PictureBossForest::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
143,Mushroom Kingdom,subarea,PeachWorldPictureBossKnuckleStage,PictureBossKnuckle,PictureBossKnuckle,RevengeBossKnuckleStage,PictureBossKnuckle,PictureBossKnuckle,PeachWorldPictureBossKnuckleStage::entrance::PictureBossKnuckle::home_in,PeachWorldPictureBossKnuckleStage::entrance::PictureBossKnuckle::home_out,RevengeBossKnuckleStage::entrance::PictureBossKnuckle::sub_near,RevengeBossKnuckleStage::entrance::PictureBossKnuckle::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
144,Mushroom Kingdom,subarea,PeachWorldPictureBossMagmaStage,PictureBossMagma,PictureBossMagma,RevengeBossMagmaStage,PictureBossMagma,PictureBossMagma,PeachWorldPictureBossMagmaStage::entrance::PictureBossMagma::home_in,PeachWorldPictureBossMagmaStage::entrance::PictureBossMagma::home_out,RevengeBossMagmaStage::entrance::PictureBossMagma::sub_near,RevengeBossMagmaStage::entrance::PictureBossMagma::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
145,Mushroom Kingdom,subarea,PeachWorldPictureBossRaidStage,PictureBossRaid,PictureBossRaid,RevengeBossRaidStage,PictureBossRaid,PictureBossRaid,PeachWorldPictureBossRaidStage::entrance::PictureBossRaid::home_in,PeachWorldPictureBossRaidStage::entrance::PictureBossRaid::home_out,RevengeBossRaidStage::entrance::PictureBossRaid::sub_near,RevengeBossRaidStage::entrance::PictureBossRaid::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
146,Mushroom Kingdom,subarea,PeachWorldPictureGiantWanderBossStage,PictureGiantWanderBoss,PictureGiantWanderBoss,RevengeGiantWanderBossStage,PictureGiantWanderBoss,PictureGiantWanderBoss,PeachWorldPictureGiantWanderBossStage::entrance::PictureGiantWanderBoss::home_in,PeachWorldPictureGiantWanderBossStage::entrance::PictureGiantWanderBoss::home_out,RevengeGiantWanderBossStage::entrance::PictureGiantWanderBoss::sub_near,RevengeGiantWanderBossStage::entrance::PictureGiantWanderBoss::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
147,Mushroom Kingdom,subarea,PeachWorldPictureMofumofuStage,PictureMofumofu,PictureMofumofu,RevengeMofumofuStage,PictureMofumofu,PictureMofumofu,PeachWorldPictureMofumofuStage::entrance::PictureMofumofu::home_in,PeachWorldPictureMofumofuStage::entrance::PictureMofumofu::home_out,RevengeMofumofuStage::entrance::PictureMofumofu::sub_near,RevengeMofumofuStage::entrance::PictureMofumofu::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
