node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
DotHardExStage::stage_change::PeachWorldEx2a::raw,Mushroom Kingdom,DotHardExStage,8-Bit Bullet Bills,subarea,stage_change,StageData,PeachWorldEx2a,raw,obj866,Stage Change PeachWorldEx2a,-6750.000,-2300.000,500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
DotHardExStage::start,Mushroom Kingdom,DotHardExStage,8-Bit Bullet Bills,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
DotHardExStage::entrance::PeachWorldEx2a::sub_far,Mushroom Kingdom,DotHardExStage,8-Bit Bullet Bills,subarea,substage_entrance,EntranceDB,PeachWorldEx2a,sub_far,obj866,Substage far side: PeachWorldEx2a,-6750.000,-2300.000,500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from PeachWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
DotHardExStage::entrance::PeachWorldEx2a::sub_near,Mushroom Kingdom,DotHardExStage,8-Bit Bullet Bills,subarea,substage_entrance,EntranceDB,PeachWorldEx2a,sub_near,obj866,Substage near side: PeachWorldEx2a,-6750.000,-2300.000,500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from PeachWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
FukuwaraiMarioStage::stage_change::Fukuwarai2::raw,Mushroom Kingdom,FukuwaraiMarioStage,Picture Match,subarea,stage_change,StageData,Fukuwarai2,raw,obj124,Stage Change Fukuwarai2,-0.000,0.000,1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=BazookaElectric.,
FukuwaraiMarioStage::start,Mushroom Kingdom,FukuwaraiMarioStage,Picture Match,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
FukuwaraiMarioStage::entrance::Fukuwarai2::sub_far,Mushroom Kingdom,FukuwaraiMarioStage,Picture Match,subarea,substage_entrance,EntranceDB,Fukuwarai2,sub_far,obj124,Substage far side: Fukuwarai2,-0.000,0.000,1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from PeachWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
FukuwaraiMarioStage::entrance::Fukuwarai2::sub_near,Mushroom Kingdom,FukuwaraiMarioStage,Picture Match,subarea,substage_entrance,EntranceDB,Fukuwarai2,sub_near,obj124,Substage near side: Fukuwarai2,-0.000,0.000,1400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from PeachWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
PeachWorldCastleStage::stage_change::PeachCastleGate::raw,Mushroom Kingdom,PeachWorldCastleStage,Peach's Castle,subarea,stage_change,StageData,PeachCastleGate,raw,obj4,Stage Change PeachCastleGate,0.000,-100.000,2200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
PeachWorldCastleStage::start,Mushroom Kingdom,PeachWorldCastleStage,Peach's Castle,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
