moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
PeachWorldHomeStage:756:605,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,"Forever Onward, Captain Toad!",PeachWorldHomeStage:756:605,756,605,ShineFlag_None,PeachWorldHomeStage::start,,NpcTalk,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw, No Cap Throw Needed; other=Dive)",true,,,,,,,,,6175.000,990.000,625.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,0,-1,6,false,false,2;3,キノピオ隊長,進め！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:794:606,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Love at Peach's Castle,PeachWorldHomeStage:794:606,794,606,ShineFlag_None,PeachWorldHomeStage::checkpoint::obj162,,(Kuribo & Swim) | Kuribo,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"captures=Goomba | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-1700.000,2499.000,-15500.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,33,-1,7,false,false,1;2;3,ガールクリボー,ピーチ城のガールフレンド,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced,"1,2,3"
PeachWorldHomeStage:992:607,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Herding Sheep at Peach's Castle,PeachWorldHomeStage:992:607,992,607,ShineFlag_None,PeachWorldHomeStage::checkpoint::obj1145,,free,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,-13600.000,0.000,1400.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,14,-1,6,false,false,2;3,コレクトアニマル監視者,ピーチ城で ヒツジ集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:281:608,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Secret Path to Peach's Castle!,PeachWorldHomeStage:281:608,281,608,ShineFlag_None,PeachWorldHomeStage::checkpoint::obj1455,,WallJump | Climb | (Vault & Dive & NeutralThrow) | (Backflip & Vault & LedgeGrab & NeutralThrow) | (SideFlip & Vault & LedgeGrab & NeutralThrow) | (GroundPoundJump & Vault & NeutralThrow) | (Spin & Vault & LedgeGrab & NeutralThrow) | (TripleJump & Vault & NeutralThrow),WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Other Kingdom Trigger, Wall Jump) | method_2(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Other Kingdom Trigger, Climb)",true,Shine,G,-1,,0;1;2,-1,WorldWarpHoleShine,,-400.000,3500.000,22700.000,PeachWorldHomeStageMap.szs;ShineInfo.szs,PeachWorldHomeStageMap.byml;ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,3,42,-1,7,false,false,1;2;3,シャイン,ようこそ！ ピーチ城！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;casual;advanced;advanced;advanced;advanced;advanced;advanced,
PeachWorldHomeStage:1295:613,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Caught Hopping at Peach's Castle!,PeachWorldHomeStage:1295:613,1295,613,ShineFlag_None,PeachWorldHomeStage::start,,free,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=Scooter) | method_2(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None) | method_3(other=None),true,,,,,,,,,11200.000,2100.000,-10000.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,4,-1,6,false,false,2;3,ウサギ,ピーチ城で つかまえたピョン！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldCastleStage:71:807,Mushroom Kingdom,PeachWorldCastleStage,Peach's Castle,subarea,Light from the Ceiling,PeachWorldCastleStage:71:807,71,807,ShineFlag_None,PeachWorldCastleStage::entrance::PeachCastleGate::sub_near,,free,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),true,Shine,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,0.000,2300.000,-900.000,PeachWorldCastleStageMap.szs;ShineInfo.szs,PeachWorldCastleStageMap.byml;ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,15,32,-1,6,false,false,2;3,ステージスイッチ_主観カメラの注目チェックオブジェ_主観カメラの注目チェックオブジェ,天井からの光,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:1439:840,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Found at Peach's Castle! Good Dog!,PeachWorldHomeStage:1439:840,1439,840,ShineFlag_None,PeachWorldHomeStage::start,,GroundPound,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,6600.000,707.650,8500.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,17,-1,6,false,false,2;3,忠犬専用ここ掘れポイント,ピーチ城で 見つけたワン！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:1473:856,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Gobbling Fruit with Yoshi,PeachWorldHomeStage:1473:856,1473,856,ShineFlag_None,PeachWorldHomeStage::checkpoint::obj162,,Yoshi,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-350.000,4530.990,-13600.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,6,-1,6,false,false,2;3,ヨッシーフルーツ用シャイン保持,いただき！ ヨッシーフルーツ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:1495:857,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Yoshi's Second Helping!,PeachWorldHomeStage:1495:857,1495,857,ShineFlag_None,PeachWorldHomeStage::start,,Yoshi,WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-350.000,4530.990,-13600.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,13,-1,6,false,false,2;3,ヨッシーフルーツ用シャイン保持,おかわり！ ヨッシーフルーツ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PeachWorldHomeStage:1497:858,Mushroom Kingdom,PeachWorldHomeStage,Mushroom Kingdom,overworld,Yoshi's All Filled Up!,PeachWorldHomeStage:1497:858,1497,858,ShineFlag_None,PeachWorldHomeStage::checkpoint::obj162,,(Yoshi & Swim) | (Yoshi & DownThrow) | (Yoshi & NeutralThrow),WorldPeace_Mushroom,MoonRockActive_Mushroom,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-350.000,4530.990,-13600.000,ShineInfo.szs,ShineList_PeachWorldHomeStage.byml;ShinePosList.byml,1,18,-1,6,false,false,2;3,ヨッシーフルーツ用シャイン保持,まんぷく！ ヨッシーフルーツ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;expert,
