stage,kingdom,stage_display_name,stage_start_node_id,area_scope,listed_in_stage_warp,has_shine_db_moons,active_entrance_link_count,excluded_entrance_link_count,has_raw_stage_data_points,status,notes
DotHardExStage,Mushroom Kingdom,8-Bit Bullet Bills,DotHardExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FukuwaraiMarioStage,Mushroom Kingdom,Picture Match,FukuwaraiMarioStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldCastleStage,Mushroom Kingdom,Peach's Castle,PeachWorldCastleStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldCostumeStage,Mushroom Kingdom,Castle Courtyard 64,PeachWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldHomeStage,Mushroom Kingdom,Mushroom Kingdom,PeachWorldHomeStage::start,overworld,true,true,12,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossForestStage,Mushroom Kingdom,Painting Room: Torkdrift,PeachWorldPictureBossForestStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossKnuckleStage,Mushroom Kingdom,Painting Room: Knucklotec,PeachWorldPictureBossKnuckleStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossMagmaStage,Mushroom Kingdom,Painting Room: Cookatiel,PeachWorldPictureBossMagmaStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossRaidStage,Mushroom Kingdom,Painting Room: Lord of Lightning,PeachWorldPictureBossRaidStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureGiantWanderBossStage,Mushroom Kingdom,Painting Room: Mollusque-Lanceur,PeachWorldPictureGiantWanderBossStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureMofumofuStage,Mushroom Kingdom,Painting Room: Mechawiggler,PeachWorldPictureMofumofuStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldShopStage,Mushroom Kingdom,Crazy Cap Store,PeachWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossKnuckleStage,Mushroom Kingdom,Knucklotec Boss Re-fight,RevengeBossKnuckleStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossMagmaStage,Mushroom Kingdom,Cookatiel Boss Re-fight,RevengeBossMagmaStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossRaidStage,Mushroom Kingdom,Lord of Lightning Boss Re-fight,RevengeBossRaidStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeForestBossStage,Mushroom Kingdom,Torkdrift Boss Re-fight,RevengeForestBossStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeGiantWanderBossStage,Mushroom Kingdom,Mollusque-Lanceur Boss Re-fight,RevengeGiantWanderBossStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeMofumofuStage,Mushroom Kingdom,Mechawiggler Boss Re-fight,RevengeMofumofuStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
YoshiCloudExStage,Mushroom Kingdom,Yoshi in the Sea of Clouds,YoshiCloudExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
