edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0293,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::checkpoint::obj162,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0304,Mushroom Kingdom,overworld,PeachWorldHomeStage::stage_change::Come::raw,PeachWorldHomeStage::checkpoint::obj1455,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0305,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1455,PeachWorldHomeStage::start,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0306,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::stage_change::Go::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0307,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::checkpoint::obj1145,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0308,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1145,PeachWorldHomeStage::entrance::BossMagmaA::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0309,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1145,PeachWorldHomeStage::entrance::GiantWanderBossB::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0310,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1145,PeachWorldHomeStage::entrance::GiantWanderBossA::home_in,Swim,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0311,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1145,PeachWorldHomeStage::entrance::BossKnuckleA::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0312,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::GiantWanderBossA::home_in,PeachWorldHomeStage::checkpoint::obj1145,free,,human_route,casual,false,editor,Reverse of edge_user_0310.,,
edge_user_0313,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::PeachCastleGate::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0314,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::PeachCastleGate::home_out,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0315,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::BossForestA::home_in,Climb | (NeutralThrow & Vault & WallJump & Dive) | Yoshi | (NeutralThrow & TripleJump & Vault & RocketFlower),,human_route,casual;advanced;advanced;expert,false,editor,Created in graph editor.,,
edge_user_0316,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_out,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0317,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0318,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::BossRaidB::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0319,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::BossRaidB::home_out,PeachWorldHomeStage::checkpoint::obj162,free,,human_route,casual,false,editor,Reverse of edge_user_0318.,"1,2,3,4,5",
edge_user_0320,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::BossForestA::home_in,PeachWorldHomeStage::checkpoint::obj162,free,,human_route,casual,false,editor,Reverse of edge_user_0315.,,
edge_user_0321,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::entrance::BossRaidA::home_in,(Yoshi & Swim) | (DownThrow & Yoshi) | (NeutralThrow & Swim),,human_route,casual;advanced;expert,false,editor,Created in graph editor.,,
edge_user_0322,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::BossRaidA::home_in,PeachWorldHomeStage::checkpoint::obj162,free,,human_route,casual,false,editor,Reverse of edge_user_0321.,,
edge_user_0323,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::checkpoint::obj1143,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0324,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::entrance::PeachWorldShopA::home_out,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0325,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::entrance::PeachWorldShopA::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0326,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::entrance::MofumofuA::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0327,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1143,PeachWorldHomeStage::entrance::Fukuwarai2::home_in,BazookaElectric,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0328,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::Fukuwarai2::home_in,PeachWorldHomeStage::checkpoint::obj1143,free,,human_route,casual,false,editor,Reverse of edge_user_0327.,,
edge_user_0329,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1143,PeachWorldHomeStage::entrance::Fukuwarai2::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0330,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::Fukuwarai2::home_out,PeachWorldHomeStage::checkpoint::obj1143,free,,human_route,casual,false,editor,Reverse of edge_user_0329.,,
edge_user_0331,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_in,Yoshi,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0332,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_in,PeachWorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0331.,,
edge_user_0333,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_out,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0334,Mushroom Kingdom,overworld,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_out,PeachWorldHomeStage::start,Yoshi,,human_route,casual,false,editor,Reverse of edge_user_0333.,,
edge_user_0336,Mushroom Kingdom,overworld,PeachWorldHomeStage::checkpoint::obj1143,PeachWorldHomeStage::entrance::PeachWorldEx2a::home_out,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0337,Mushroom Kingdom,overworld,PeachWorldHomeStage::start,PeachWorldHomeStage::checkpoint::obj1455,impossible,,human_route,casual,false,editor,Reverse of edge_user_0305.,,
edge_user_0355,Mushroom Kingdom,subarea,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_near,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0357,Mushroom Kingdom,subarea,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_near,PeachWorldPictureBossRaidStage::stage_change::BossRaidA::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0359,Mushroom Kingdom,subarea,PeachWorldPictureBossRaidStage::stage_change::PictureBossRaid::raw,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0360,Mushroom Kingdom,subarea,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_near,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0362,Mushroom Kingdom,subarea,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_near,PeachWorldPictureMofumofuStage::stage_change::PictureMofumofu::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0363,Mushroom Kingdom,subarea,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_near,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0365,Mushroom Kingdom,subarea,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_near,PeachWorldPictureGiantWanderBossStage::stage_change::GiantWanderBossA::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0367,Mushroom Kingdom,subarea,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_near,PeachWorldPictureGiantWanderBossStage::stage_change::PictureGiantWanderBoss::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
