anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
DotHardExStage::stage_change::PeachWorldEx2a::raw,DotHardExStage::stage_change::PeachWorldEx2a::raw,change_stage_id,Mushroom Kingdom,DotHardExStage,subarea,PeachWorldEx2a,raw,obj866,-6750.000,-2300.000,500.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
DotHardExStage::start,DotHardExStage::start,stage_start,Mushroom Kingdom,DotHardExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
DotHardExStage::entrance::PeachWorldEx2a::sub_far,DotHardExStage::entrance::PeachWorldEx2a::sub_far,entrance_side,Mushroom Kingdom,DotHardExStage,subarea,PeachWorldEx2a,sub_far,obj866,-6750.000,-2300.000,500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
DotHardExStage::entrance::PeachWorldEx2a::sub_near,DotHardExStage::entrance::PeachWorldEx2a::sub_near,entrance_side,Mushroom Kingdom,DotHardExStage,subarea,PeachWorldEx2a,sub_near,obj866,-6750.000,-2300.000,500.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiMarioStage::stage_change::Fukuwarai2::raw,FukuwaraiMarioStage::stage_change::Fukuwarai2::raw,change_stage_id,Mushroom Kingdom,FukuwaraiMarioStage,subarea,Fukuwarai2,raw,obj124,-0.000,0.000,1400.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiMarioStage::start,FukuwaraiMarioStage::start,stage_start,Mushroom Kingdom,FukuwaraiMarioStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiMarioStage::entrance::Fukuwarai2::sub_far,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_far,entrance_side,Mushroom Kingdom,FukuwaraiMarioStage,subarea,Fukuwarai2,sub_far,obj124,-0.000,0.000,1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
FukuwaraiMarioStage::entrance::Fukuwarai2::sub_near,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_near,entrance_side,Mushroom Kingdom,FukuwaraiMarioStage,subarea,Fukuwarai2,sub_near,obj124,-0.000,0.000,1400.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCastleStage::stage_change::PeachCastleGate::raw,PeachWorldCastleStage::stage_change::PeachCastleGate::raw,change_stage_id,Mushroom Kingdom,PeachWorldCastleStage,subarea,PeachCastleGate,raw,obj4,0.000,-100.000,2200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCastleStage::start,PeachWorldCastleStage::start,stage_start,Mushroom Kingdom,PeachWorldCastleStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCastleStage::entrance::PeachCastleGate::sub_far,PeachWorldCastleStage::entrance::PeachCastleGate::sub_far,entrance_side,Mushroom Kingdom,PeachWorldCastleStage,subarea,PeachCastleGate,sub_far,obj4,0.000,-100.000,2200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCastleStage::entrance::PeachCastleGate::sub_near,PeachWorldCastleStage::entrance::PeachCastleGate::sub_near,entrance_side,Mushroom Kingdom,PeachWorldCastleStage,subarea,PeachCastleGate,sub_near,obj4,0.000,-100.000,2200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCostumeStage::stage_change::CostumeEventWorldPeach::raw,PeachWorldCostumeStage::stage_change::CostumeEventWorldPeach::raw,change_stage_id,Mushroom Kingdom,PeachWorldCostumeStage,subarea,CostumeEventWorldPeach,raw,obj15,0.000,0.000,800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCostumeStage::start,PeachWorldCostumeStage::start,stage_start,Mushroom Kingdom,PeachWorldCostumeStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_far,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_far,entrance_side,Mushroom Kingdom,PeachWorldCostumeStage,subarea,CostumeEventWorldPeach,sub_far,obj15,0.000,0.000,800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_near,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_near,entrance_side,Mushroom Kingdom,PeachWorldCostumeStage,subarea,CostumeEventWorldPeach,sub_near,obj15,0.000,0.000,800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::checkpoint::obj1143,PeachWorldHomeStage::checkpoint::obj1143,checkpoint_obj,Mushroom Kingdom,PeachWorldHomeStage,overworld,,,obj1143,1200.000,100.000,-22800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::checkpoint::obj1145,PeachWorldHomeStage::checkpoint::obj1145,checkpoint_obj,Mushroom Kingdom,PeachWorldHomeStage,overworld,,,obj1145,-8250.000,-2300.000,10200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::checkpoint::obj1455,PeachWorldHomeStage::checkpoint::obj1455,checkpoint_obj,Mushroom Kingdom,PeachWorldHomeStage,overworld,,,obj1455,-1700.000,2000.000,20600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::checkpoint::obj162,PeachWorldHomeStage::checkpoint::obj162,checkpoint_obj,Mushroom Kingdom,PeachWorldHomeStage,overworld,,,obj162,-1700.000,2628.520,-9200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_in,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_in,entrance_side,Mushroom Kingdom,PeachWorldHomeStage,overworld,CostumeEventWorldPeach,home_in,obj824,-1700.000,1600.000,-19050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_out,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_out,entrance_side,Mushroom Kingdom,PeachWorldHomeStage,overworld,CostumeEventWorldPeach,home_out,obj824,-1700.000,1600.000,-19050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
PeachWorldHomeStage::entrance::Fukuwarai2::home_in,PeachWorldHomeStage::entrance::Fukuwarai2::home_in,entrance_side,Mushroom Kingdom,PeachWorldHomeStage,overworld,Fukuwarai2,home_in,obj1759,7000.000,895.572,-20750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
