node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
AttackWorldHomeStage::start,Ruined Kingdom,AttackWorldHomeStage,Ruined Kingdom,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,home_entrance,EntranceDB,BossRaidWorldEx01_Eixt,home_in,obj377,Home entrance: BossRaidWorldEx01_Eixt,-2850.000,0.000,1100.000,1;2;3,Links to DotTowerExStage. StageData anchor UnitConfigName=BazookaElectric.,
BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_out,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,home_entrance,EntranceDB,BossRaidWorldEx01_Eixt,home_out,obj377,Home return: BossRaidWorldEx01_Eixt,-2850.000,0.000,1100.000,1;2;3,Links to DotTowerExStage. StageData anchor UnitConfigName=BazookaElectric.,
BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,home_entrance,EntranceDB,BossRaidWorldMoonEx02_Enter,home_in,obj375,Home entrance: BossRaidWorldMoonEx02_Enter,13500.000,-31688.430,49300.000,3,Links to BullRunExStage. StageData anchor UnitConfigName=DokanStageChange.,
BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,home_entrance,EntranceDB,BossRaidWorldMoonEx02_Exit,home_out,obj376,Home return: BossRaidWorldMoonEx02_Exit,14200.000,-31671.615,49200.000,3,Links to BullRunExStage. StageData anchor UnitConfigName=DokanStageChange.,
BossRaidWorldHomeStage::stage_change::BossRaidWorldEx01_Eixt::raw,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,stage_change,StageData,BossRaidWorldEx01_Eixt,raw,obj377,Stage Change BossRaidWorldEx01_Eixt,-2850.000,0.000,1100.000,1;2;3,Raw UnitConfigName=BazookaElectric.,
BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Enter::raw,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,stage_change,StageData,BossRaidWorldMoonEx02_Enter,raw,obj375,Stage Change BossRaidWorldMoonEx02_Enter,13500.000,-31688.430,49300.000,3,Raw UnitConfigName=DokanStageChange.,
BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Exit::raw,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,stage_change,StageData,BossRaidWorldMoonEx02_Exit,raw,obj376,Stage Change BossRaidWorldMoonEx02_Exit,14200.000,-31671.615,49200.000,3,Raw UnitConfigName=DokanStageChange.,
BossRaidWorldHomeStage::start,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
BossRaidWorldHomeStage::event::MoonRockActive_Ruined,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,state_event,StageData:progression_events,,,obj395,Moon Rock,20150.000,-32768.344,45350.000,3,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj395.,
