moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
BossRaidWorldHomeStage:256:793,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,In the Ancient Treasure Chest,BossRaidWorldHomeStage:256:793,256,793,ShineFlag_None,BossRaidWorldHomeStage::start,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,TreasureBox,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,,None,,19400.000,-31200.000,43000.000,BossRaidWorldHomeStageMap.szs;ShineInfo.szs,BossRaidWorldHomeStageMap.byml;ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,15,1,-1,15,false,false,1;2;3;4,宝箱,古城の宝箱,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
BossRaidWorldHomeStage:30:795,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,Battle with the Lord of Lightning!,BossRaidWorldHomeStage:30:795,30,795,ShineFlag_Story | ShineFlag_Multi,BossRaidWorldHomeStage::place::new_place,,GroundPound | KingdomAccess_Ruined,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Capture)",true,,,,,,,,,0.000,0.000,-2500.000,ShineInfo.szs,ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,0,0,1,true,false,1,襲撃ボス,決闘！ イカヅチの王,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3,4,5;2,3,4,5"
BossRaidWorldHomeStage:335:834,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,Caught on a Big Horn,BossRaidWorldHomeStage:335:834,335,834,ShineFlag_Extra,BossRaidWorldHomeStage::place::new_place,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-1725.000,2010.000,-5015.000,ShineInfo.szs,ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,7,-1,8,false,true,4,帽子ひっかけポイント,おっきなツノに ひっかけて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
BossRaidWorldHomeStage:353:835,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,Upon the Broken Arch,BossRaidWorldHomeStage:353:835,353,835,ShineFlag_Extra,BossRaidWorldHomeStage::start,,(Backflip & LedgeGrab & GroundPound) | (Dive & GroundPound) | (WallJump & GroundPound) | (GroundPoundJump & GroundPound) | (SideFlip & LedgeGrab & GroundPound) | (Spin & LedgeGrab & GroundPound) | (TripleJump & GroundPound) | (UpThrow & Vault) | (NeutralThrow & Vault),WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=No Cap Throw Needed; other=Ground Pound),true,,,,,,,,,19050.000,-28600.000,44182.102,ShineInfo.szs,ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,5,-1,8,false,true,4,ここ掘れポイント,くずれた柱の上に,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
DotTowerExStage:282:888,Ruined Kingdom,DotTowerExStage,Roulette Tower,subarea,Roulette Tower: Climbed,DotTowerExStage:282:888,282,888,ShineFlag_None,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-50.000,9658.217,0.000,DotTowerExStageMap.szs;ShineInfo.szs,DotTowerExStageMap.byml;ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,15,2,-1,14,false,false,2;3;4,シャイン【2m置き】,登って！ ルーレットタワー,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
DotTowerExStage:371:889,Ruined Kingdom,DotTowerExStage,Roulette Tower,subarea,Roulette Tower: Stopped,DotTowerExStage:371:889,371,889,ShineFlag_None,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound)",true,ShineDot,Common,,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,,None,,1950.000,7100.000,0.000,DotTowerExStageMap.szs;ShineInfo.szs,DotTowerExStageMap.byml;ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,15,3,-1,14,false,false,2;3;4,シャインドット_2D,止めて！ ルーレットタワー,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
BullRunExStage:122:890,Ruined Kingdom,BullRunExStage,Mummy Army,subarea,The Mummy Army's Curse,BullRunExStage:122:890,122,890,ShineFlag_Extra,BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,,WallJump | (Vault & NeutralThrow) | Climb | Dive | LedgeGrab | TripleJump | Spin | (NeutralThrow & GroundPoundJump) | (NeutralThrow & Backflip) | (NeutralThrow & SideFlip) | (UpThrow & Vault) | (DownThrow & Vault),WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"method_1(jump=Backflip/Vault/Side Flip (496); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ledge Grab) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Climb)",true,,,,,,,,,13500.000,-31688.400,49300.000,ShineInfo.szs,ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,9,-1,8,false,false,4,ミイラ,ミイラ軍団の お守り,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,advanced;advanced;casual;advanced;advanced;advanced;advanced;advanced;advanced;advanced;advanced;expert,"1,2,3,4,5"
BullRunExStage:120:891,Ruined Kingdom,BullRunExStage,Mummy Army,subarea,Charging Through an Army,BullRunExStage:120:891,120,891,ShineFlag_Extra,BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,0.000,300.000,-5300.000,BullRunExStageMap.szs;ShineInfo.szs,BullRunExStageMap.byml;ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,15,8,-1,8,false,false,4,シャイン【2m置き】,走り抜け！ ミイラ軍団,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
BossRaidWorldHomeStage:405:909,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,Rolling Rock on the Battlefield,BossRaidWorldHomeStage:405:909,405,909,ShineFlag_Extra,BossRaidWorldHomeStage::place::new_place,,free,WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,KickStone,A,,,3,,,,900.000,1.125,2950.000,BossRaidWorldHomeStageMap.szs;ShineInfo.szs,BossRaidWorldHomeStageMap.byml;ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,6,-1,8,false,true,4,キック小石,キック！ 戦場の石コロ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
BossRaidWorldHomeStage:143:1117,Ruined Kingdom,BossRaidWorldHomeStage,Ruined Kingdom,overworld,Peach in the Ruined Kingdom,BossRaidWorldHomeStage:143:1117,143,1117,ShineFlag_None,BossRaidWorldHomeStage::place::new_place,,(KingdomAccess_Mushroom & NpcTalk),WorldPeace_Ruined,MoonRockActive_Ruined,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,2777.080,0.000,-1715.600,ShineInfo.szs,ShineList_AttackWorldHomeStage.byml;ShinePosList.byml,1,4,-1,12,false,false,3;4,世界旅行ピーチ,奪われし国で ピーチ姫,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
