edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0072,Ruined Kingdom,subarea,BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0073,Ruined Kingdom,subarea,BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,WallJump | Vault | (Backflip & LedgeGrab) | Dive | Climb | (GroundPoundJump & LedgeGrab) | (SideFlip & LedgeGrab) | (Spin & LedgeGrab) | TripleJump,,human_route,casual,false,editor,Reverse of edge_user_0072.,,
edge_user_0606,Ruined Kingdom,overworld,BossRaidWorldHomeStage::start,BossRaidWorldHomeStage::place::new_place,ElectricWire,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0607,Ruined Kingdom,overworld,BossRaidWorldHomeStage::start,BossRaidWorldHomeStage::event::MoonRockActive_Ruined,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0608,Ruined Kingdom,overworld,BossRaidWorldHomeStage::start,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0609,Ruined Kingdom,overworld,BossRaidWorldHomeStage::place::new_place,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,BazookaElectric,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0610,Ruined Kingdom,overworld,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,BossRaidWorldHomeStage::place::new_place,free,,human_route,casual,false,editor,Reverse of edge_user_0609.,"1,2,3,4,5",
edge_user_0611,Ruined Kingdom,subarea,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_far,BazookaElectric,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0373,Ruined Kingdom,overworld,BossRaidWorldHomeStage::start,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0374,Ruined Kingdom,overworld,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,BossRaidWorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0373.,,
edge_user_0711,Ruined Kingdom,overworld,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,BossRaidWorldHomeStage::start,free,,human_route,casual,false,editor,Reverse of edge_user_0372.,"1,2,3,4,5",
edge_user_0789,Ruined Kingdom,overworld,BossRaidWorldHomeStage::stage_change::Go::raw,BossRaidWorldHomeStage::start,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0790,Ruined Kingdom,overworld,BossRaidWorldHomeStage::place::new_place,BossRaidWorldHomeStage::stage_change::Come::raw,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0791,Ruined Kingdom,overworld,BossRaidWorldHomeStage::stage_change::Come::raw,BossRaidWorldHomeStage::place::new_place,free,,human_route,casual,false,editor,Reverse of edge_user_0790.,,
