anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
AttackWorldHomeStage::start,AttackWorldHomeStage::start,stage_start,Ruined Kingdom,AttackWorldHomeStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,entrance_side,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldEx01_Eixt,home_in,obj377,-2850.000,0.000,1100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_out,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_out,entrance_side,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldEx01_Eixt,home_out,obj377,-2850.000,0.000,1100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,entrance_side,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldMoonEx02_Enter,home_in,obj375,13500.000,-31688.430,49300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,entrance_side,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldMoonEx02_Exit,home_out,obj376,14200.000,-31671.615,49200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::stage_change::BossRaidWorldEx01_Eixt::raw,BossRaidWorldHomeStage::stage_change::BossRaidWorldEx01_Eixt::raw,change_stage_id,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldEx01_Eixt,raw,obj377,-2850.000,0.000,1100.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Enter::raw,BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Enter::raw,change_stage_id,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldMoonEx02_Enter,raw,obj375,13500.000,-31688.430,49300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Exit::raw,BossRaidWorldHomeStage::stage_change::BossRaidWorldMoonEx02_Exit::raw,change_stage_id,Ruined Kingdom,BossRaidWorldHomeStage,overworld,BossRaidWorldMoonEx02_Exit,raw,obj376,14200.000,-31671.615,49200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::start,BossRaidWorldHomeStage::start,stage_start,Ruined Kingdom,BossRaidWorldHomeStage,overworld,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::event::MoonRockActive_Ruined,BossRaidWorldHomeStage::event::MoonRockActive_Ruined,state_event,Ruined Kingdom,BossRaidWorldHomeStage,overworld,,,obj395,20150.000,-32768.344,45350.000,StageData:progression_events,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::event::WorldPeace_Ruined,BossRaidWorldHomeStage::event::WorldPeace_Ruined,state_event,Ruined Kingdom,BossRaidWorldHomeStage,overworld,,,,,,,progression_events,,Runtime/stable anchor for graph initialization or event checks.
BullRunExStage::stage_change::BossRaidWorldMoonEx02_Enter::raw,BullRunExStage::stage_change::BossRaidWorldMoonEx02_Enter::raw,change_stage_id,Ruined Kingdom,BullRunExStage,subarea,BossRaidWorldMoonEx02_Enter,raw,obj511,-400.000,550.000,5200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BullRunExStage::stage_change::BossRaidWorldMoonEx02_Exit::raw,BullRunExStage::stage_change::BossRaidWorldMoonEx02_Exit::raw,change_stage_id,Ruined Kingdom,BullRunExStage,subarea,BossRaidWorldMoonEx02_Exit,raw,obj512,0.000,300.000,-6100.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BullRunExStage::start,BullRunExStage::start,stage_start,Ruined Kingdom,BullRunExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,entrance_side,Ruined Kingdom,BullRunExStage,subarea,BossRaidWorldMoonEx02_Enter,sub_near,obj511,-400.000,550.000,5200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,entrance_side,Ruined Kingdom,BullRunExStage,subarea,BossRaidWorldMoonEx02_Exit,sub_far,obj512,0.000,300.000,-6100.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
DotTowerExStage::stage_change::BossRaidWorldEx01_Eixt::raw,DotTowerExStage::stage_change::BossRaidWorldEx01_Eixt::raw,change_stage_id,Ruined Kingdom,DotTowerExStage,subarea,BossRaidWorldEx01_Eixt,raw,obj340,800.000,9600.000,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
DotTowerExStage::start,DotTowerExStage::start,stage_start,Ruined Kingdom,DotTowerExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_far,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_far,entrance_side,Ruined Kingdom,DotTowerExStage,subarea,BossRaidWorldEx01_Eixt,sub_far,obj340;obj341,,,,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,entrance_side,Ruined Kingdom,DotTowerExStage,subarea,BossRaidWorldEx01_Eixt,sub_near,obj340;obj341,,,,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::stage_change::Come::raw,BossRaidWorldHomeStage::stage_change::Come::raw,change_stage_id,Ruined Kingdom,BossRaidWorldHomeStage,overworld,Come,raw,obj97110,0.000,0.000,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
BossRaidWorldHomeStage::stage_change::Go::raw,BossRaidWorldHomeStage::stage_change::Go::raw,change_stage_id,Ruined Kingdom,BossRaidWorldHomeStage,overworld,Go,raw,obj97111,0.000,0.000,0.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
