link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
10,Sand Kingdom,overworld,SandWorldHomeStage,doukutu1,doukutu2,SandWorldKillerExStage,doukutu1,doukutu2,SandWorldHomeStage::entrance::doukutu1::home_in,SandWorldHomeStage::entrance::doukutu2::home_out,SandWorldKillerExStage::entrance::doukutu1::sub_near,SandWorldKillerExStage::entrance::doukutu2::sub_far,active,
11,Sand Kingdom,overworld,SandWorldHomeStage,aaa,run00,SandWorldSphinxExStage,aaa,run00,SandWorldHomeStage::entrance::aaa::home_in,SandWorldHomeStage::entrance::run00::home_out,SandWorldSphinxExStage::entrance::aaa::sub_near,SandWorldSphinxExStage::entrance::run00::sub_far,active,
12,Sand Kingdom,overworld,SandWorldHomeStage,wall,anki2,SandWorldMeganeExStage,wall,anki2,SandWorldHomeStage::entrance::wall::home_in,SandWorldHomeStage::entrance::anki2::home_out,SandWorldMeganeExStage::entrance::wall::sub_near,SandWorldMeganeExStage::entrance::anki2::sub_far,active,
13,Sand Kingdom,overworld,SandWorldHomeStage,anki2,anki2,SandWorldMeganeExStage,anki2,anki2,SandWorldHomeStage::entrance::anki2::home_in,SandWorldHomeStage::entrance::anki2::home_out,SandWorldMeganeExStage::entrance::anki2::sub_near,SandWorldMeganeExStage::entrance::anki2::sub_far,excluded,anki2 is the exit pipe of the wall row — not a separate entrance
14,Sand Kingdom,overworld,SandWorldHomeStage,biru,birureturn,SandWorldRotateExStage,biru,birureturn,SandWorldHomeStage::entrance::biru::home_in,SandWorldHomeStage::entrance::birureturn::home_out,SandWorldRotateExStage::entrance::biru::sub_near,SandWorldRotateExStage::entrance::birureturn::sub_far,active,
15,Sand Kingdom,overworld,SandWorldHomeStage,rocket,rocket,RocketFlowerExStage,rocket,rocket,SandWorldHomeStage::entrance::rocket::home_in,SandWorldHomeStage::entrance::rocket::home_out,RocketFlowerExStage::entrance::rocket::sub_near,RocketFlowerExStage::entrance::rocket::sub_far,active,
16,Sand Kingdom,overworld,SandWorldHomeStage,meganelift01,meganelift02,MeganeLiftExStage,meganelift01,meganelift02,SandWorldHomeStage::entrance::meganelift01::home_in,SandWorldHomeStage::entrance::meganelift02::home_out,MeganeLiftExStage::entrance::meganelift01::sub_near,MeganeLiftExStage::entrance::meganelift02::sub_far,active,
17,Sand Kingdom,overworld,SandWorldHomeStage,arijigoku,arijigoku2,SandWorldPressExStage,arijigoku,arijigoku2,SandWorldHomeStage::entrance::arijigoku::home_in,SandWorldHomeStage::entrance::arijigoku2::home_out,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku2::sub_far,active,ceiling-drop entry plus the Jaxi-ruins exit; the entrance pipe is a coupled return alias
18,Sand Kingdom,overworld,SandWorldHomeStage,hide,hide,SandWorldSecretStage,hide,hide,SandWorldHomeStage::entrance::hide::home_in,SandWorldHomeStage::entrance::hide::home_out,SandWorldSecretStage::entrance::hide::sub_near,SandWorldSecretStage::entrance::hide::sub_far,active,
19,Sand Kingdom,overworld,SandWorldHomeStage,run00return,run00,SandWorldSphinxExStage,run00return,run00return,SandWorldHomeStage::entrance::run00return::home_in,SandWorldHomeStage::entrance::run00::home_out,SandWorldSphinxExStage::entrance::run00return::sub_near,SandWorldSphinxExStage::entrance::run00return::sub_far,active,
20,Sand Kingdom,overworld,SandWorldHomeStage,shindo,shindo,SandWorldVibrationStage,shindo,shindo,SandWorldHomeStage::entrance::shindo::home_in,SandWorldHomeStage::entrance::shindo::home_out,SandWorldVibrationStage::entrance::shindo::sub_near,SandWorldVibrationStage::entrance::shindo::sub_far,active,
21,Sand Kingdom,overworld,SandWorldHomeStage,bar1,bar1,SandWorldShopStage,bar1,bar1,SandWorldHomeStage::entrance::bar1::home_in,SandWorldHomeStage::entrance::bar1::home_out,SandWorldShopStage::entrance::bar1::sub_near,SandWorldShopStage::entrance::bar1::sub_far,active,
22,Sand Kingdom,overworld,SandWorldHomeStage,bar2,bar2,SandWorldShopStage,bar2,bar2,SandWorldHomeStage::entrance::bar2::home_in,SandWorldHomeStage::entrance::bar2::home_out,SandWorldShopStage::entrance::bar2::sub_near,SandWorldShopStage::entrance::bar2::sub_far,active,
23,Sand Kingdom,overworld,SandWorldHomeStage,town,town,SandWorldSlotStage,town,town,SandWorldHomeStage::entrance::town::home_in,SandWorldHomeStage::entrance::town::home_out,SandWorldSlotStage::entrance::town::sub_near,SandWorldSlotStage::entrance::town::sub_far,active,
24,Sand Kingdom,overworld,SandWorldHomeStage,abc,abc,SandWorldCostumeStage,abc,abc,SandWorldHomeStage::entrance::abc::home_in,SandWorldHomeStage::entrance::abc::home_out,SandWorldCostumeStage::entrance::abc::sub_near,SandWorldCostumeStage::entrance::abc::sub_far,active,
25,Sand Kingdom,overworld,SandWorldHomeStage,EX_2DHosui,EX_2DHosui_Exit,WaterTubeExStage,EX_2DHosui,EX_2DHosui_Exit,SandWorldHomeStage::entrance::EX_2DHosui::home_in,SandWorldHomeStage::entrance::EX_2DHosui_Exit::home_out,WaterTubeExStage::entrance::EX_2DHosui::sub_near,WaterTubeExStage::entrance::EX_2DHosui_Exit::sub_far,active,
133,Sand Kingdom,overworld,SandWorldHomeStage,arijigoku,arijigoku1,SandWorldPressExStage,arijigoku,arijigoku1,SandWorldHomeStage::entrance::arijigoku::home_in,SandWorldHomeStage::entrance::arijigoku1::home_out,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku1::sub_far,vanilla,fixed coupled return alias for the Ice Cave entrance pipe; never a randomized home-side entry
148,Sand Kingdom,overworld,SandWorldHomeStage,pyramid01,pyramid01,SandWorldPyramid000Stage,pyramid01,pyramid01,SandWorldHomeStage::entrance::pyramid01::home_in,SandWorldHomeStage::entrance::pyramid01::home_out,SandWorldPyramid000Stage::entrance::pyramid01::sub_near,SandWorldPyramid000Stage::entrance::pyramid01::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
149,Sand Kingdom,overworld,SandWorldHomeStage,pyramid04,pyramid04,SandWorldPyramid001Stage,pyramid04,pyramid04,SandWorldHomeStage::entrance::pyramid04::home_in,SandWorldHomeStage::entrance::pyramid04::home_out,SandWorldPyramid001Stage::entrance::pyramid04::sub_near,SandWorldPyramid001Stage::entrance::pyramid04::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
150,Sand Kingdom,overworld,SandWorldHomeStage,Under01,Under01,SandWorldUnderground000Stage,Under01,Under01,SandWorldHomeStage::entrance::Under01::home_in,SandWorldHomeStage::entrance::Under01::home_out,SandWorldUnderground000Stage::entrance::Under01::sub_near,SandWorldUnderground000Stage::entrance::Under01::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
151,Sand Kingdom,overworld,SandWorldHomeStage,Out,Out,SandWorldUnderground001Stage,Out,Out,SandWorldHomeStage::entrance::Out::home_in,SandWorldHomeStage::entrance::Out::home_out,SandWorldUnderground001Stage::entrance::Out::sub_near,SandWorldUnderground001Stage::entrance::Out::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
152,Sand Kingdom,subarea,SandWorldUnderground000Stage,Yadokari00,Yadokari00,SandWorldUnderground001Stage,Yadokari00,Yadokari00,SandWorldUnderground000Stage::entrance::Yadokari00::home_in,SandWorldUnderground000Stage::entrance::Yadokari00::home_out,SandWorldUnderground001Stage::entrance::Yadokari00::sub_near,SandWorldUnderground001Stage::entrance::Yadokari00::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
