node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
MeganeLiftExStage::stage_change::meganelift01::raw,Sand Kingdom,MeganeLiftExStage,The Invisible Maze,subarea,stage_change,StageData,meganelift01,raw,obj359,Stage Change meganelift01,-2000.000,200.000,1600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
MeganeLiftExStage::stage_change::meganelift02::raw,Sand Kingdom,MeganeLiftExStage,The Invisible Maze,subarea,stage_change,StageData,meganelift02,raw,obj360,Stage Change meganelift02,400.000,300.000,-18200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
MeganeLiftExStage::start,Sand Kingdom,MeganeLiftExStage,The Invisible Maze,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
MeganeLiftExStage::entrance::meganelift01::sub_near,Sand Kingdom,MeganeLiftExStage,The Invisible Maze,subarea,substage_entrance,EntranceDB,meganelift01,sub_near,obj359,Substage near side: meganelift01,-2000.000,200.000,1600.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SandWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
MeganeLiftExStage::entrance::meganelift02::sub_far,Sand Kingdom,MeganeLiftExStage,The Invisible Maze,subarea,substage_entrance,EntranceDB,meganelift02,sub_far,obj360,Substage far side: meganelift02,400.000,300.000,-18200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SandWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
RocketFlowerExStage::stage_change::rocket::raw,Sand Kingdom,RocketFlowerExStage,Colossal Ruins,subarea,stage_change,StageData,rocket,raw,obj62,Stage Change rocket,13900.000,-1000.000,2800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
RocketFlowerExStage::start,Sand Kingdom,RocketFlowerExStage,Colossal Ruins,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
RocketFlowerExStage::entrance::rocket::sub_far,Sand Kingdom,RocketFlowerExStage,Colossal Ruins,subarea,substage_entrance,EntranceDB,rocket,sub_far,obj62,Substage far side: rocket,13900.000,-1000.000,2800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SandWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
RocketFlowerExStage::entrance::rocket::sub_near,Sand Kingdom,RocketFlowerExStage,Colossal Ruins,subarea,substage_entrance,EntranceDB,rocket,sub_near,obj62,Substage near side: rocket,13900.000,-1000.000,2800.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SandWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
SandWorldCostumeStage::stage_change::abc::raw,Sand Kingdom,SandWorldCostumeStage,Costume Room,subarea,stage_change,StageData,abc,raw,obj11,Stage Change abc,0.000,-100.000,1200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
