moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
WaterTubeExStage:3240:35,Sand Kingdom,WaterTubeExStage,Freezing Waterway,subarea,Through the Freezing Waterway,WaterTubeExStage:3240:35,3240,35,ShineFlag_Extra,WaterTubeExStage::entrance::EX_2DHosui_Exit::sub_far,,free,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Locked behind Default Capture, Gushen | method_1(jump=No Jump Needed; cap_throw=Spin Throw, Down Throw, Up Throw, Neutral Throw; other=Capture)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-100.000,4400.000,-19800.000,WaterTubeExStageMap.szs;ShineInfo.szs,WaterTubeExStageMap.byml;ShineList_SandWorldHomeStage.byml;ShinePosList.byml,15,85,-1,16,false,false,5,シャイン【2m置き】,凍える水路を抜けて,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
WaterTubeExStage:3706:36,Sand Kingdom,WaterTubeExStage,Freezing Waterway,subarea,Freezing Waterway: Hidden Room,WaterTubeExStage:3706:36,3706,36,ShineFlag_Extra,WaterTubeExStage::entrance::EX_2DHosui::sub_near,,Hosui,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Locked behind Default Capture, Gushen | method_1(jump=No Jump Needed; cap_throw=Spin Throw, Down Throw, Up Throw, Neutral Throw; other=Capture)",true,ShineAddHeight,Common,-1,,0;1;10;11;12;13;14;2;3;4;5;6;7;8;9,-1,None,,-100.000,2900.000,-2100.000,WaterTubeExStageMap.szs;ShineInfo.szs,WaterTubeExStageMap.byml;ShineList_SandWorldHomeStage.byml;ShinePosList.byml,15,88,-1,16,false,false,5,シャイン【2m置き】,凍える水路の かくし部屋,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:3456:493,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Love in the Heart of the Desert,SandWorldHomeStage:3456:493,3456,493,ShineFlag_None,SandWorldHomeStage::checkpoint::obj98,,Kuribo,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Goomba, Paragoomba | method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=Capture)",true,,,,,,,,,-2250.000,100.000,-20500.000,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,50,-1,28,false,false,3;4;5,ガールクリボー,砂漠のガールフレンド,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:1432:495,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Showdown on the Inverted Pyramid,SandWorldHomeStage:1432:495,1432,495,ShineFlag_Story | ShineFlag_Multi,SandWorldHomeStage::place::new_place_2,,free,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Paragoomba, Glydon, Shiverian, Parabones, Yoshi, Bullet Bill, Gushen | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=2D jump (any jump))",true,,,,,,,,,-23450.000,5650.000,-26000.000,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,2,2,1,true,false,1,ボムゲートキーパー,さかさピラミッドの対決,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:3735:496,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Moon Shards in the Sand,SandWorldHomeStage:3735:496,3735,496,ShineFlag_Story,SandWorldHomeStage::checkpoint::obj1511,,free,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,-8650.000,-1400.000,4700.000,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,1,1,31,false,false,1;2;3;4;5,シャインチップ全取得監視者,集めて！ 砂のムーンチップ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:1599:497,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Atop the Highest Tower,SandWorldHomeStage:1599:497,1599,497,ShineFlag_Story,SandWorldHomeStage::checkpoint::obj525,,free,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=2D Jump (any jump)),true,ShineAddHeight,F,0,,0;1;2;3;4;7;8;9,0,None,,-8500.000,4550.000,-15350.000,SandWorldHomeStageMap.szs;ShineInfo.szs,SandWorldHomeStageMap.byml;ShineList_SandWorldHomeStage.byml;ShinePosList.byml,8,0,0,31,false,false,1;2;3;4;5,シャイン【2m置き】,アッチーニャ遺跡の塔の上,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:1715:498,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Sand Quiz: Wonderful!,SandWorldHomeStage:1715:498,1715,498,ShineFlag_None,SandWorldHomeStage::checkpoint::obj98,,NpcTalk,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,-10200.000,-1700.000,-14400.000,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,16,-1,31,false,false,1;2;3;4;5,スフィンクスクイズ,お見事！ 砂のクイズ大正解,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SandWorldHomeStage:5206:501,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,"Welcome Back, Jaxi!",SandWorldHomeStage:5206:501,5206,501,ShineFlag_None,SandWorldHomeStage::place::new_place_2,,Jaxi,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None),true,,,,,,,,,-16780.000,11000.000,-25300.000,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,60,-1,28,false,false,3;4;5,ジャガータクシーイベント,おかえり！ ライドン・バス,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"3,4,5"
SandWorldHomeStage:481:502,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Fishing in the Oasis,SandWorldHomeStage:481:502,481,502,ShineFlag_None,SandWorldHomeStage::checkpoint::obj1597,,JugemFishing,WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Locked behind Default Capture | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,FishingFish,L,,,2;3;4,,,,30050.002,-836.962,-31500.000,SandWorldHomeStageMap.szs;ShineInfo.szs,SandWorldHomeStageMap.byml;ShineList_SandWorldHomeStage.byml;ShinePosList.byml,3,49,-1,28,false,false,3;4;5,魚影,オアシスで フィッシング！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"3,4,5"
SandWorldHomeStage:2047:504,Sand Kingdom,SandWorldHomeStage,Sand Kingdom,overworld,Secret of the Inverted Mural,SandWorldHomeStage:2047:504,2047,504,ShineFlag_None,SandWorldHomeStage::checkpoint::obj98,,(Killer & Pipe2D),WorldPeace_Sand,MoonRockActive_Sand,primary,unrated,,"captures=Paragoomba, Glydon, Shiverian, Parabones, Yoshi, Bullet Bill, Gushen | method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=2D jump (any jump), Capture)",true,,,,,,,,,-24781.301,3469.880,-29450.199,ShineInfo.szs,ShineList_SandWorldHomeStage.byml;ShinePosList.byml,1,38,-1,31,false,false,1;2;3;4;5,シャインドット_2D,さかさ壁画のヒミツ,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
