edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0011,Sand Kingdom,subarea,SandWorldKillerExStage::entrance::doukutu1::sub_near,SandWorldKillerExStage::entrance::doukutu2::sub_far,Killer,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0012,Sand Kingdom,subarea,SandWorldKillerExStage::entrance::doukutu2::sub_far,SandWorldKillerExStage::entrance::doukutu1::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0011.,,
edge_user_0013,Sand Kingdom,subarea,SandWorldShopStage::entrance::bar1::sub_near,SandWorldShopStage::entrance::bar2::sub_near,impossible,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0014,Sand Kingdom,subarea,SandWorldShopStage::entrance::bar2::sub_near,SandWorldShopStage::entrance::bar1::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0013.,,
edge_user_0015,Sand Kingdom,subarea,WaterTubeExStage::entrance::EX_2DHosui::sub_near,WaterTubeExStage::entrance::EX_2DHosui_Exit::sub_far,Hosui,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0016,Sand Kingdom,subarea,WaterTubeExStage::entrance::EX_2DHosui_Exit::sub_far,WaterTubeExStage::entrance::EX_2DHosui::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0015.,,
edge_user_0017,Sand Kingdom,subarea,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku2::sub_far,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0701,Sand Kingdom,subarea,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku1::sub_far,free,,human_route,casual,true,editor,Ceiling drop lands in the same chamber as the start pipe; they are one coupled interface.,,
edge_user_0018,Sand Kingdom,subarea,SandWorldSphinxExStage::entrance::run00::sub_near,SandWorldSphinxExStage::entrance::aaa::sub_near,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0019,Sand Kingdom,subarea,SandWorldSphinxExStage::entrance::aaa::sub_near,SandWorldSphinxExStage::entrance::run00::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0018.,,
edge_user_0020,Sand Kingdom,subarea,SandWorldSphinxExStage::entrance::aaa::sub_near,SandWorldSphinxExStage::entrance::run00return::sub_far,Jaxi,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0021,Sand Kingdom,subarea,SandWorldSphinxExStage::entrance::run00return::sub_far,SandWorldSphinxExStage::entrance::aaa::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0020.,,
edge_user_0024,Sand Kingdom,subarea,MeganeLiftExStage::entrance::meganelift01::sub_near,MeganeLiftExStage::entrance::meganelift02::sub_far,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0025,Sand Kingdom,subarea,MeganeLiftExStage::entrance::meganelift02::sub_far,MeganeLiftExStage::entrance::meganelift01::sub_near,free,,human_route,expert,false,editor,Reverse of edge_user_0024.,,
edge_user_0053,Sand Kingdom,subarea,SandWorldRotateExStage::entrance::birureturn::sub_far,SandWorldRotateExStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0078,Sand Kingdom,subarea,SandWorldRotateExStage::place::new_place,SandWorldRotateExStage::entrance::birureturn::sub_far,BazookaElectric,,human_route,casual,false,editor,Reverse of edge_user_0053.,,
edge_user_0022,Sand Kingdom,subarea,SandWorldRotateExStage::entrance::biru::sub_near,SandWorldRotateExStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0023,Sand Kingdom,subarea,SandWorldRotateExStage::place::new_place,SandWorldRotateExStage::entrance::biru::sub_near,BazookaElectric,,human_route,casual,false,editor,Reverse of edge_user_0022.,,
edge_user_0079,Sand Kingdom,subarea,SandWorldMeganeExStage::entrance::anki2::sub_near,SandWorldMeganeExStage::entrance::wall::sub_near,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0127,Sand Kingdom,overworld,SandWorldHomeStage::start,SandWorldHomeStage::checkpoint::obj655,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0128,Sand Kingdom,overworld,SandWorldHomeStage::checkpoint::obj655,SandWorldHomeStage::checkpoint::obj99,free,,human_route,casual,true,editor,Created in graph editor.,,
