anchor_id,node_id,anchor_kind,kingdom,stage,area_scope,change_stage_id,entrance_side,obj_id,x,y,z,source,status,notes
MeganeLiftExStage::stage_change::meganelift01::raw,MeganeLiftExStage::stage_change::meganelift01::raw,change_stage_id,Sand Kingdom,MeganeLiftExStage,subarea,meganelift01,raw,obj359,-2000.000,200.000,1600.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MeganeLiftExStage::stage_change::meganelift02::raw,MeganeLiftExStage::stage_change::meganelift02::raw,change_stage_id,Sand Kingdom,MeganeLiftExStage,subarea,meganelift02,raw,obj360,400.000,300.000,-18200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
MeganeLiftExStage::start,MeganeLiftExStage::start,stage_start,Sand Kingdom,MeganeLiftExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
MeganeLiftExStage::entrance::meganelift01::sub_near,MeganeLiftExStage::entrance::meganelift01::sub_near,entrance_side,Sand Kingdom,MeganeLiftExStage,subarea,meganelift01,sub_near,obj359,-2000.000,200.000,1600.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
MeganeLiftExStage::entrance::meganelift02::sub_far,MeganeLiftExStage::entrance::meganelift02::sub_far,entrance_side,Sand Kingdom,MeganeLiftExStage,subarea,meganelift02,sub_far,obj360,400.000,300.000,-18200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
RocketFlowerExStage::stage_change::rocket::raw,RocketFlowerExStage::stage_change::rocket::raw,change_stage_id,Sand Kingdom,RocketFlowerExStage,subarea,rocket,raw,obj62,13900.000,-1000.000,2800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
RocketFlowerExStage::start,RocketFlowerExStage::start,stage_start,Sand Kingdom,RocketFlowerExStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
RocketFlowerExStage::entrance::rocket::sub_far,RocketFlowerExStage::entrance::rocket::sub_far,entrance_side,Sand Kingdom,RocketFlowerExStage,subarea,rocket,sub_far,obj62,13900.000,-1000.000,2800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
RocketFlowerExStage::entrance::rocket::sub_near,RocketFlowerExStage::entrance::rocket::sub_near,entrance_side,Sand Kingdom,RocketFlowerExStage,subarea,rocket,sub_near,obj62,13900.000,-1000.000,2800.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldCostumeStage::stage_change::abc::raw,SandWorldCostumeStage::stage_change::abc::raw,change_stage_id,Sand Kingdom,SandWorldCostumeStage,subarea,abc,raw,obj11,0.000,-100.000,1200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldCostumeStage::start,SandWorldCostumeStage::start,stage_start,Sand Kingdom,SandWorldCostumeStage,subarea,,,,,,,generated,,Runtime/stable anchor for graph initialization or event checks.
SandWorldCostumeStage::entrance::abc::sub_far,SandWorldCostumeStage::entrance::abc::sub_far,entrance_side,Sand Kingdom,SandWorldCostumeStage,subarea,abc,sub_far,obj11,0.000,-100.000,1200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldCostumeStage::entrance::abc::sub_near,SandWorldCostumeStage::entrance::abc::sub_near,entrance_side,Sand Kingdom,SandWorldCostumeStage,subarea,abc,sub_near,obj11,0.000,-100.000,1200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj1511,SandWorldHomeStage::checkpoint::obj1511,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj1511,-8800.000,-1350.000,3300.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj1595,SandWorldHomeStage::checkpoint::obj1595,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj1595,-30250.000,-1636.411,12100.002,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj1597,SandWorldHomeStage::checkpoint::obj1597,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj1597,27741.602,-450.000,-31950.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj525,SandWorldHomeStage::checkpoint::obj525,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj525,-8500.000,4500.000,-15927.484,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj530,SandWorldHomeStage::checkpoint::obj530,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj530,-2950.000,200.000,-32800.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj5575,SandWorldHomeStage::checkpoint::obj5575,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj5575,20700.000,5600.000,7150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj655,SandWorldHomeStage::checkpoint::obj655,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj655,24200.000,-2331.549,-12850.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj98,SandWorldHomeStage::checkpoint::obj98,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj98,-3500.000,100.000,-20200.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::checkpoint::obj99,SandWorldHomeStage::checkpoint::obj99,checkpoint_obj,Sand Kingdom,SandWorldHomeStage,overworld,,,obj99,4650.000,-1200.000,-13150.000,StageData,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::EX_2DHosui::home_in,SandWorldHomeStage::entrance::EX_2DHosui::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,EX_2DHosui,home_in,obj4240,-21899.996,72.858,-35750.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::EX_2DHosui_Exit::home_out,SandWorldHomeStage::entrance::EX_2DHosui_Exit::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,EX_2DHosui_Exit,home_out,obj4241,-21900.000,82.871,-35200.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::aaa::home_in,SandWorldHomeStage::entrance::aaa::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,aaa,home_in,obj2542,-2950.000,-2450.000,-29300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::aaa::home_out,SandWorldHomeStage::entrance::aaa::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,aaa,home_out,obj2542,-2950.000,-2450.000,-29300.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::abc::home_in,SandWorldHomeStage::entrance::abc::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,abc,home_in,obj3981,17020.000,-1750.000,-9978.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::abc::home_out,SandWorldHomeStage::entrance::abc::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,abc,home_out,obj3981,17020.000,-1750.000,-9978.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::anki2::home_in,SandWorldHomeStage::entrance::anki2::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,anki2,home_in,obj1582,-16100.000,-1658.563,250.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::anki2::home_out,SandWorldHomeStage::entrance::anki2::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,anki2,home_out,obj1582,-16100.000,-1658.563,250.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::arijigoku2::home_out,SandWorldHomeStage::entrance::arijigoku2::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,arijigoku2,home_out,obj2160,-2600.000,200.000,-33050.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::bar1::home_in,SandWorldHomeStage::entrance::bar1::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,bar1,home_in,obj2555,23055.000,-2420.000,-11315.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::bar1::home_out,SandWorldHomeStage::entrance::bar1::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,bar1,home_out,obj2555,23055.000,-2420.000,-11315.000,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::bar2::home_in,SandWorldHomeStage::entrance::bar2::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,bar2,home_in,obj3657,21567.699,-2600.000,-10216.547,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::bar2::home_out,SandWorldHomeStage::entrance::bar2::home_out,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,bar2,home_out,obj3657,21567.699,-2600.000,-10216.547,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
SandWorldHomeStage::entrance::biru::home_in,SandWorldHomeStage::entrance::biru::home_in,entrance_side,Sand Kingdom,SandWorldHomeStage,overworld,biru,home_in,obj446,18954.480,-350.000,-14175.773,EntranceDB,,Runtime/stable anchor for graph initialization or event checks.
