link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
75,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX1a,SeaWorldEX1b,WaterValleyExStage,SeaWorldEX1a,SeaWorldEX1b,SeaWorldHomeStage::entrance::SeaWorldEX1a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX1b::home_out,WaterValleyExStage::entrance::SeaWorldEX1a::sub_near,WaterValleyExStage::entrance::SeaWorldEX1b::sub_far,active,
76,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX2,SeaWorldEX2Return,CloudExStage,SeaWorldEX2,SeaWorldEX2Return,SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,SeaWorldHomeStage::entrance::SeaWorldEX2Return::home_out,CloudExStage::entrance::SeaWorldEX2::sub_near,CloudExStage::entrance::SeaWorldEX2Return::sub_far,active,
77,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldMoonEX2,SeaWorldMoonEX2,TogezoRotateExStage,SeaWorldMoonEX2,SeaWorldMoonEX2,SeaWorldHomeStage::entrance::SeaWorldMoonEX2::home_in,SeaWorldHomeStage::entrance::SeaWorldMoonEX2::home_out,TogezoRotateExStage::entrance::SeaWorldMoonEX2::sub_near,TogezoRotateExStage::entrance::SeaWorldMoonEX2::sub_far,active,
78,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX3a,SeaWorldEX3b,SenobiTowerExStage,SeaWorldEX3a,SeaWorldEX3b,SeaWorldHomeStage::entrance::SeaWorldEX3a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX3b::home_out,SenobiTowerExStage::entrance::SeaWorldEX3a::sub_near,SenobiTowerExStage::entrance::SeaWorldEX3b::sub_far,active,
79,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldMoonEX1a,SeaWorldMoonEX1b,ReflectBombExStage,SeaWorldMoonEX1a,SeaWorldMoonEX1b,SeaWorldHomeStage::entrance::SeaWorldMoonEX1a::home_in,SeaWorldHomeStage::entrance::SeaWorldMoonEX1b::home_out,ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,active,
80,Seaside Kingdom,overworld,SeaWorldHomeStage,PukupukuCaveStart,PukupukuCaveGoal,SeaWorldUtsuboCaveStage,PukupukuCaveStart,PukupukuCaveGoal,SeaWorldHomeStage::entrance::PukupukuCaveStart::home_in,SeaWorldHomeStage::entrance::PukupukuCaveGoal::home_out,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveStart::sub_near,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveGoal::sub_far,vanilla,story sub-area: fixed vanilla identity link and never shuffled
81,Seaside Kingdom,overworld,SeaWorldHomeStage,RoomEventWorldSea,RoomEventWorldSea,SeaWorldSneakingManStage,RoomEventWorldSea,RoomEventWorldSea,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_in,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_out,SeaWorldSneakingManStage::entrance::RoomEventWorldSea::sub_near,SeaWorldSneakingManStage::entrance::RoomEventWorldSea::sub_far,active,
82,Seaside Kingdom,overworld,SeaWorldHomeStage,TreasureEventWorldSea,TreasureEventWorldSea,SeaWorldSecretStage,TreasureEventWorldSea,TreasureEventWorldSea,SeaWorldHomeStage::entrance::TreasureEventWorldSea::home_in,SeaWorldHomeStage::entrance::TreasureEventWorldSea::home_out,SeaWorldSecretStage::entrance::TreasureEventWorldSea::sub_near,SeaWorldSecretStage::entrance::TreasureEventWorldSea::sub_far,active,
83,Seaside Kingdom,overworld,SeaWorldHomeStage,shindo_Lv2,shindo_Lv2,SeaWorldVibrationStage,shindo_Lv2,shindo_Lv2,SeaWorldHomeStage::entrance::shindo_Lv2::home_in,SeaWorldHomeStage::entrance::shindo_Lv2::home_out,SeaWorldVibrationStage::entrance::shindo_Lv2::sub_near,SeaWorldVibrationStage::entrance::shindo_Lv2::sub_far,active,
84,Seaside Kingdom,overworld,SeaWorldHomeStage,CostumeEventSeaWorld,CostumeEventSeaWorld,SeaWorldCostumeStage,CostumeEventSeaWorld,CostumeEventSeaWorld,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_in,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_out,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_near,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_far,active,
