node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
CloudExStage::stage_change::SeaWorldEX2::raw,Seaside Kingdom,CloudExStage,A Sea of Clouds,subarea,stage_change,StageData,SeaWorldEX2,raw,obj3005,Stage Change SeaWorldEX2,1850.000,750.000,11300.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=BazookaElectric.,
CloudExStage::stage_change::SeaWorldEX2Return::raw,Seaside Kingdom,CloudExStage,A Sea of Clouds,subarea,stage_change,StageData,SeaWorldEX2Return,raw,obj3007,Stage Change SeaWorldEX2Return,-25300.000,550.000,3500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=BazookaElectric.,
CloudExStage::start,Seaside Kingdom,CloudExStage,A Sea of Clouds,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
CloudExStage::entrance::SeaWorldEX2::sub_near,Seaside Kingdom,CloudExStage,A Sea of Clouds,subarea,substage_entrance,EntranceDB,SeaWorldEX2,sub_near,obj3005,Substage near side: SeaWorldEX2,1850.000,750.000,11300.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SeaWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
CloudExStage::entrance::SeaWorldEX2Return::sub_far,Seaside Kingdom,CloudExStage,A Sea of Clouds,subarea,substage_entrance,EntranceDB,SeaWorldEX2Return,sub_far,obj3007,Substage far side: SeaWorldEX2Return,-25300.000,550.000,3500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SeaWorldHomeStage. StageData anchor UnitConfigName=BazookaElectric.,
ReflectBombExStage::stage_change::SeaWorldMoonEX1a::raw,Seaside Kingdom,ReflectBombExStage,"Stop, Poke, and Roll",subarea,stage_change,StageData,SeaWorldMoonEX1a,raw,obj2091,Stage Change SeaWorldMoonEX1a,-14850.000,400.000,6500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
ReflectBombExStage::stage_change::SeaWorldMoonEX1b::raw,Seaside Kingdom,ReflectBombExStage,"Stop, Poke, and Roll",subarea,stage_change,StageData,SeaWorldMoonEX1b,raw,obj2090,Stage Change SeaWorldMoonEX1b,-14850.000,1050.000,-2750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
ReflectBombExStage::start,Seaside Kingdom,ReflectBombExStage,"Stop, Poke, and Roll",subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,Seaside Kingdom,ReflectBombExStage,"Stop, Poke, and Roll",subarea,substage_entrance,EntranceDB,SeaWorldMoonEX1a,sub_near,obj2091,Substage near side: SeaWorldMoonEX1a,-14850.000,400.000,6500.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SeaWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,Seaside Kingdom,ReflectBombExStage,"Stop, Poke, and Roll",subarea,substage_entrance,EntranceDB,SeaWorldMoonEX1b,sub_far,obj2090,Substage far side: SeaWorldMoonEX1b,-14850.000,1050.000,-2750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SeaWorldHomeStage. StageData anchor UnitConfigName=DokanStageChange.,
