moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
SeaWorldHomeStage:1277:437,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Glass Is Half Full!,SeaWorldHomeStage:1277:437,1277,437,ShineFlag_Story | ShineFlag_Multi,SeaWorldHomeStage::start,,Hosui | KingdomAccess_Seaside,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Gushen | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound, Capture)",true,,,,,,,,,0.000,6950.000,-20700.000,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,4,1,1,true,false,1,巨大徘徊ボス,誓いの水を とりもどせ！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3,4,5;2,3,4,5"
SeaWorldHomeStage:382:438,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Stone Pillar Seal,SeaWorldHomeStage:382:438,382,438,ShineFlag_Story,SeaWorldHomeStage::checkpoint::obj1524,,Hosui,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Frog, Gushen | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Triple Jump (550); cap_throw=Neutral Throw; other=Dive, Wall Jump)",true,ShineAddHeight,L,-1,,1;2;3,0,None,,-9000.000,2800.000,-12300.000,SeaWorldHomeStageMap.szs;ShineInfo.szs,SeaWorldHomeStageMap.byml;ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,3,0,0,15,false,false,1;2;3;4,ケージ(シャイン)_シャイン【2m置き】,岩柱の封印,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldDamageBallZone:60:439,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Seal Above the Canyon,SeaWorldDamageBallZone:60:439,60,439,ShineFlag_Story,SeaWorldDamageBallZone::checkpoint::obj59,,free,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,ShineAddHeight,L,-1,,1;2;3,0,None,,10205.025,3900.139,-167.767,SeaWorldDamageBallZoneMap.szs;ShineInfo.szs,SeaWorldDamageBallZoneMap.byml;ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,3,3,0,15,false,false,1;2;3;4,ケージ(シャイン)_シャイン【2m置き】,峡谷の封印,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldLavaZone:168:440,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Hot Spring Seal,SeaWorldLavaZone:168:440,168,440,ShineFlag_Story,SeaWorldLavaZone::checkpoint::obj182,,Hosui,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Gushen | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,ShineAddHeight,Common,-1,,1;10;11;12;13;14;2;3;4;5;6;7;8;9,0,None,,13606.497,1100.000,-25575.736,SeaWorldLavaZoneMap.szs;ShineInfo.szs,SeaWorldLavaZoneMap.byml;ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,14,2,0,63,false,false,1;2;3;4;5;6,ケージ(シャイン)_シャイン【2m置き】,温泉の封印,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldLighthouseZone:16:441,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Lighthouse Seal,SeaWorldLighthouseZone:16:441,16,441,ShineFlag_Story,SeaWorldLighthouseZone::checkpoint::obj212,,free,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,method_1(jump=Long Jump; cap_throw=No Cap Throw Needed; other=None),true,ShineAddHeight,L,-1,,1;2;3,0,None,,-17650.000,4550.139,-20450.000,SeaWorldLighthouseZoneMap.szs;ShineInfo.szs,SeaWorldLighthouseZoneMap.byml;ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,3,1,0,15,false,false,1;2;3;4,ケージ(シャイン)_シャイン【2m置き】,灯台の封印,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldHomeStage:1593:442,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,Taking Notes: Ocean Surface Dash,SeaWorldHomeStage:1593:442,1593,442,ShineFlag_None,SeaWorldHomeStage::checkpoint::obj1524,,free,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Gushen | method_1(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None) | method_2(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,-15000.000,663.622,-7200.000,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,23,-1,15,false,false,1;2;3;4,音符オブジェ(1つ目),海面ダッシュで 音符集め,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldHomeStage:1863:443,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,"Good Job, Captain Toad!",SeaWorldHomeStage:1863:443,1863,443,ShineFlag_None,SeaWorldHomeStage::checkpoint::obj1866,,Hosui | (Vault & WallJump & NeutralThrow & Dive) | (Kuribo & Dive) | (Kuribo & WallJump & Vault & NeutralThrow) | (Kuribo & LedgeGrab) | Kuribo | (WallJump & NeutralThrow),WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Gushen | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw; other=Dive, Wall Jump)",true,,,,,,,,,8650.000,5450.000,1600.000,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,15,-1,15,false,false,1;2;3;4,キノピオ隊長,おつかれさま！ キノピオ隊長,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;advanced;advanced;advanced;expert;expert,"1,2,3,4,5"
SeaWorldHomeStage:2079:444,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,The Back Canyon: Excavate!,SeaWorldHomeStage:2079:444,2079,444,ShineFlag_None,SeaWorldHomeStage::place::new_place_11,,GroundPound,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Uproot | method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound) | method_2(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound) | method_3(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,20223.301,2250.000,-1838.480,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,18,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,発掘！ 峡谷の裏,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3,4"
SeaWorldHomeStage:2394:445,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,Under a Dangerous Ceiling,SeaWorldHomeStage:2394:445,2394,445,ShineFlag_None,SeaWorldHomeStage::place::new_place_7,,free,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"method_1(jump=No Jump Needed; cap_throw=No Cap Throw Needed; other=None, Ground Pound)",true,,,,,,,,,6600.000,-1050.000,-29000.000,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,14,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,危ない天井の下で,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldDamageBallZone:144:446,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,Love by the Seaside,SeaWorldDamageBallZone:144:446,144,446,ShineFlag_None,SeaWorldHomeStage::checkpoint::obj1866,,Kuribo,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"captures=Goomba, Paragoomba | method_1(jump=No Jump Needed; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,17484.721,5324.360,-2452.627,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,38,-1,15,false,false,1;2;3;4,ガールクリボー,海辺のガールフレンド,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SeaWorldLongReefZone:238:447,Seaside Kingdom,SeaWorldHomeStage,Seaside Kingdom,overworld,What the Waves Left Behind,SeaWorldLongReefZone:238:447,238,447,ShineFlag_None,SeaWorldHomeStage::place::new_place_10,,GroundPound,WorldPeace_Seaside,MoonRockActive_Seaside,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=No Cap Throw Needed; other=Ground Pound) | method_2(jump=Long Jump; cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Ground Pound)",true,,,,,,,,,81700.000,2700.000,-82300.000,ShineInfo.szs,ShineList_SeaWorldHomeStage.byml;ShinePosList.byml,1,25,-1,63,false,false,1;2;3;4;5;6,ここ掘れポイント,波の忘れもの,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,"1,2,3,4,5"
