stage,kingdom,stage_display_name,stage_start_node_id,area_scope,listed_in_stage_warp,has_shine_db_moons,active_entrance_link_count,excluded_entrance_link_count,has_raw_stage_data_points,status,notes
CloudExStage,Seaside Kingdom,A Sea of Clouds,CloudExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ReflectBombExStage,Seaside Kingdom,"Stop, Poke, and Roll",ReflectBombExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldCostumeStage,Seaside Kingdom,Costume Room,SeaWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldHomeStage,Seaside Kingdom,Seaside Kingdom,SeaWorldHomeStage::start,overworld,true,true,9,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map SeaWorld2DLargeZone. Includes embedded map SeaWorld2DSmallZone. Includes embedded map SeaWorldBeachVolleyBallZone. Includes embedded map SeaWorldBottomHollowZone. Includes embedded map SeaWorldCoveCaveZone. Includes embedded map SeaWorldDamageBallZone. Includes embedded map SeaWorldLavaZone. Includes embedded map SeaWorldLighthouseZone. Includes embedded map SeaWorldLongReefZone. Includes embedded map SeaWorldSphinxQuizZone. Includes embedded map SeaWorldUnderGlassZone. Includes embedded map SeaWorldUtsuboDenZone. Includes embedded map SeaWorldWallCaveCenterZone. Includes embedded map SeaWorldWallCaveWestZone.
SeaWorldSecretStage,Seaside Kingdom,Sphynx Treasure Vault,SeaWorldSecretStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldSneakingManStage,Seaside Kingdom,Wriggling Power Moon,SeaWorldSneakingManStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldUtsuboCaveStage,Seaside Kingdom,Underwater Tunnel,SeaWorldUtsuboCaveStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldVibrationStage,Seaside Kingdom,Rumbling Floor Cave,SeaWorldVibrationStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SenobiTowerExStage,Seaside Kingdom,Stretching Up the Sinking Island,SenobiTowerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TogezoRotateExStage,Seaside Kingdom,Spinning Maze,TogezoRotateExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
WaterValleyExStage,Seaside Kingdom,Flying Through the Narrow Valley,WaterValleyExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
