edge_id,kingdom,area_scope,from_node_id,to_node_id,requirement_expr,requirement_notes,edge_type,difficulty,bidirectional,source,notes,option_scenarios,status
edge_user_0054,Seaside Kingdom,subarea,WaterValleyExStage::entrance::SeaWorldEX1a::sub_near,WaterValleyExStage::entrance::SeaWorldEX1b::sub_far,Hosui,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0055,Seaside Kingdom,subarea,WaterValleyExStage::entrance::SeaWorldEX1b::sub_far,WaterValleyExStage::entrance::SeaWorldEX1a::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0054.,,
edge_user_0057,Seaside Kingdom,overworld,SeaWorldLighthouseZone::start,SeaWorldLighthouseZone::checkpoint::obj212,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0058,Seaside Kingdom,overworld,SeaWorldUnderGlassZone::start,SeaWorldUnderGlassZone::checkpoint::obj153,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0059,Seaside Kingdom,subarea,ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,Tsukkun | SingleJump,,human_route,casual;expert,false,editor,Created in graph editor.,,
edge_user_0060,Seaside Kingdom,subarea,ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,impossible,,human_route,casual,false,editor,Reverse of edge_user_0059.,,
edge_user_0061,Seaside Kingdom,subarea,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveStart::sub_near,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveGoal::sub_far,(Swim & Pukupuku) | (Swim & Dive) | Swim,,human_route,casual;advanced;expert,true,editor,Created in graph editor.,,
edge_user_0062,Seaside Kingdom,overworld,SeaWorldLavaZone::start,SeaWorldLavaZone::checkpoint::obj182,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0074,Seaside Kingdom,subarea,CloudExStage::entrance::SeaWorldEX2::sub_near,CloudExStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0076,Seaside Kingdom,subarea,CloudExStage::place::new_place,CloudExStage::entrance::SeaWorldEX2::sub_near,BazookaElectric,,human_route,casual,false,editor,Reverse of edge_user_0074.,,
edge_user_0075,Seaside Kingdom,subarea,CloudExStage::entrance::SeaWorldEX2Return::sub_far,CloudExStage::place::new_place,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0077,Seaside Kingdom,subarea,CloudExStage::place::new_place,CloudExStage::entrance::SeaWorldEX2Return::sub_far,BazookaElectric,,human_route,casual,false,editor,Reverse of edge_user_0075.,,
edge_user_0276,Seaside Kingdom,overworld,SeaWorldHomeStage::start,SeaWorldHomeStage::checkpoint::obj1866,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0277,Seaside Kingdom,overworld,SeaWorldHomeStage::start,SeaWorldHomeStage::checkpoint::obj2266,Swim | (NeutralThrow & Pukupuku) | (DownThrow & Pukupuku),,human_route,casual;advanced;advanced,true,editor,Created in graph editor.,,
edge_user_0278,Seaside Kingdom,overworld,SeaWorldHomeStage::start,SeaWorldHomeStage::checkpoint::obj2264,Swim | (NeutralThrow & Pukupuku) | (DownThrow & Pukupuku),,human_route,casual;advanced;advanced,true,editor,Created in graph editor.,,
edge_user_0279,Seaside Kingdom,overworld,SeaWorldHomeStage::start,SeaWorldHomeStage::checkpoint::obj1524,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0280,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj2621,SeaWorldHomeStage::stage_change::Come::raw,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0281,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj1524,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_in,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0282,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj2621,SeaWorldHomeStage::checkpoint::obj1524,free,,human_route,casual,false,editor,Created in graph editor.,,
edge_user_0283,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj1524,SeaWorldHomeStage::checkpoint::obj2621,Hosui,,human_route,advanced,false,editor,Reverse of edge_user_0282.,,
edge_user_0286,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj2264,SeaWorldHomeStage::entrance::SeaWorldMoonEX2::home_in,Swim | (NeutralThrow & Pukupuku) | (DownThrow & Pukupuku),,human_route,casual;advanced;advanced,false,editor,Created in graph editor.,,
edge_user_0287,Seaside Kingdom,overworld,SeaWorldHomeStage::checkpoint::obj1524,SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,BazookaElectric,,human_route,casual,false,editor,Created in graph editor.,"1,2,3,4,5",
edge_user_0288,Seaside Kingdom,overworld,SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,SeaWorldHomeStage::checkpoint::obj1524,free,,human_route,casual,false,editor,Reverse of edge_user_0287.,"1,2,3,4,5",
edge_user_0635,Seaside Kingdom,overworld,SeaWorldLighthouseZone::checkpoint::obj212,SeaWorldHomeStage::place::new_place,free,,human_route,casual,true,editor,Created in graph editor.,,
edge_user_0636,Seaside Kingdom,overworld,SeaWorldBeachVolleyBallZone::start,SeaWorldHomeStage::checkpoint::obj1524,free,,human_route,casual,true,editor,Created in graph editor.,,
